# Sensor SSD-005, Quilicura, Chile (Purple Air/124633)
# https://aqicn.org/station/@244288/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,1,30.5,7.4,4.4,18.8,7.956,267
2022-02-02T00:00:00.000Z,0.2,43.3,11.5,4.6,19.2,9.1,615
2022-02-03T00:00:00.000Z,0,53.7,8.2,2.8,20.8,10.421,562
2022-02-04T00:00:00.000Z,0.1,36.4,4.9,2.3,9.25,5.703,589
2022-02-05T00:00:00.000Z,0,47.1,3.6,1.2,12,10.33,495
2022-02-06T00:00:00.000Z,0.2,45.4,8.3,4.8,18.85,9.888,349
2022-02-07T00:00:00.000Z,0.7,63.7,16.2,5.8,21.3,9.384,562
2022-02-08T00:00:00.000Z,3.5,42.5,12.5,7.25,20,7.812,393
2022-02-09T00:00:00.000Z,0.5,29.8,15.5,5,18.6,7.219,590
2022-02-10T00:00:00.000Z,0,32.8,12,4.09,16.25,6.877,553
2022-02-11T00:00:00.000Z,0.2,44.9,5.9,3.5,10.95,6.274,469
2022-02-12T00:00:00.000Z,0.2,37.7,5.8,3.1,11.4,6.895,294
2022-02-13T00:00:00.000Z,2.3,44.8,27.7,14.3,37.4,12.645,455
2022-02-14T00:00:00.000Z,0.1,56.7,18.7,6.7,23.45,10.373,545
2022-02-15T00:00:00.000Z,1.9,50,10.8,5.4,21.1,9.864,559
2022-02-16T00:00:00.000Z,2.7,42.4,13.95,6.7,21.2,9.086,526
2022-02-17T00:00:00.000Z,3.4,47.7,17.7,12.2,23.8,8.08,567
2022-02-18T00:00:00.000Z,3,122.4,22.05,14.1,25.4,10.448,574
2022-02-19T00:00:00.000Z,1.2,60.1,19.05,8.9,23.9,10.281,554
2022-02-20T00:00:00.000Z,0.1,40.8,9.4,5.6,19.6,9.394,519
2022-02-21T00:00:00.000Z,0,69.5,5.3,3.5,10.9,8.372,534
2022-02-22T00:00:00.000Z,0,1985,3.4,1.1,16.3,301.916,531
2022-02-23T00:00:00.000Z,0,24.2,2.3,0.5,5.2,3.805,543
2022-02-24T00:00:00.000Z,0,88.3,2.2,0.3,6.3,7.18,518
2022-02-25T00:00:00.000Z,0,145.5,4.1,1.55,11,11.543,596
2022-02-26T00:00:00.000Z,2.7,1456.6,17.9,9.8,23.85,101.921,412
2022-02-27T00:00:00.000Z,0.9,641.3,11.8,7,17.89,37.152,353
2022-02-28T00:00:00.000Z,1.5,1969,10.9,5,236.5,396.768,231
