# Sensor AireCiudadan CL VillaAlemana 6352f8, Villa Alemana, Chile (Ciencia ciudadana por la Calidad del Aire/6352f8)
# https://aqicn.org/station/@373114/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-03-02T00:00:00.000Z,6,9,7,7,8,0.653,19
2023-03-03T00:00:00.000Z,3,23,8,5,14,4.538,1431
2023-03-04T00:00:00.000Z,4,50,8,6,9,3.986,1408
2023-03-05T00:00:00.000Z,5,24,10,7,13,4.112,1431
2023-03-06T00:00:00.000Z,3,25,9,8,13,5.154,1426
2023-03-07T00:00:00.000Z,3,44,7,6,16,9.904,1286
2023-03-08T00:00:00.000Z,2,20,9,6,11,3.122,1229
2023-03-09T00:00:00.000Z,1,11,3,2,5,1.995,988
2023-03-10T00:00:00.000Z,3,44,7,4,25,11.996,822
2023-03-11T00:00:00.000Z,2,32,11,5,21,7.723,790
2023-03-12T00:00:00.000Z,2,17,5,3,7,2.926,1426
2023-03-13T00:00:00.000Z,2,10,3,3,4,1.295,1426
2023-03-14T00:00:00.000Z,2,27,7,3,11.5,6.615,1413
2023-03-15T00:00:00.000Z,0,12,2,2,4,2.178,1423
2023-03-16T00:00:00.000Z,0,10,2,1,2,1.755,1417
2023-03-17T00:00:00.000Z,1,10,3,2,4,1.566,1424
2023-03-18T00:00:00.000Z,1,113,3,2,4,4.855,1425
2023-03-19T00:00:00.000Z,2,11,5,4,6,1.977,1398
2023-03-20T00:00:00.000Z,2,25,11,10,17,5.093,1422
2023-03-21T00:00:00.000Z,4,26,8,6,13,5.406,1424
2023-03-22T00:00:00.000Z,5,23,9,8,10,2.574,1412
2023-03-23T00:00:00.000Z,9,33,15,14,17,3.883,1406
2023-03-24T00:00:00.000Z,8,109,20,15,23,7.511,1402
2023-03-25T00:00:00.000Z,9,34,20,15,23,5.104,1411
2023-03-26T00:00:00.000Z,6,36,19,15,23,6.616,1425
2023-03-27T00:00:00.000Z,8,35,14,11,18,4.741,1430
2023-03-28T00:00:00.000Z,1,26,14,9,18,6.331,1427
2023-03-29T00:00:00.000Z,1,16,3,3,5,2.563,1427
2023-03-30T00:00:00.000Z,2,15,4,3,5,2.298,1428
2023-03-31T00:00:00.000Z,2,20,8,6,10,3.132,1429
2023-04-01T00:00:00.000Z,5,28,14,9,19,5.424,1431
2023-04-02T00:00:00.000Z,5,56,18,9,26,9.351,1430
2023-04-03T00:00:00.000Z,4,20,7,6,9,2.352,1431
2023-04-04T00:00:00.000Z,5,24,8,7,10,2.431,1432
2023-04-05T00:00:00.000Z,2,21,15,9,17,4.938,1430
2023-04-06T00:00:00.000Z,2,11,4,3,6,1.847,1434
2023-04-07T00:00:00.000Z,2,13,6,5,8,2.188,1436
2023-04-08T00:00:00.000Z,10,97,23,15,30,13.903,1434
2023-04-09T00:00:00.000Z,10,41,25,20,28,6.39,1385
2023-04-10T00:00:00.000Z,8,28,17,11,19,4.672,1423
2023-04-11T00:00:00.000Z,1,26,11,4,14,6.377,1425
2023-04-12T00:00:00.000Z,1,19,5,2,7,3.923,1435
2023-04-13T00:00:00.000Z,1,32,5,2,7,3.749,1433
2023-04-14T00:00:00.000Z,1,12,4,3,5,1.928,1437
2023-04-15T00:00:00.000Z,5,42,9,7,10,3.304,1435
2023-04-16T00:00:00.000Z,3,32,7,5,10,5.243,1437
2023-04-17T00:00:00.000Z,3,16,8,7,9,2.34,1432
2023-04-18T00:00:00.000Z,3,18,7,6,8,2.117,1434
2023-04-19T00:00:00.000Z,4,33,9,7,11,3.674,1436
2023-04-20T00:00:00.000Z,2,54,14,10,25,13.813,1434
