# Sensor Chiguayante, Chile (Purple Air/61979)
# https://aqicn.org/station/@136933/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-08-25T00:00:00.000Z,0.09,50.43,5.68,2.42,11.5,7.704,478
2020-08-26T00:00:00.000Z,0.81,88.49,6.25,3.95,10.54,8.344,514
2020-08-27T00:00:00.000Z,2.38,137.58,20.55,9.39,41.3,29.184,553
2020-08-28T00:00:00.000Z,0.98,138.11,15.21,7.73,33.35,22.154,521
2020-08-29T00:00:00.000Z,2.36,163.02,14.06,6.25,33.75,29.787,521
2020-08-30T00:00:00.000Z,1.95,131.79,18.87,6.52,32.93,16.867,509
2020-08-31T00:00:00.000Z,6.63,228.62,27.21,16.32,36.04,18.646,498
2020-09-01T00:00:00.000Z,14.95,136.8,42.18,32.22,51.06,16.917,530
2020-09-02T00:00:00.000Z,11.38,137.52,43.34,31.9,53.35,21.212,505
2020-09-03T00:00:00.000Z,4.3,106.51,30.35,19.05,40.29,17.479,498
2020-09-04T00:00:00.000Z,4.78,148.61,26.67,15.36,36.04,16.169,495
2020-09-05T00:00:00.000Z,6.12,103.47,29.07,15.63,48.28,21.877,493
2020-09-06T00:00:00.000Z,8.77,183.19,27.45,17.07,44.61,19.369,498
2020-09-07T00:00:00.000Z,11.32,159.35,29.81,23.33,42.62,17.978,475
2020-09-08T00:00:00.000Z,1.64,217.41,19.97,8.82,43.24,28.34,405
2020-09-09T00:00:00.000Z,4.13,168.12,41.52,18.55,61.63,33.728,386
2020-09-10T00:00:00.000Z,1.55,111.78,12.42,7.63,22.58,22.494,396
2020-09-11T00:00:00.000Z,1.1,72.33,15.52,7.73,30.63,14.177,336
2020-09-12T00:00:00.000Z,0.95,89.07,19.48,9.92,35.15,17.521,328
2020-09-13T00:00:00.000Z,1.98,119.02,10.93,5.76,25.55,18.002,383
2020-09-14T00:00:00.000Z,3.55,81.11,13.64,8.28,24.18,14.154,345
2020-09-15T00:00:00.000Z,13.05,152.27,42.23,32.67,53.44,21.384,337
2020-09-16T00:00:00.000Z,4.59,156.63,23.99,14.52,31.98,16.979,434
2020-09-17T00:00:00.000Z,2.57,88.12,16.41,8.57,31.69,14.677,355
2020-09-18T00:00:00.000Z,2.21,156.6,16.8,8.47,34.4,19.588,364
2020-09-19T00:00:00.000Z,0.41,50.89,4.36,1.81,13.79,9.75,424
2020-09-20T00:00:00.000Z,1.24,96.32,7.43,3.57,13.45,9.171,424
