# Sensor S14_CHC, Rancagua, Chile (Purple Air/47263)
# https://aqicn.org/station/@349156/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-22T00:00:00.000Z,7.6,49.5,20.3,15.3,28.4,9.438,243
2022-07-23T00:00:00.000Z,23.1,45.9,30.3,27.2,32.7,4.702,623
2022-07-24T00:00:00.000Z,26.8,69.6,45.9,41.95,49.8,9.441,621
2022-07-25T00:00:00.000Z,33.5,53.8,41.7,38.85,45.4,4.367,577
2022-07-26T00:00:00.000Z,20.4,58.2,44.1,35.6,51,10.383,610
2022-07-27T00:00:00.000Z,16.7,44.3,19.6,18,28.65,9.32,637
2022-07-28T00:00:00.000Z,12.4,47.5,30.15,22.5,34.2,8.219,634
2022-07-29T00:00:00.000Z,22.6,68.2,46.3,36.6,50,9.708,622
2022-07-30T00:00:00.000Z,38.2,49.3,45.5,44.1,47.2,2.539,627
2022-07-31T00:00:00.000Z,34.5,51.3,40.29,39.5,43.3,3.61,632
2022-08-01T00:00:00.000Z,35.5,58,46.9,40.6,51.2,6.052,570
2022-08-02T00:00:00.000Z,38.3,79.1,45.8,41.4,46.9,7.578,596
2022-08-03T00:00:00.000Z,35.6,44.3,40.3,39,41.2,1.793,609
2022-08-04T00:00:00.000Z,24.1,45.4,39.2,36,40.6,5.121,631
2022-08-05T00:00:00.000Z,17.8,40.4,32.5,22.6,34.1,6.472,625
2022-08-06T00:00:00.000Z,18.3,34.4,26.5,22.05,30.05,4.444,636
2022-08-07T00:00:00.000Z,0.9,23,2.5,2,5.8,4.884,595
2022-08-08T00:00:00.000Z,6,18.9,10.2,8.4,12.3,2.492,620
2022-08-09T00:00:00.000Z,15.2,36.2,27.2,23.7,28.6,4.717,631
2022-08-10T00:00:00.000Z,23.9,42.4,32.1,29.8,34.7,4.064,635
2022-08-11T00:00:00.000Z,22.5,56.5,40.8,36.3,45.4,7.578,643
2022-08-12T00:00:00.000Z,16.7,41.8,27.8,25.2,31.1,4.974,642
2022-08-13T00:00:00.000Z,20.6,50.4,32.6,30.2,37.8,6.499,625
2022-08-14T00:00:00.000Z,8.7,34.8,29.6,18.2,31.6,7.728,623
2022-08-15T00:00:00.000Z,2.3,12.3,5.5,3.8,7.1,2.422,615
2022-08-16T00:00:00.000Z,10,35.4,19.55,15.5,25.4,6.777,620
2022-08-17T00:00:00.000Z,8.1,29,15,12.5,20,5.71,603
2022-08-18T00:00:00.000Z,4.6,23,14.5,9.69,15.4,3.384,646
2022-08-19T00:00:00.000Z,16,29.3,23.9,21,27,3.127,630
2022-08-20T00:00:00.000Z,15.6,37.3,31.8,23.75,35,6.636,633
2022-08-21T00:00:00.000Z,20.5,46.5,38.6,33.29,43.5,6.012,615
2022-08-22T00:00:00.000Z,30.2,45.1,35.5,33.79,38.2,3.313,617
2022-08-23T00:00:00.000Z,34,49.9,41.6,39.85,46.5,4.019,628
2022-08-24T00:00:00.000Z,25.4,64.2,40.35,38.4,47.25,8.512,640
2022-08-25T00:00:00.000Z,26.4,50.8,35.6,35,36.6,3.612,628
2022-08-26T00:00:00.000Z,32.8,41.8,36.9,35.2,37.9,1.82,637
2022-08-27T00:00:00.000Z,25.1,48.8,38.54,34.85,42.6,6.001,636
2022-08-28T00:00:00.000Z,13.1,43.7,34.4,29.55,40.2,9.083,632
2022-08-29T00:00:00.000Z,14.4,36.6,21.1,17.3,26.8,5.493,633
2022-08-30T00:00:00.000Z,31.2,46.6,35.29,33.6,37.7,3.923,636
2022-08-31T00:00:00.000Z,28.9,46.7,34.2,33.1,36.2,3.87,612
2022-09-01T00:00:00.000Z,27.5,46.8,33.2,32.2,36,5.118,640
2022-09-02T00:00:00.000Z,22.8,45.8,34.2,32.8,37.1,5.356,606
2022-09-03T00:00:00.000Z,18.6,33.4,24.7,23.3,26.4,2.821,641
2022-09-04T00:00:00.000Z,26.9,38.8,29.85,29.2,32,2.553,634
2022-09-05T00:00:00.000Z,22.9,41.8,29.1,25.8,33.2,4.906,610
2022-09-06T00:00:00.000Z,19.8,51.2,36.1,31.1,38.8,7.17,627
2022-09-07T00:00:00.000Z,6.2,35.9,18.14,10.3,27.7,9.274,614
2022-09-08T00:00:00.000Z,1.2,16.1,3.1,2.3,6.7,3.674,558
2022-09-09T00:00:00.000Z,7.2,46.5,14,10.3,17,7.337,639
2022-09-10T00:00:00.000Z,16.1,29.8,23.2,21.1,24.4,2.58,614
2022-09-11T00:00:00.000Z,13.2,24,16.6,15.4,18.3,2.237,625
2022-09-12T00:00:00.000Z,14.2,31,23.1,17.5,26.4,4.957,540
2022-09-13T00:00:00.000Z,14.9,29.1,21.3,19.7,23.8,2.665,615
2022-09-14T00:00:00.000Z,16.7,42.2,29.6,27.05,35.25,6.162,617
2022-09-15T00:00:00.000Z,15.4,32.1,22.3,19.85,25.65,4.099,593
2022-09-16T00:00:00.000Z,26.6,36.8,31.2,29.2,33.7,2.624,632
2022-09-17T00:00:00.000Z,12.8,36.4,28.7,22.3,32.79,6.299,602
2022-09-18T00:00:00.000Z,2,15.2,4.6,3.1,11.5,4.255,603
2022-09-19T00:00:00.000Z,8.6,19.1,13.5,11.9,15.2,2.412,609
2022-09-20T00:00:00.000Z,9.1,19.9,16.5,15.2,17.5,2.094,608
2022-09-21T00:00:00.000Z,4,26.3,6.1,4.9,10.5,4.48,604
2022-09-22T00:00:00.000Z,5.8,22.1,10.9,7.8,12,3.09,597
2022-09-23T00:00:00.000Z,9.9,25.5,14.9,13.8,16.6,3.521,625
2022-09-24T00:00:00.000Z,15.1,29.1,23.4,21.7,26.25,3.485,621
2022-09-25T00:00:00.000Z,8.3,21.9,16.6,10.8,19.2,4.297,639
2022-09-26T00:00:00.000Z,10.5,26.5,14.4,13,17,3.884,626
2022-09-27T00:00:00.000Z,11.6,19.6,15.3,13.4,16.7,1.923,616
2022-09-28T00:00:00.000Z,12.7,34.6,17.6,16.3,19.2,4.534,617
2022-09-29T00:00:00.000Z,13.6,31.6,25,16,28.8,6.276,615
2022-09-30T00:00:00.000Z,24.5,50.1,30.9,29.7,38.1,5.803,643
2022-10-01T00:00:00.000Z,18.3,32,28.4,26,29.7,3.356,627
2022-10-02T00:00:00.000Z,18.1,33.3,28.9,25.9,30.4,4.002,631
2022-10-03T00:00:00.000Z,10.3,23.3,20.1,17.5,20.9,3.355,507
2022-10-04T00:00:00.000Z,10.3,29.5,20.4,13.25,25.65,6.24,228
2022-10-05T00:00:00.000Z,10.3,38.7,17.2,15.4,29.5,8.95,437
2022-10-21T00:00:00.000Z,8,13.8,11.3,10.6,11.8,1.099,255
2022-10-22T00:00:00.000Z,5.6,9.9,8,7.1,8.6,0.962,563
2022-10-23T00:00:00.000Z,4.5,9,6.1,5.6,6.9,0.93,572
2022-10-24T00:00:00.000Z,4.1,7.5,6.2,5,6.7,0.905,582
2022-10-25T00:00:00.000Z,3.1,10.9,5.2,4.3,6.6,1.436,599
