# Sensor S2_SPP_out, San Pedro de la Paz, Chile (Purple Air/99885)
# https://aqicn.org/station/@210793/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.3,159.1,24.3,11.35,35.35,22.369,329
2021-09-08T00:00:00.000Z,5.3,370.2,53.1,34.7,114,83.022,610
2021-09-09T00:00:00.000Z,3.7,560.2,45.9,35.1,58.55,31.056,605
2021-09-10T00:00:00.000Z,15.2,495.3,57.25,38.2,84.75,57.338,612
2021-09-11T00:00:00.000Z,1.2,241.3,18,12.1,27.6,19.847,645
2021-09-12T00:00:00.000Z,0.7,161.9,22.6,9.25,31.9,18.83,628
2021-09-13T00:00:00.000Z,4.4,292,24.7,15.45,37.7,29.966,596
2021-09-14T00:00:00.000Z,2.3,283.4,51.15,29.5,93.9,48.916,632
2021-09-15T00:00:00.000Z,1.6,280.4,31.2,20.95,40.9,22.532,645
2021-09-16T00:00:00.000Z,3.5,152.2,44.5,24.75,62.5,25.18,625
2021-09-17T00:00:00.000Z,0.8,241.4,26.4,12.1,37.5,25.611,631
2021-09-18T00:00:00.000Z,4.4,238.7,33.29,16.3,42.2,23.499,627
2021-09-19T00:00:00.000Z,2.2,315.7,22.4,15.6,34.5,29.63,613
2021-09-20T00:00:00.000Z,3.2,84.6,34.5,13.6,42.4,17.032,620
2021-09-21T00:00:00.000Z,10.4,107.9,26.2,17.89,36.1,14.234,627
2021-09-22T00:00:00.000Z,0.7,255.5,12.8,8.1,24,23.62,591
2021-09-23T00:00:00.000Z,7.6,212.5,36.79,25.55,48.4,27.432,616
2021-09-24T00:00:00.000Z,2.5,141,41.3,12.75,57.5,27.717,589
2021-09-25T00:00:00.000Z,0.9,271.4,13.65,5.3,36.7,41.096,608
2021-09-26T00:00:00.000Z,2.9,654.8,24.75,11.9,47.2,52.087,582
2021-09-27T00:00:00.000Z,2.6,103.6,24.8,13.4,38.65,16.567,617
2021-09-28T00:00:00.000Z,1.2,381.2,34.6,16.3,46.85,39.398,585
2021-09-29T00:00:00.000Z,0.1,334.2,39.6,14.9,49.4,35.096,607
2021-09-30T00:00:00.000Z,0,738.7,25.4,6.7,52.5,65.172,607
2021-10-01T00:00:00.000Z,1.7,241.1,28.7,17.6,47.55,29.584,625
2021-10-02T00:00:00.000Z,1,390.5,20.8,10.4,33.2,22.639,611
2021-10-03T00:00:00.000Z,1.8,471.1,25.65,10.75,42.55,26.144,604
2021-10-04T00:00:00.000Z,2.5,170.7,23,13.75,32.2,17.478,604
2021-10-05T00:00:00.000Z,2.4,490.3,25.6,14,35.45,31.893,608
2021-10-06T00:00:00.000Z,1.8,222.6,20.9,8.4,34.65,20.834,601
2021-10-07T00:00:00.000Z,5.4,218.9,35.3,13,60,28.66,614
2021-10-08T00:00:00.000Z,1.3,89,10.9,5.45,25.2,14.573,585
2021-10-09T00:00:00.000Z,9.1,110.8,26.1,17.39,38.4,12.75,601
2021-10-10T00:00:00.000Z,6.7,107.7,15.3,10.4,22.4,12.905,623
2021-10-11T00:00:00.000Z,4.7,201,38.9,17.3,48.9,32.719,607
2021-10-12T00:00:00.000Z,1.4,104.2,11.65,8,20.7,18.804,608
2021-10-13T00:00:00.000Z,0.2,81.1,10.3,6.6,17.64,10.561,589
2021-10-14T00:00:00.000Z,0,59.3,4.9,1.9,22.15,12.728,604
2021-10-15T00:00:00.000Z,1.3,223.1,25.5,10.5,39,20.102,621
2021-10-16T00:00:00.000Z,0.6,170.6,16.1,7.55,25.45,14.209,600
2021-10-17T00:00:00.000Z,1.9,472.8,22.1,9.69,34,30.171,546
2021-10-18T00:00:00.000Z,2.6,131.2,18.6,7.35,30.25,15.454,561
