# Sensor S8_MR, Rancagua, Chile (Purple Air/47259)
# https://aqicn.org/station/@368296/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-12T00:00:00.000Z,3.9,8.1,5.9,5.4,6.6,0.792,197
2023-01-13T00:00:00.000Z,3.4,23.7,9.05,6.5,12.1,4.163,606
2023-01-14T00:00:00.000Z,2.4,26.6,6.7,5.8,8,2.314,599
2023-01-15T00:00:00.000Z,5,20.9,10.4,9.4,11.35,2.157,616
2023-01-16T00:00:00.000Z,11.5,33.6,27,19.55,29.8,6.32,637
2023-01-17T00:00:00.000Z,8.9,22.5,13.6,11.1,16.3,3.255,618
2023-01-18T00:00:00.000Z,5.6,19.1,10.15,8.4,12.4,3.091,570
2023-01-19T00:00:00.000Z,8.9,31.8,15.6,12.3,24.3,6.58,664
2023-01-20T00:00:00.000Z,9,36.3,18.1,14.7,24.6,7.139,674
2023-01-21T00:00:00.000Z,6.3,44.7,13.2,10.7,20.25,5.92,668
2023-01-22T00:00:00.000Z,3.8,102.4,15.2,10.6,21.75,12.865,657
2023-01-23T00:00:00.000Z,5.9,34.5,12.3,9.5,17.55,6.415,333
2023-01-30T00:00:00.000Z,6.4,10.8,8.5,7.9,9.3,0.941,188
2023-01-31T00:00:00.000Z,6.6,32.5,9.2,8.05,11.05,3.482,637
2023-02-01T00:00:00.000Z,6.4,20.3,11.2,9.35,14.1,3.029,621
2023-02-02T00:00:00.000Z,7.1,30.4,12.2,10.05,14.3,3.485,605
2023-02-03T00:00:00.000Z,9,41.4,15.7,11.8,21.1,7.29,286
2023-07-25T00:00:00.000Z,17.1,49.8,32,25.2,42.2,9.674,207
2023-07-26T00:00:00.000Z,28.3,145.5,42.3,36.3,49.3,20.891,619
2023-07-27T00:00:00.000Z,5.9,141.3,55,37.4,82.2,34.432,586
2023-07-28T00:00:00.000Z,16.6,130.9,35.8,29.1,51,21.175,631
2023-07-29T00:00:00.000Z,8.9,142.8,38.4,29,53.7,22.556,648
2023-07-30T00:00:00.000Z,17.7,147.5,49.4,37.4,64.95,28.547,645
2023-07-31T00:00:00.000Z,2.6,175.3,37,24.7,44.8,28.482,633
2023-08-01T00:00:00.000Z,6.5,73.5,48.2,38.35,52.3,15.011,621
2023-08-02T00:00:00.000Z,10.2,68.9,43.4,36.75,50.1,11.973,669
2023-08-03T00:00:00.000Z,22.3,127.7,48.4,39.5,54.6,15.097,658
2023-08-04T00:00:00.000Z,11.1,186.8,53.5,46.5,77.2,32.691,659
2023-08-05T00:00:00.000Z,35.6,123.4,65.2,51.6,75.7,15.203,668
2023-08-06T00:00:00.000Z,24.3,119.9,58.7,36,85.2,26.212,669
2023-08-07T00:00:00.000Z,11.5,103,42.65,31.8,48,16.876,662
2023-08-08T00:00:00.000Z,20.3,217.4,51.2,43.9,61.3,22.998,618
2023-08-09T00:00:00.000Z,40.2,138,76.8,61.75,95.1,21.268,656
2023-08-10T00:00:00.000Z,1,95.5,22.95,5.3,44.5,23.915,638
2023-08-11T00:00:00.000Z,7.4,133.9,26,17,34.2,18.029,658
2023-08-12T00:00:00.000Z,3.3,109.8,39.5,24.8,44.6,17.029,687
2023-08-13T00:00:00.000Z,1.7,87.5,33.2,20.7,46.3,17.319,666
2023-08-14T00:00:00.000Z,2.2,49.8,13.9,8.8,22.2,10.938,635
2023-08-15T00:00:00.000Z,29.7,72.8,42.75,38.2,49.1,7.209,620
2023-08-16T00:00:00.000Z,22.5,66.9,40.9,37.6,43.15,5.192,656
2023-08-17T00:00:00.000Z,2.9,105.4,31.2,13.6,46.3,22.97,636
2023-08-18T00:00:00.000Z,8.3,149.6,38.6,30.25,48.55,22.729,641
2023-08-19T00:00:00.000Z,0.8,140.7,23.2,12.3,46.4,23.614,651
2023-08-20T00:00:00.000Z,0,44.2,10.1,2.4,15.6,9.08,627
2023-08-21T00:00:00.000Z,0.8,43.2,8,3,17.89,9.362,603
2023-08-22T00:00:00.000Z,0,37.3,4.2,1.6,8.1,5.396,619
2023-08-23T00:00:00.000Z,0,77.7,14.65,5.3,21.35,13.707,656
2023-08-24T00:00:00.000Z,29.3,82.7,45.55,43,63.3,15.542,14
2023-08-25T00:00:00.000Z,12.6,71.5,16.35,14.45,23.8,11.621,104
2023-08-26T00:00:00.000Z,4.5,118.6,27.8,14.6,41.8,15.791,631
2023-08-27T00:00:00.000Z,7.5,50.8,20.45,14.8,26.8,9.086,650
2023-08-28T00:00:00.000Z,5.2,71.6,31.2,21.55,39.15,11.529,625
2023-08-29T00:00:00.000Z,4.3,94,18.3,10.65,36.45,16.792,621
2023-08-30T00:00:00.000Z,6.2,55.4,22,13.05,32.4,12.356,649
2023-08-31T00:00:00.000Z,6.4,51.7,24.35,18.8,31.8,9.397,622
2023-09-01T00:00:00.000Z,18.3,88.5,42,37.6,47.1,7.423,643
2023-09-02T00:00:00.000Z,1.5,113.3,45.85,30.55,49.9,18.515,640
2023-09-03T00:00:00.000Z,20.5,61.2,44.35,29.8,49.75,10.421,616
2023-09-04T00:00:00.000Z,2.9,63.3,33.2,17.55,38.29,13.366,621
2023-09-05T00:00:00.000Z,8.2,130.8,39,33.7,44.9,17.104,583
2023-09-06T00:00:00.000Z,1.7,59.3,11.6,5.4,18.8,13.255,155
2023-09-07T00:00:00.000Z,12.2,103.3,32.5,26.35,40.04,10.837,385
2023-09-08T00:00:00.000Z,24.6,75.3,31.2,29.4,36.45,9.457,293
2023-09-09T00:00:00.000Z,15.3,140.2,41.9,37.4,49.8,18.225,653
2023-09-10T00:00:00.000Z,10.1,206.4,46.2,38.6,59.65,34.792,665
2023-09-18T00:00:00.000Z,8.1,91.7,29.75,23.6,39.1,15.484,666
2023-09-19T00:00:00.000Z,26,230,46.8,42.4,60.05,30.607,669
2023-09-20T00:00:00.000Z,10.5,223.4,49.9,38.2,83,37.658,606
2023-09-21T00:00:00.000Z,11.8,80.7,42.4,30.5,47.7,12.927,663
2023-09-22T00:00:00.000Z,12.4,84.4,37.79,33.6,42.6,10.562,612
2023-09-23T00:00:00.000Z,31,94.7,50,45.75,62.7,10.747,633
2023-09-24T00:00:00.000Z,10.1,54.4,31.2,22.5,41.6,10.886,630
2023-09-25T00:00:00.000Z,2,54.3,20,16,25.6,9.202,647
2023-09-26T00:00:00.000Z,0.8,40.7,6.3,4,8.2,5.82,602
2023-09-27T00:00:00.000Z,9,36.8,16.7,12.9,21.4,5.693,647
2023-09-28T00:00:00.000Z,9.2,64.1,28.8,22.9,32.4,8.324,660
2023-09-29T00:00:00.000Z,13.2,61,25.1,18.8,33.3,9.896,643
2023-09-30T00:00:00.000Z,8.1,57.2,15.7,12.8,20.1,5.931,650
2023-10-01T00:00:00.000Z,17.7,48.6,37.54,33.65,40.8,5.806,648
2023-10-02T00:00:00.000Z,10.6,39.7,21.9,18.8,28.4,6.444,631
2023-10-03T00:00:00.000Z,12.2,37.5,20.35,18,23.1,4.244,626
2023-10-04T00:00:00.000Z,10.3,38.1,17.2,14.7,20,4.139,641
2023-10-05T00:00:00.000Z,8.9,50.9,18.7,15.8,23,6.094,655
2023-10-06T00:00:00.000Z,8.6,48.5,17.2,12.4,29.4,9.112,632
2023-10-07T00:00:00.000Z,3.1,49.9,20.8,10.15,26.15,10.14,661
2023-10-08T00:00:00.000Z,3.4,36.5,9.8,7.7,14.4,6.319,659
2023-10-09T00:00:00.000Z,5,35.9,9.9,7.6,14.4,5.338,625
2023-10-10T00:00:00.000Z,7.2,31.5,14.8,11.35,20.2,5.146,628
2023-10-11T00:00:00.000Z,9.8,40.3,18.5,14.8,29.9,8.446,647
2023-10-12T00:00:00.000Z,8.6,26.7,15.7,12.55,17.3,3.404,644
2023-10-13T00:00:00.000Z,8.3,77.6,12.7,11.2,15.8,8.433,662
2023-10-14T00:00:00.000Z,6.9,177.8,15.85,14.4,23.7,22.793,646
2023-10-15T00:00:00.000Z,5.7,33.4,11.3,10.19,12.5,4.221,643
2023-10-16T00:00:00.000Z,5.6,49,12,10,16.75,8.775,668
2023-10-17T00:00:00.000Z,7.1,33,13.85,11.9,18.8,5.503,662
2023-10-18T00:00:00.000Z,7,35.8,16.39,13.3,21.2,6.016,650
2023-10-19T00:00:00.000Z,6.7,30.3,15.15,10.1,18.3,5.785,638
2023-10-20T00:00:00.000Z,9.9,54.7,19.8,14.2,30,9.605,635
2023-10-21T00:00:00.000Z,31.4,81.7,41.4,36.5,46.2,6.582,637
2023-10-22T00:00:00.000Z,42,64.3,48.5,46.35,51,3.973,620
2023-10-23T00:00:00.000Z,24.7,85,39.6,34.5,45.4,8.305,637
2023-10-24T00:00:00.000Z,11.3,50.7,26.8,22.3,31.8,7.691,630
2023-10-25T00:00:00.000Z,12.6,32.5,18.8,16.89,21.1,3.77,655
2023-10-26T00:00:00.000Z,12.5,60.6,22.1,17.8,33.1,9.977,658
2023-10-27T00:00:00.000Z,11.5,37.5,23.6,17.3,30.3,7.169,628
2023-10-28T00:00:00.000Z,10.1,120,27.4,18.8,37.1,11.155,641
2023-10-29T00:00:00.000Z,1,60.6,7,5.35,9.65,6.049,653
2023-10-30T00:00:00.000Z,3.2,37.1,18.14,9.8,21.9,7.461,658
2023-10-31T00:00:00.000Z,8.9,51.9,28,23,34.7,9.009,667
2023-11-01T00:00:00.000Z,3.9,38.2,11.9,8.69,15.3,6.656,634
2023-11-02T00:00:00.000Z,0.5,36.1,11.6,5.65,15.6,7.795,592
2023-11-03T00:00:00.000Z,3.2,17.3,5.5,4.75,6.7,2.232,621
2023-11-04T00:00:00.000Z,4.1,40.7,16.7,6.9,21.25,8.884,641
2023-11-05T00:00:00.000Z,11.4,37.7,19.1,14.9,24.5,6.899,628
2023-11-06T00:00:00.000Z,5.7,45,23.15,16.7,30.55,9.333,640
2023-11-07T00:00:00.000Z,3.3,38.7,7.8,5.7,14.2,5.452,633
2023-11-08T00:00:00.000Z,3.4,48.6,7.9,6.1,11.8,7.628,635
2023-11-09T00:00:00.000Z,4.6,43.7,10.9,7.6,13,5.288,617
2023-11-10T00:00:00.000Z,1.9,53.9,16.5,11.25,23.35,10.005,637
2023-11-11T00:00:00.000Z,8.2,49.2,28.4,20.14,31.9,8.477,628
2023-11-12T00:00:00.000Z,6.2,35.8,20.14,17,22.2,5.697,394
2023-11-13T00:00:00.000Z,2.7,30.6,11.15,7,16.6,5.657,622
2023-11-14T00:00:00.000Z,5.1,22.7,10.2,8.6,13.1,3.014,621
2023-11-15T00:00:00.000Z,5.5,33.3,9.8,8.45,12.4,4.582,348
