# Sensor Vía Aurora, Vitacura, Chile (Citizen Science project sensor.community/17520)
# https://aqicn.org/station/@63544/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,6.84,35.04,14.3,12.43,17.48,6.224,311
2019-12-10T00:00:00.000Z,5.8,34.61,12.5,10.46,16.27,6.283,405
2019-12-11T00:00:00.000Z,5.85,29.84,12.3,10.09,16.25,5.02,416
2019-12-12T00:00:00.000Z,3.51,20.88,9.24,7.56,12.2,3.415,486
2019-12-13T00:00:00.000Z,5.74,26.14,10.81,9.01,13.25,3.173,550
2019-12-14T00:00:00.000Z,4.48,24.56,8.77,7.41,10.83,3.842,389
2019-12-15T00:00:00.000Z,2.5,15.93,8.32,6.77,9.97,2.426,562
2019-12-16T00:00:00.000Z,5.8,15.9,9.44,8.39,10.88,1.92,284
2019-12-17T00:00:00.000Z,7.54,30.79,11.86,9.97,15.36,4.798,281
2019-12-18T00:00:00.000Z,5.16,30.98,12.64,10.24,16.92,4.752,458
2019-12-19T00:00:00.000Z,3.17,17.39,8.11,6.69,11.05,2.92,540
2019-12-20T00:00:00.000Z,2.06,22.6,7.45,5.38,11.1,4.01,556
2019-12-21T00:00:00.000Z,3.06,19.37,9.93,7.72,12.37,3.295,556
2019-12-22T00:00:00.000Z,4.82,19.94,9.71,8.15,11.15,2.173,566
2019-12-23T00:00:00.000Z,4.16,22,9.47,8.03,10.92,2.505,565
2019-12-24T00:00:00.000Z,2.45,29.76,9.02,7.39,11.23,3.603,572
2019-12-25T00:00:00.000Z,2.82,14.5,6.92,5.62,8.25,1.925,569
2019-12-26T00:00:00.000Z,4.28,21.34,9.51,7.48,11.68,2.962,568
2019-12-27T00:00:00.000Z,5.75,27.01,11.22,9.5,13.78,3.006,566
2019-12-28T00:00:00.000Z,5.12,27.88,11.15,9.16,13.86,3.583,569
2019-12-29T00:00:00.000Z,3.06,16.75,8.69,7.3,10.3,2.109,569
2019-12-30T00:00:00.000Z,4.2,21.83,10.15,8.06,13.59,3.736,561
2019-12-31T00:00:00.000Z,4.98,163.83,10.89,9.19,12.99,9.817,556
2020-01-01T00:00:00.000Z,6.69,22.27,13.18,11.09,15.43,3.072,564
2020-01-02T00:00:00.000Z,8.02,31.14,13.98,11.7,17.27,5.337,553
2020-01-03T00:00:00.000Z,9.66,44.86,18.42,16.66,21.3,6.489,539
2020-01-04T00:00:00.000Z,7.88,31.58,15.9,13.09,19.1,4.83,539
2020-01-05T00:00:00.000Z,7.3,36.44,16.76,12.2,21.98,5.806,548
2020-01-06T00:00:00.000Z,9.61,33.35,19.94,15.97,23.18,5.208,509
2020-01-07T00:00:00.000Z,6.44,33.47,13.31,11.4,15.92,4.686,506
2020-01-08T00:00:00.000Z,2.84,21.73,7.55,6.18,9.84,2.85,429
2020-01-09T00:00:00.000Z,4.87,33.74,8.8,7.62,11.06,5.458,457
2020-01-10T00:00:00.000Z,4.45,22.6,9.25,7.79,10.78,2.707,343
2020-01-11T00:00:00.000Z,5.77,22.52,10.78,9.4,12.7,2.911,523
2020-01-12T00:00:00.000Z,7.24,20.72,11.58,10.22,13.07,2.406,551
2020-01-13T00:00:00.000Z,7.02,28.78,11.9,10.18,14.65,4.695,391
2020-01-14T00:00:00.000Z,8.57,29.09,13.83,11.95,16.25,3.467,440
2020-01-15T00:00:00.000Z,7.49,24.68,13.62,11.84,16.17,3.317,452
2020-01-16T00:00:00.000Z,5.98,72.25,14.92,11.46,20.22,6.841,471
2020-01-17T00:00:00.000Z,12.22,45.35,22.3,19.54,25.58,5.761,462
2020-01-18T00:00:00.000Z,14.89,40.92,25,22.2,27.6,4.789,494
2020-01-19T00:00:00.000Z,13.75,28.67,21.03,19.34,22.82,2.413,460
2020-01-20T00:00:00.000Z,14.43,44.7,23.54,20.35,28.33,6.077,347
2020-01-21T00:00:00.000Z,11.65,34.61,19.03,17.25,21.85,3.934,459
2020-01-22T00:00:00.000Z,12.85,20.73,17.25,15.43,17.67,1.947,15
2020-01-23T00:00:00.000Z,9.52,39.58,13.71,12.5,15.14,4.134,84
2020-01-24T00:00:00.000Z,7.06,26.72,12.78,10.54,16.82,4.692,262
2020-01-25T00:00:00.000Z,7.16,22.68,13.16,11.02,15.2,2.996,299
2020-01-26T00:00:00.000Z,4.72,18.3,9.65,8.41,11.26,2.187,312
2020-01-27T00:00:00.000Z,4.19,25.4,10.68,8.69,12.7,3.167,255
2020-01-28T00:00:00.000Z,4.62,27.12,10.3,8.17,14.52,4.61,269
2020-01-29T00:00:00.000Z,4.01,27.32,8.13,6.43,12.46,5.001,310
2020-01-30T00:00:00.000Z,6.54,33.26,12.19,10.74,15.16,4.56,290
2020-01-31T00:00:00.000Z,7.66,27.2,15.14,13.7,17.02,2.737,284
2020-02-01T00:00:00.000Z,4.8,24.56,12.02,10.08,13.99,3.55,325
2020-02-02T00:00:00.000Z,4.8,21.08,9.82,8.32,11.23,2.376,340
2020-02-03T00:00:00.000Z,1.52,15.58,6.36,4.54,8.55,2.737,309
2020-02-04T00:00:00.000Z,2.68,19.35,8.08,6.15,10.6,3.467,254
2020-02-05T00:00:00.000Z,6.87,23.4,11.61,9.63,13.66,2.994,240
2020-02-06T00:00:00.000Z,3.07,23.92,8.77,6.81,11.34,4.083,236
2020-02-07T00:00:00.000Z,5.75,18.16,10.8,9.14,12.54,2.448,212
2020-02-08T00:00:00.000Z,4.05,16.51,9.47,8.16,11.32,2.32,192
2020-02-09T00:00:00.000Z,3.55,18.73,8.75,7.39,10.06,2.039,355
2020-02-10T00:00:00.000Z,7.35,24.2,13.39,11.11,16.21,3.392,368
2020-02-11T00:00:00.000Z,11.52,50.58,19.82,17.26,25.66,7.014,358
2020-02-12T00:00:00.000Z,11.04,103.94,24.7,21.3,31.99,12.088,372
2020-02-13T00:00:00.000Z,9.32,33.6,14.84,13.06,17.52,4.375,376
2020-02-14T00:00:00.000Z,10.8,39.88,18.01,15.86,20.93,4.454,380
2020-02-15T00:00:00.000Z,10.99,38.56,26.35,23.9,28.53,4.765,316
2020-02-16T00:00:00.000Z,8.4,24.61,16.2,14.05,18.23,3.155,376
2020-02-17T00:00:00.000Z,3.82,30.83,10.15,8.06,14.27,6.225,349
2020-02-18T00:00:00.000Z,3.18,22.64,9.61,7.65,12.35,3.875,311
2020-02-19T00:00:00.000Z,7.42,27.5,14.18,12.02,16.52,3.317,452
2020-02-20T00:00:00.000Z,12.14,43.05,18.92,16.34,24.34,5.507,485
2020-02-21T00:00:00.000Z,17.23,67.45,27.24,22.84,38.72,11.843,424
2020-02-22T00:00:00.000Z,13.09,54.62,26.74,20.92,38.54,10.933,442
2020-02-23T00:00:00.000Z,7.85,34.72,21.58,16.96,24.94,6.036,449
2020-02-24T00:00:00.000Z,9.07,61.06,23.4,17.98,31.95,11.506,527
2020-02-25T00:00:00.000Z,4.55,51.59,23.97,18.73,28.25,8.9,455
2020-02-26T00:00:00.000Z,6.95,26.94,12.81,10.94,15.78,3.682,405
2020-02-27T00:00:00.000Z,6.83,29.06,12.54,10.79,14.86,3.928,552
2020-02-28T00:00:00.000Z,9.67,44.08,16.54,14.74,19.7,4.782,560
2020-02-29T00:00:00.000Z,12.94,48.03,22.64,19.89,25.92,6.605,569
2020-03-01T00:00:00.000Z,7.36,50.96,27.42,19.78,31.18,10.464,571
2020-03-02T00:00:00.000Z,8.94,44.42,15.08,12.99,20.76,7.764,482
2020-03-03T00:00:00.000Z,10.19,61.4,20.26,17.32,28.03,11.817,421
2020-03-04T00:00:00.000Z,12.26,56.89,18.63,16.37,26.09,8.844,575
2020-03-05T00:00:00.000Z,9.94,31.08,17.3,15.34,19.77,3.756,576
2020-03-06T00:00:00.000Z,10.02,38.59,18.63,16.23,22.62,4.899,578
2020-03-07T00:00:00.000Z,6.74,34.47,18.97,15.21,21.92,5.617,578
2020-03-08T00:00:00.000Z,4.67,23.76,10.27,8.83,11.96,3.054,578
2020-03-09T00:00:00.000Z,7.61,75.81,13.58,11.47,16.32,5.257,573
2020-03-10T00:00:00.000Z,7.06,32.17,14.24,11.98,16.92,3.962,574
2020-03-11T00:00:00.000Z,4.32,43.38,14.73,12.08,18.05,5.985,572
2020-03-12T00:00:00.000Z,7.62,41,13.76,11.62,19.95,7.262,514
2020-03-13T00:00:00.000Z,5.7,39.65,12.04,10.02,17.02,7.239,521
2020-03-14T00:00:00.000Z,3.78,28.48,10.4,8.59,16.86,5.177,532
2020-03-15T00:00:00.000Z,5.98,19.3,10.81,9.16,12.71,2.427,282
2020-03-16T00:00:00.000Z,6.38,27.18,13.33,10.29,17.73,4.269,573
2020-03-17T00:00:00.000Z,10.44,45.52,20.55,17.73,27.85,7.865,570
2020-03-18T00:00:00.000Z,7.41,33.86,14.77,12.73,17.39,4.918,506
2020-03-19T00:00:00.000Z,6.47,36.04,12.72,10.14,19.35,6.598,560
2020-03-20T00:00:00.000Z,8.84,47.85,16.84,13.16,22.25,9.051,476
2020-03-21T00:00:00.000Z,15.82,59.45,22.77,20.81,30.08,10.106,486
2020-03-22T00:00:00.000Z,5.15,32.95,15.63,12.57,20.12,6.01,475
2020-03-23T00:00:00.000Z,4.09,22.07,10.33,8.4,12.95,3.297,467
2020-03-24T00:00:00.000Z,2.52,18.84,6.92,5.9,8.35,2.053,475
2020-03-25T00:00:00.000Z,2.63,20.1,8.94,6.68,11.6,3.354,455
2020-03-26T00:00:00.000Z,5.18,37.5,10.88,8.48,15.16,6.948,447
2020-03-27T00:00:00.000Z,8.8,1205.25,44.47,14.26,66.89,132.281,400
2020-03-28T00:00:00.000Z,26,108.66,80.58,46.72,90.34,23.855,184
2020-03-29T00:00:00.000Z,8.66,55.73,37.42,25.63,46.27,13.289,356
2020-03-30T00:00:00.000Z,4.66,131.72,10.72,8.74,20.58,17.423,142
2020-03-31T00:00:00.000Z,4.01,39.5,9.86,8.16,12.23,5.047,324
2020-04-01T00:00:00.000Z,3.27,26.22,8.8,7.09,11.14,3.913,202
2020-04-02T00:00:00.000Z,2.5,16.25,7.03,5.6,8.74,2.234,446
2020-04-03T00:00:00.000Z,3.43,39.04,9.91,7.51,18.69,8.069,477
2020-04-04T00:00:00.000Z,8.41,41.46,16.27,13.51,20.02,6.954,527
2020-04-05T00:00:00.000Z,1.85,128.16,14.01,8.69,16.93,8.699,536
2020-04-06T00:00:00.000Z,2.82,23.38,6.98,5.66,9.1,3.588,510
2020-04-07T00:00:00.000Z,2.76,21.16,7.4,5.85,9.05,2.659,446
2020-04-08T00:00:00.000Z,3.14,34.28,9.36,6.64,20.52,7.488,482
2020-04-09T00:00:00.000Z,17.6,78.36,32.58,26.88,57.44,16.458,454
2020-04-10T00:00:00.000Z,14.68,76.04,32.26,26.46,52.8,16.017,514
2020-04-11T00:00:00.000Z,14.93,47.62,31.45,22.38,38.85,9.313,149
2020-04-12T00:00:00.000Z,5.3,47.78,30.7,27.62,35.27,6.424,572
2020-04-13T00:00:00.000Z,7.85,51.58,25.44,19.26,29.2,7.525,575
2020-04-14T00:00:00.000Z,6.96,49.15,15.24,11.74,19.1,8.619,556
2020-04-15T00:00:00.000Z,7.3,48.12,18.8,12.35,26.1,10.345,514
2020-04-16T00:00:00.000Z,17.16,74.02,31.1,27.22,47.76,13.275,515
2020-04-17T00:00:00.000Z,10.34,62.08,26.93,24.06,30.8,9.642,563
2020-04-18T00:00:00.000Z,6.15,43.52,19.64,16.51,22.61,6.69,575
2020-04-19T00:00:00.000Z,5.43,34.52,11.68,10.16,13.3,2.666,545
2020-04-20T00:00:00.000Z,2.58,33.26,8.28,6.92,9.82,4.736,506
2020-04-21T00:00:00.000Z,0.85,16.91,6,3.59,8.66,3.401,381
2020-04-22T00:00:00.000Z,3.83,50.05,10.57,8.43,14.49,6.952,416
2020-04-23T00:00:00.000Z,11.16,76,31.38,16.64,58.32,20.709,473
2020-04-24T00:00:00.000Z,12.78,60.11,35.71,27.01,41.43,11.181,534
2020-04-25T00:00:00.000Z,5.44,43.72,18.92,15.88,26.75,8.834,506
2020-04-26T00:00:00.000Z,1.78,15.08,8.69,6.74,10.24,2.379,549
2020-04-27T00:00:00.000Z,0.86,14.23,4.13,2.82,5.92,2.427,526
2020-04-28T00:00:00.000Z,0.72,17.28,6.48,3.82,8.63,3.109,407
2020-04-29T00:00:00.000Z,0.94,61.55,6.46,3.81,14.71,8.532,509
2020-04-30T00:00:00.000Z,3.95,58.17,12.99,8.73,28.92,12.924,536
2020-05-01T00:00:00.000Z,13.15,82.33,31.74,26.03,36.95,12.947,551
2020-05-02T00:00:00.000Z,9.63,53.42,23.85,19.98,28.25,9.046,538
2020-05-03T00:00:00.000Z,10.44,43.05,21.72,17.23,28.32,7.523,567
2020-05-04T00:00:00.000Z,5.57,40.85,22.5,17.05,26.53,7.511,529
2020-05-05T00:00:00.000Z,6.52,536.14,15.84,11.62,24.96,38.021,468
2020-05-06T00:00:00.000Z,0.45,36.47,13.88,6.58,16.7,6.189,576
2020-05-07T00:00:00.000Z,1.15,213.48,13.62,8.77,17.18,11.979,389
2020-05-08T00:00:00.000Z,6.17,79.23,26.57,20.3,45.7,17.018,349
2020-05-09T00:00:00.000Z,4.62,62.12,34.64,18.13,37.61,12.19,338
2020-05-10T00:00:00.000Z,5.5,24.32,10.31,9.05,11.57,2.484,246
2020-05-11T00:00:00.000Z,9.4,33.65,20.74,17.48,26.3,5.176,352
2020-05-12T00:00:00.000Z,9.4,40,19.89,17.27,28.77,6.708,468
2020-05-13T00:00:00.000Z,15.55,54.68,27.4,23.42,37.54,9.53,469
2020-05-14T00:00:00.000Z,9.13,52.98,21.28,16.91,30.34,8.686,453
