date, pm25, pm10
2023/11/2, 71, 
2023/11/3, 50, 
2023/11/4, 47, 
2023/11/5, 60, 
2023/11/6, 41, 
2023/11/7, 35, 
2023/11/8, 54, 
2023/11/9, 33, 
2023/11/10, 36, 
2023/11/11, 60, 
2023/11/12, 57, 
2023/11/13, 81, 
2023/11/14, 70, 
2023/11/15, 64, 
2023/10/2, 50, 
2023/10/3, 53, 
2023/10/4, 90, 
2023/10/5, 74, 
2023/10/6, 89, 
2023/10/7, 70, 
2023/10/8, 73, 
2023/10/9, 65, 
2023/10/10, 70, 
2023/10/11, 32, 
2023/10/12, 38, 
2023/10/13, 53, 
2023/10/14, 43, 
2023/10/15, 39, 
2023/10/16, 46, 
2023/10/17, 36, 
2023/10/18, 31, 
2023/10/19, 65, 
2023/10/20, 39, 
2023/10/21, 33, 
2023/10/22, 27, 
2023/10/23, 43, 
2023/10/24, 108, 
2023/11/1, 18, 
2023/7/2, 38, 
2023/7/3, 50, 
2023/7/4, 60, 
2023/7/5, 71, 
2023/7/6, 98, 
2023/7/7, 115, 
2023/7/8, 69, 
2023/7/9, 62, 
2023/7/10, 104, 
2023/7/11, 68, 
2023/7/12, 205, 
2023/7/13, 163, 
2023/7/14, 65, 
2023/7/15, 97, 
2023/7/16, 125, 
2023/7/17, 145, 
2023/7/18, 258, 
2023/7/19, 91, 
2023/7/20, 47, 
2023/7/21, 54, 
2023/7/22, 79, 
2023/7/23, 103, 
2023/7/24, 102, 
2023/7/25, 48, 
2023/7/26, 78, 
2023/7/27, 113, 
2023/7/28, 50, 
2023/7/29, 48, 
2023/7/30, 76, 
2023/7/31, 74, 
2023/8/1, 66, 
2023/8/2, 109, 
2023/8/3, 97, 
2023/8/4, 114, 
2023/8/5, 108, 
2023/8/6, 21, 
2023/8/7, 56, 
2023/8/8, 177, 
2023/8/9, 61, 
2023/8/10, 44, 
2023/8/11, 74, 
2023/8/12, 105, 
2023/8/13, 46, 
2023/8/14, 46, 
2023/8/15, 57, 
2023/8/16, 76, 
2023/8/17, 65, 
2023/8/18, 81, 
2023/8/19, 66, 
2023/8/20, 39, 
2023/8/21, 57, 
2023/8/22, 76, 
2023/8/23, 97, 
2023/8/24, 98, 
2023/8/25, 125, 
2023/8/26, 101, 
2023/8/27, 76, 
2023/8/28, 64, 
2023/8/29, 80, 
2023/8/30, 62, 
2023/8/31, 97, 
2023/9/1, 57, 
2023/9/2, 78, 
2023/9/3, 92, 
2023/9/4, 111, 
2023/9/5, 109, 
2023/9/6, 34, 
2023/9/7, 33, 
2023/9/8, 86, 
2023/9/9, 47, 
2023/9/10, 65, 
2023/9/11, 62, 
2023/9/12, 67, 
2023/9/13, 76, 
2023/9/14, 45, 
2023/9/15, 68, 
2023/9/16, 75, 
2023/9/17, 80, 
2023/9/18, 86, 
2023/9/19, 109, 
2023/9/20, 57, 
2023/9/21, 97, 
2023/9/22, 76, 
2023/9/23, 71, 
2023/9/24, 70, 
2023/9/25, 84, 
2023/9/26, 73, 
2023/9/27, 75, 
2023/9/28, 74, 
2023/9/29, 56, 
2023/9/30, 33, 
2023/10/1, 81, 
2023/4/2, 48, 
2023/4/3, 47, 
2023/4/4, 99, 
2023/4/5, 66, 
2023/4/6, 61, 
2023/4/7, 52, 
2023/4/8, 77, 
2023/4/9, 56, 
2023/4/10, 56, 
2023/4/11, 55, 
2023/4/12, 25, 
2023/4/13, 24, 
2023/4/14, 59, 
2023/4/15, 67, 
2023/4/16, 23, 
2023/4/17, 55, 
2023/4/18, 80, 
2023/4/19, 61, 
2023/4/20, 42, 
2023/4/21, 45, 
2023/4/22, 68, 
2023/4/23, 48, 
2023/4/24, 64, 
2023/4/25, 83, 
2023/4/26, 56, 
2023/4/27, 38, 
2023/4/28, 54, 
2023/4/29, 38, 
2023/4/30, 58, 
2023/5/1, 62, 
2023/5/2, 50, 
2023/5/3, 46, 
2023/5/4, 69, 
2023/5/5, 137, 
2023/5/6, 68, 
2023/5/7, 40, 
2023/5/8, 56, 
2023/5/9, 73, 
2023/5/10, 86, 
2023/5/11, 67, 
2023/5/12, 65, 
2023/5/13, 57, 
2023/5/14, 51, 
2023/5/15, 65, 
2023/5/16, 59, 
2023/5/17, 72, 
2023/5/18, 65, 
2023/5/19, 71, 
2023/5/20, 103, 
2023/5/21, 41, 
2023/5/22, 60, 
2023/5/23, 70, 
2023/5/24, 46, 
2023/5/25, 75, 
2023/5/26, 90, 
2023/5/27, 154, 
2023/5/28, 262, 
2023/5/29, 143, 
2023/5/30, 102, 
2023/5/31, 51, 
2023/6/1, 86, 
2023/6/2, 59, 
2023/6/3, 52, 
2023/6/4, 81, 
2023/6/5, 92, 
2023/6/6, 56, 
2023/6/7, 96, 
2023/6/8, 61, 
2023/6/9, 76, 
2023/6/10, 101, 
2023/6/11, 138, 
2023/6/12, 146, 
2023/6/13, 51, 
2023/6/14, 130, 
2023/6/15, 88, 
2023/6/16, 37, 
2023/6/17, 117, 
2023/6/18, 237, 
2023/6/19, 144, 
2023/6/20, 154, 
2023/6/21, 167, 
2023/6/22, 60, 
2023/6/23, 71, 
2023/6/24, 82, 
2023/6/25, 87, 
2023/6/26, 75, 
2023/6/27, 89, 
2023/6/28, 96, 
2023/6/29, 126, 
2023/6/30, 59, 
2023/7/1, 46, 
2023/1/3, 43, 7
2023/1/4, 13, 9
2023/1/5, 18, 9
2023/1/6, 16, 14
2023/1/7, 23, 14
2023/1/8, 22, 12
2023/1/9, 21, 10
2023/1/10, 22, 10
2023/1/11, 29, 15
2023/1/12, 31, 11
2023/1/13, 12, 13
2023/1/14, 22, 17
2023/1/15, 21, 11
2023/1/16, 17, 25
2023/1/17, 15, 16
2023/1/18, 21, 18
2023/1/19, 13, 19
2023/1/20, 21, 9
2023/1/21, 20, 6
2023/1/22, 17, 9
2023/1/23, 18, 16
2023/1/24, 16, 12
2023/1/25, 28, 11
2023/1/26, 31, 7
2023/1/27, 19, 9
2023/1/28, 26, 9
2023/1/29, 19, 3
2023/1/30, 12, 14
2023/1/31, 14, 15
2023/2/1, 22, 17
2023/2/2, 19, 14
2023/2/3, 17, 15
2023/2/4, 12, 10
2023/2/5, 16, 5
2023/2/6, 9, 19
2023/2/7, 21, 15
2023/2/8, 17, 15
2023/2/9, 20, 10
2023/2/10, 26, 
2023/2/11, 15, 
2023/2/12, 25, 12
2023/2/13, 29, 17
2023/2/14, 51, 
2023/2/15, 49, 
2023/2/16, 13, 
2023/2/17, 20, 
2023/2/18, 23, 
2023/2/19, 16, 
2023/2/20, 15, 
2023/2/21, 15, 
2023/2/22, 13, 
2023/2/23, 35, 
2023/2/24, 16, 
2023/2/25, 32, 
2023/2/26, 43, 
2023/2/27, 44, 
2023/2/28, 23, 
2023/3/1, 27, 
2023/3/2, 32, 
2023/3/3, 25, 
2023/3/4, 25, 
2023/3/5, 37, 
2023/3/6, 27, 
2023/3/7, 45, 
2023/3/8, 31, 
2023/3/9, 37, 
2023/3/10, 41, 
2023/3/11, 25, 
2023/3/12, 18, 
2023/3/13, 30, 
2023/3/14, 34, 
2023/3/15, 32, 
2023/3/16, 18, 
2023/3/17, 29, 
2023/3/18, 18, 
2023/3/19, 45, 
2023/3/20, 9, 
2023/3/21, 21, 
2023/3/22, 39, 
2023/3/23, 29, 
2023/3/24, 30, 
2023/3/25, 40, 
2023/3/26, 26, 
2023/3/27, 40, 
2023/3/28, 70, 
2023/3/29, 73, 
2023/3/30, 71, 
2023/3/31, 48, 
2023/4/1, 63, 
2022/10/2, 27, 39
2022/10/3, 74, 36
2022/10/4, 85, 32
2022/10/5, 61, 39
2022/10/6, 73, 23
2022/10/7, 54, 23
2022/10/8, 66, 35
2022/10/9, 80, 30
2022/10/10, 51, 28
2022/10/11, 36, 33
2022/10/12, 75, 34
2022/10/13, 72, 36
2022/10/14, 82, 26
2022/10/15, 34, 26
2022/10/16, 39, 27
2022/10/17, 38, 41
2022/10/18, 59, 38
2022/10/19, 56, 30
2022/10/20, 44, 27
2022/10/21, 30, 25
2022/10/22, 33, 23
2022/10/23, 51, 25
2022/10/24, 54, 24
2022/10/25, 49, 41
2022/10/26, 56, 27
2022/10/27, 53, 32
2022/10/28, 58, 31
2022/10/29, 91, 27
2022/10/30, 61, 29
2022/10/31, 65, 28
2022/11/1, 36, 26
2022/11/2, 24, 28
2022/11/3, 22, 34
2022/11/4, 50, 27
2022/11/5, 38, 33
2022/11/6, 44, 22
2022/11/7, 39, 29
2022/11/8, 38, 28
2022/11/9, 21, 29
2022/11/10, 34, 14
2022/11/11, 36, 14
2022/11/12, 55, 33
2022/11/13, 47, 5
2022/11/14, 32, 11
2022/11/15, 43, 14
2022/11/16, 56, 9
2022/11/17, 30, 9
2022/11/18, 24, 14
2022/11/19, 34, 31
2022/11/20, 53, 20
2022/11/21, 30, 16
2022/11/22, 32, 13
2022/11/23, 32, 9
2022/11/24, 35, 17
2022/11/25, 24, 19
2022/11/26, 30, 17
2022/11/27, 15, 16
2022/11/28, 22, 20
2022/11/29, 28, 14
2022/11/30, 21, 19
2022/12/1, 21, 21
2022/12/2, 26, 17
2022/12/3, 45, 12
2022/12/4, 42, 13
2022/12/5, 41, 15
2022/12/6, 52, 14
2022/12/7, 34, 12
2022/12/8, 43, 8
2022/12/9, 44, 13
2022/12/10, 37, 15
2022/12/11, 34, 10
2022/12/12, 28, 9
2022/12/13, 34, 11
2022/12/14, 25, 9
2022/12/15, 32, 11
2022/12/16, 17, 15
2022/12/17, 25, 13
2022/12/18, 27, 14
2022/12/19, 22, 16
2022/12/20, 27, 14
2022/12/21, 25, 12
2022/12/22, 28, 16
2022/12/23, 32, 11
2022/12/24, 24, 23
2022/12/25, 17, 11
2022/12/26, 24, 14
