date, pm25, so2
2023/11/7, 13, 
2023/11/8, 20, 
2023/11/9, 25, 
2023/11/10, 16, 
2023/11/11, 14, 
2023/11/12, 20, 
2023/11/13, 9, 
2023/11/14, 15, 
2023/11/15, 14, 
2023/10/2, 36, 
2023/10/3, 31, 
2023/10/4, 24, 
2023/10/6, 41, 
2023/10/7, 22, 
2023/10/8, 27, 
2023/10/9, 34, 
2023/10/10, 30, 
2023/10/11, 33, 
2023/10/12, 39, 
2023/10/13, 40, 
2023/10/14, 29, 
2023/10/15, 36, 
2023/10/16, 37, 
2023/10/17, 39, 
2023/10/18, 36, 
2023/10/19, 38, 
2023/10/20, 37, 
2023/10/21, 29, 
2023/10/22, 28, 
2023/10/23, 29, 
2023/10/24, 30, 
2023/10/31, 29, 
2023/7/2, 54, 
2023/7/3, 37, 
2023/7/4, 41, 
2023/7/5, 46, 
2023/7/6, 56, 
2023/7/7, 57, 
2023/7/8, 53, 
2023/7/9, 45, 
2023/7/10, 38, 
2023/7/11, 50, 
2023/7/12, 51, 
2023/7/13, 47, 
2023/7/14, 36, 
2023/7/15, 35, 
2023/7/16, 28, 
2023/7/17, 31, 
2023/7/18, 40, 
2023/7/19, 56, 
2023/7/20, 54, 
2023/7/21, 49, 
2023/7/22, 43, 
2023/7/23, 44, 
2023/7/24, 37, 
2023/7/25, 32, 
2023/7/26, 25, 
2023/7/27, 30, 
2023/7/28, 34, 
2023/7/29, 36, 
2023/7/30, 47, 
2023/7/31, 43, 
2023/8/1, 36, 
2023/8/2, 44, 
2023/8/3, 42, 
2023/8/4, 38, 
2023/8/5, 37, 
2023/8/6, 70, 
2023/8/7, 43, 
2023/8/8, 43, 
2023/8/9, 28, 
2023/8/10, 30, 
2023/8/11, 26, 
2023/8/12, 29, 
2023/8/13, 25, 
2023/8/14, 29, 
2023/8/15, 30, 
2023/8/16, 28, 
2023/8/17, 29, 
2023/8/18, 31, 
2023/8/19, 28, 
2023/8/20, 26, 
2023/8/21, 33, 
2023/8/22, 45, 
2023/8/23, 38, 
2023/8/24, 42, 
2023/8/25, 27, 
2023/8/26, 37, 
2023/8/27, 43, 
2023/8/28, 29, 
2023/8/29, 27, 
2023/8/30, 28, 
2023/8/31, 30, 
2023/9/1, 32, 
2023/9/2, 21, 
2023/9/3, 24, 
2023/9/4, 27, 
2023/9/5, 45, 
2023/9/6, 30, 
2023/9/7, 25, 
2023/9/8, 29, 
2023/9/9, 30, 
2023/9/10, 35, 
2023/9/11, 18, 
2023/9/12, 16, 
2023/9/13, 28, 
2023/9/14, 31, 
2023/9/15, 42, 
2023/9/16, 31, 
2023/9/17, 23, 
2023/9/18, 43, 
2023/9/19, 33, 
2023/9/20, 34, 
2023/9/21, 31, 
2023/9/22, 34, 
2023/9/23, 23, 
2023/9/24, 20, 
2023/9/25, 65, 
2023/9/26, 41, 
2023/9/27, 50, 
2023/9/28, 23, 
2023/9/29, 19, 
2023/9/30, 31, 
2023/10/1, 29, 
2023/4/2, 32, 
2023/4/3, 33, 
