date, pm25, pm10, so2
2023/9/2, 69, , 1
2023/4/2, 41, 9, 
2023/4/3, 26, 16, 7
2023/4/4, 38, 21, 
2023/4/5, 42, 15, 1
2023/4/6, 31, 9, 
2023/4/7, 24, 19, 1
2023/4/8, 46, 23, 
2023/4/9, 58, 13, 
2023/4/10, 36, 11, 
2023/4/11, 29, 5, 
2023/4/12, 19, 11, 1
2023/4/13, 37, 4, 
2023/4/14, 13, 12, 1
2023/4/15, 32, 18, 1
2023/4/16, 46, 20, 1
2023/4/17, 50, 14, 1
2023/4/18, 34, 19, 1
2023/4/19, 44, 18, 1
2023/4/20, 45, 13, 1
2023/4/21, 35, 9, 1
2023/4/22, 31, 14, 1
2023/4/23, 47, 18, 1
2023/4/24, 52, 16, 1
2023/4/25, 50, 26, 1
2023/4/26, 78, 33, 1
2023/4/27, 88, 11, 1
2023/4/28, 39, 143, 1
2023/4/29, 118, , 1
2023/5/3, 42, 36, 1
2023/5/4, 202, 1, 1
2023/5/7, 550, 847, 1
2023/5/8, 518, , 
2023/2/14, 22, 23, 
2023/2/15, 33, 25, 1
2023/2/16, 27, 26, 2
2023/2/17, 37, 40, 2
2023/2/18, 58, 45, 1
2023/2/19, 81, 25, 1
2023/2/20, 54, 24, 1
2023/2/21, 45, 29, 
2023/2/22, 49, 36, 2
2023/2/23, 65, 33, 1
2023/2/24, 59, 17, 
2023/2/25, 37, 19, 
2023/2/26, 29, 26, 2
2023/2/27, 45, 28, 2
2023/2/28, 46, 22, 2
2023/3/1, 46, 21, 2
2023/3/2, 40, 28, 3
2023/3/3, 43, 15, 1
2023/3/4, 34, 20, 1
2023/3/5, 41, 19, 1
2023/3/6, 36, 9, 
2023/3/7, 19, 13, 1
2023/3/8, 29, 12, 
2023/3/9, 26, 29, 
2023/3/10, 84, 27, 1
2023/3/11, 139, 14, 
2023/3/12, 22, 10, 
2023/3/13, 26, 15, 
2023/3/14, 37, 20, 
2023/3/15, 45, 16, 1
2023/3/16, 31, 12, 
2023/3/17, 23, 14, 
2023/3/18, 36, 20, 
2023/3/19, 51, 16, 1
2023/3/20, 31, 18, 
2023/3/21, 34, 20, 
2023/3/22, 40, 21, 1
2023/3/23, 41, 22, 1
2023/3/24, 44, 25, 1
2023/3/25, 42, 22, 1
2023/3/26, 45, 27, 2
2023/3/27, 54, 17, 1
2023/3/28, 34, 10, 
2023/3/29, 26, 11, 1
2023/3/30, 23, 14, 1
2023/3/31, 34, 17, 1
2023/4/1, 47, 17, 
2023/5/2, , 11, 1
2023/5/6, , 792, 1
2023/2/13, , 21, 
2023/11/2, , , 
2023/11/3, , , 
2023/11/4, , , 
2023/11/5, , , 
2023/11/6, , , 
2023/11/7, , , 1
2023/11/8, , , 
2023/11/9, , , 
2023/11/10, , , 
2023/11/11, , , 1
2023/11/12, , , 2
2023/11/13, , , 
2023/11/14, , , 
2023/11/15, , , 
2023/11/16, , , 
2023/10/2, , , 
2023/10/3, , , 
2023/10/4, , , 
2023/10/5, , , 
2023/10/6, , , 
2023/10/7, , , 
2023/10/8, , , 
