date, pm25, pm10
2023/11/6, 27, 14
2023/11/7, 26, 12
2023/11/8, 20, 10
2023/11/9, 13, 15
2023/11/10, 21, 18
2023/11/11, 32, 13
2023/11/12, 29, 9
2023/11/13, 23, 53
2023/11/14, 20, 12
2023/11/15, 19, 12
2023/11/16, 18, 
2023/10/2, 47, 19
2023/10/3, 38, 24
2023/10/4, 51, 22
2023/10/5, 37, 27
2023/10/6, 47, 19
2023/10/7, 27, 17
2023/10/8, 32, 19
2023/10/9, 37, 15
2023/10/10, 29, 19
2023/10/11, 30, 19
2023/10/12, 28, 24
2023/10/13, 33, 22
2023/10/14, 33, 18
2023/10/15, 30, 16
2023/10/16, 33, 18
2023/10/17, 21, 25
2023/10/18, 37, 30
2023/10/19, 44, 29
2023/10/20, 46, 37
2023/10/21, 50, 24
2023/10/22, 39, 20
2023/10/23, 37, 23
2023/10/24, 36, 
2023/7/2, 86, 10
2023/7/3, 35, 23
2023/7/4, 61, 27
2023/7/5, 70, 50
2023/7/6, 126, 31
2023/7/7, 74, 26
2023/7/8, 71, 20
2023/7/9, 58, 24
2023/7/10, 67, 26
2023/7/11, 67, 39
2023/7/12, 105, 29
2023/7/13, 80, 34
2023/7/14, 82, 39
2023/7/15, 98, 27
2023/7/16, 66, 26
2023/7/17, 67, 38
2023/7/18, 90, 55
2023/7/19, 119, 53
2023/7/20, 119, 27
2023/7/21, 68, 13
2023/7/22, 38, 22
2023/7/23, 60, 33
2023/7/24, 88, 23
2023/7/25, 66, 34
2023/7/26, 77, 41
2023/7/27, 94, 41
2023/7/28, 97, 49
2023/7/29, 106, 31
2023/7/30, 72, 36
2023/7/31, 85, 19
2023/8/1, 51, 25
2023/8/2, 56, 18
2023/8/3, 39, 24
2023/8/4, 62, 35
2023/8/5, 77, 43
2023/8/6, 103, 42
2023/8/7, 105, 51
2023/8/8, 113, 59
2023/8/9, 128, 42
2023/8/10, 93, 23
2023/8/11, 61, 39
2023/8/12, 82, 25
2023/8/13, 65, 26
2023/8/14, 64, 45
2023/8/15, 93, 21
2023/8/16, 57, 30
2023/8/17, 65, 26
2023/8/18, 61, 24
2023/8/19, 57, 7
2023/8/20, 18, 5
2023/8/21, 15, 16
2023/8/22, 59, 20
2023/8/23, 57, 21
2023/8/24, 61, 27
2023/8/25, 74, 23
2023/8/26, 63, 24
2023/8/27, 63, 26
2023/8/28, 71, 37
2023/8/29, 96, 25
2023/8/30, 63, 18
2023/8/31, 40, 35
2023/9/1, 75, 37
2023/9/2, 87, 18
2023/9/3, 57, 16
2023/9/4, 43, 32
2023/9/5, 76, 127
2023/9/6, 190, 26
2023/9/7, 44, 31
2023/9/8, 66, 25
2023/9/9, 49, 11
2023/9/10, 29, 8
2023/9/11, 32, 23
2023/9/12, 51, 65
2023/9/13, 94, 23
2023/9/14, 50, 16
2023/9/15, 42, 15
2023/9/16, 32, 14
2023/9/17, 40, 16
2023/9/18, 45, 11
2023/9/19, 36, 19
2023/9/20, 47, 25
2023/9/21, 45, 17
2023/9/22, 32, 16
2023/9/23, 40, 72
2023/9/24, 122, 14
2023/9/25, 44, 23
2023/9/26, 55, 15
2023/9/27, 42, 16
2023/9/28, 43, 13
2023/9/29, 29, 25
2023/9/30, 44, 24
2023/10/1, 40, 19
2023/4/2, 40, 8
2023/4/3, 36, 13
2023/4/4, 30, 35
2023/4/5, 52, 30
2023/4/6, 41, 18
2023/4/7, 27, 25
2023/4/8, 33, 29
2023/4/9, 54, 23
2023/4/10, 47, 24
2023/4/11, 36, 14
2023/4/12, 14, 21
2023/4/13, 27, 16
2023/4/14, 22, 26
2023/4/15, 47, 24
2023/4/16, 43, 26
2023/4/17, 49, 17
2023/4/18, 24, 24
2023/4/19, 36, 25
2023/4/20, 32, 26
2023/4/21, 38, 10
2023/4/22, 29, 20
2023/4/23, 43, 26
2023/4/24, 58, 34
2023/4/25, 66, 38
2023/4/26, 85, 59
2023/4/27, 120, 43
2023/4/28, 93, 15
2023/4/29, 13, 9
2023/4/30, 12, 12
2023/5/1, 22, 24
2023/5/2, 69, 22
2023/5/3, 54, 28
2023/5/4, 68, 28
2023/5/5, 75, 32
2023/5/6, 75, 33
2023/5/7, 89, 36
2023/5/8, 90, 33
2023/5/9, 74, 34
2023/5/10, 74, 36
2023/5/11, 80, 34
2023/5/12, 74, 31
2023/5/13, 62, 21
2023/5/14, 43, 20
2023/5/15, 54, 15
2023/5/16, 35, 29
2023/5/17, 75, 36
2023/5/18, 89, 41
2023/5/19, 98, 33
2023/5/20, 79, 22
2023/5/21, 59, 12
2023/5/22, 41, 10
2023/5/23, 33, 22
2023/5/24, 52, 25
2023/5/25, 56, 37
2023/5/26, 83, 20
2023/5/27, 52, 23
2023/5/28, 59, 40
2023/5/29, 101, 41
2023/5/30, 95, 46
2023/5/31, 107, 42
2023/6/1, 116, 36
2023/6/2, 92, 28
2023/6/3, 67, 31
2023/6/4, 65, 32
2023/6/5, 74, 46
2023/6/6, 93, 43
2023/6/7, 89, 28
2023/6/8, 68, 10
2023/6/9, 24, 29
2023/6/10, 64, 31
2023/6/11, 79, 22
2023/6/12, 67, 39
2023/6/13, 102, 42
2023/6/14, 104, 43
2023/6/15, 98, 63
2023/6/16, 123, 32
2023/6/17, 85, 62
2023/6/18, 153, 60
2023/6/19, 154, 66
2023/6/20, 149, 52
2023/6/21, 130, 24
2023/6/22, 71, 8
2023/6/23, 26, 5
2023/6/24, 20, 8
2023/6/25, 32, 18
2023/6/26, 52, 28
2023/6/27, 58, 25
2023/6/28, 66, 32
2023/6/29, 75, 39
2023/6/30, 90, 47
2023/7/1, 97, 34
2023/2/14, 24, 26
2023/2/15, 30, 21
2023/2/16, 21, 27
2023/2/17, 24, 38
2023/2/18, 31, 46
2023/2/19, 84, 41
2023/2/20, 93, 45
2023/2/21, 101, 42
2023/2/22, 82, 43
2023/2/23, 74, 29
2023/2/24, 51, 30
2023/2/25, 40, 15
2023/2/26, 23, 19
2023/2/27, 29, 25
2023/2/28, 33, 26
2023/3/1, 33, 22
2023/3/2, 21, 30
