date, pm25, pm10, o3, no2, so2, co
2023/11/2, 32, 32, , , , 
2023/11/3, 26, 31, , , , 
2023/11/4, 32, 44, , , , 
2023/11/5, 60, 31, , , , 
2023/11/6, 31, 38, , , , 
2023/11/7, 32, 40, , , , 
2023/11/8, 35, 42, , , , 
2023/11/9, 32, 45, , , , 
2023/11/10, 38, 30, , , , 
2023/11/11, 36, 24, , , , 
2023/11/12, 31, 23, , , , 
2023/11/13, 26, 27, , , , 
2023/11/14, 29, 28, , , , 
2023/11/15, 30, , , , , 
2023/10/2, 34, 38, , , , 
2023/10/3, 33, 38, , , , 
2023/10/4, 37, 32, , , , 
2023/10/5, 26, 30, , , , 
2023/10/6, 21, 33, , , , 
2023/10/7, 26, 26, , , , 
2023/10/8, 26, 41, , , , 
2023/10/9, 61, 31, , , , 
2023/10/10, 27, 33, , , , 
2023/10/11, 24, 35, , , , 
2023/10/12, 28, 43, , , , 
2023/10/13, 35, 46, , , , 
2023/10/14, 33, 36, , , , 
2023/10/15, 27, 38, , , , 
2023/10/16, 32, 35, , , , 
2023/10/17, 27, 39, , , , 
2023/10/18, 27, 35, , , , 
2023/10/19, 25, 33, , , , 
2023/10/20, 25, 39, , , , 
2023/10/21, 37, 31, , , , 
2023/10/22, 30, 36, , , , 
2023/10/23, 31, 32, , , , 
2023/10/24, 28, 38, , , , 
2023/10/25, 29, 46, , , , 
2023/10/26, 33, 36, , , , 
2023/10/27, 25, 31, , , , 
2023/10/28, 28, 25, , , , 
2023/10/29, 28, 29, , , , 
2023/10/30, 30, 28, , , , 
2023/10/31, 21, 30, , , , 
2023/11/1, 23, 38, , , , 
2023/7/2, 47, 50, , , , 
2023/7/3, 45, 47, , , , 
2023/7/4, 45, 98, , , , 
2023/7/5, 146, 37, , , , 
2023/7/6, 35, 46, , , , 
2023/7/7, 38, 39, , , , 
2023/7/8, 30, 40, , , , 
2023/7/9, 41, 51, , , , 
2023/7/10, 39, 38, , , , 
2023/7/11, 40, 156, , , , 
2023/7/12, 82, 29, , , , 
2023/7/13, 29, 41, , , , 
2023/7/14, 32, 56, , , , 
2023/7/15, 44, 34, , , , 
2023/7/16, 31, 40, , , , 
2023/7/17, 31, 35, , , , 
2023/7/18, 28, 57, , , , 
2023/7/19, 44, 56, , , , 
2023/7/20, 41, 52, , , , 
2023/7/21, 42, 46, , , , 
2023/7/22, 39, 47, , , , 
2023/7/23, 37, 40, , , , 
2023/7/24, 31, 49, , , , 
2023/7/25, 44, 38, , , , 
2023/7/26, 29, 44, , , , 
2023/7/27, 36, 41, , , , 
2023/7/28, 35, 41, , , , 
2023/7/29, 31, 58, , , , 
2023/7/30, 47, 53, , , , 
2023/7/31, 43, 52, , , , 
2023/8/1, 39, 74, , , , 
2023/8/2, 52, 52, , , , 
2023/8/3, 48, 53, , , , 
2023/8/4, 48, 57, , , , 
2023/8/5, 50, 34, , , , 
2023/8/6, 34, 46, , , , 
2023/8/7, 77, 51, , , , 
2023/8/8, 58, 49, , , , 
2023/8/9, 61, 52, , , , 
2023/8/10, 56, 41, , , , 
2023/8/11, 55, 43, , , , 
2023/8/12, 56, 41, , , , 
2023/8/13, 52, 38, , , , 
2023/8/14, 49, 36, , , , 
2023/8/15, 42, 37, , , , 
2023/8/16, 39, 36, , , , 
2023/8/17, 39, 37, , , , 
