date, pm25, pm10, o3, so2, co
2023/11/2, 90, 26, , , 
2023/11/3, 47, 15, , , 
2023/11/4, 30, 15, , , 
2023/11/5, 53, 20, , , 
2023/11/6, 53, 22, , , 
2023/11/7, 57, 16, , , 
2023/11/8, 50, 18, , , 
2023/11/9, 35, 20, , , 
2023/11/10, 36, 31, , , 
2023/11/11, 60, 13, , , 
2023/11/12, 32, 10, , , 
2023/11/13, 29, 13, , , 
2023/11/14, 44, 14, , , 
2023/11/15, 37, , , , 
2023/10/2, 43, 33, , , 
2023/10/3, 69, 26, , , 
2023/10/4, 71, 31, , , 
2023/10/5, 42, 25, , , 
2023/10/6, 12, 19, , , 
2023/10/7, 13, 17, , , 
2023/10/8, 21, 15, , , 
2023/10/9, 40, 13, , , 
2023/10/10, 43, 42, , , 
2023/10/11, 99, 34, , , 
2023/10/12, 73, 25, , , 
2023/10/13, 55, 34, , , 
2023/10/14, 71, 35, , , 
2023/10/15, 73, 16, , , 
2023/10/16, 40, 28, , , 
2023/10/17, 51, 35, , , 
2023/10/18, 53, 40, , , 
2023/10/19, 60, 21, , , 
2023/10/20, 28, 30, , , 
2023/10/21, 48, 29, , , 
2023/10/22, 60, 25, , , 
2023/10/23, 53, 63, , , 
2023/10/24, 141, , , , 
2023/10/31, 126, 31, , , 
2023/11/1, 68, 40, , , 
2023/7/2, 251, 55, , , 
2023/7/3, 130, 32, , , 
2023/7/4, 100, 44, , , 
2023/7/5, 128, 36, , , 
2023/7/6, 111, 46, , , 
2023/7/7, 101, 75, , , 
2023/7/8, 159, 63, , , 
2023/7/9, 146, 79, , , 
2023/7/10, 159, 45, , , 
2023/7/11, 113, 51, , , 
2023/7/12, 109, 91, , , 
2023/7/13, 173, 137, , , 
2023/7/14, 220, 86, , , 
2023/7/15, 185, 46, , , 
2023/7/16, 110, 72, , , 
2023/7/17, 158, 86, , , 
2023/7/18, 162, 78, , , 
2023/7/19, 168, 93, , , 
2023/7/20, 199, 86, , , 
2023/7/21, 191, 49, , , 
2023/7/22, 123, 60, , , 
2023/7/23, 115, 74, , , 
2023/7/24, 143, 75, , , 
2023/7/25, 154, 120, , , 
2023/7/26, 222, 89, , , 
2023/7/27, 160, 98, , , 
2023/7/28, 165, 90, , , 
2023/7/29, 172, 16, , , 
2023/7/30, 50, 57, , , 
2023/7/31, 109, 60, , , 
2023/8/1, 146, 16, , , 
2023/8/2, 53, 18, , , 
2023/8/3, 52, 23, , , 
2023/8/4, 40, 28, , , 
2023/8/5, 49, 34, , , 
2023/8/6, 73, 32, , , 
2023/8/7, 65, 136, , , 
2023/8/8, 209, 76, , , 
2023/8/9, 145, 58, , , 
2023/8/10, 146, 43, , , 
2023/8/11, 106, 51, , , 
2023/8/12, 94, 84, , , 
2023/8/13, 183, 70, , , 
2023/8/14, 166, 41, , , 
2023/8/15, 110, 26, , , 
2023/8/16, 87, 40, , , 
2023/8/17, 116, 72, , , 
2023/8/18, 175, 89, , , 
2023/8/19, 158, 63, , , 
2023/8/20, 139, 57, , , 
2023/8/21, 136, 48, , , 
2023/8/22, 120, 28, , , 
2023/8/23, 59, 31, , , 
2023/8/24, 48, 27, , , 
2023/8/25, 57, 36, , , 
2023/8/26, 82, 24, , , 
2023/8/27, 59, 24, , , 
2023/8/28, 61, 27, , , 
2023/8/29, 62, 32, , , 
2023/8/30, 74, 22, , , 
2023/8/31, 63, 36, , , 
2023/9/1, 84, 26, , , 
2023/9/2, 63, 33, , , 
2023/9/3, 90, 51, , , 
2023/9/4, 111, 68, , , 
2023/9/5, 134, 71, , , 
2023/9/6, 136, 62, , , 
2023/9/7, 122, 63, , , 
2023/9/8, 130, 49, , , 
2023/9/9, 104, 53, , , 
2023/9/10, 127, 29, , , 
2023/9/11, 73, 33, , , 
2023/9/12, 77, 26, , , 
2023/9/13, 64, 25, , , 
2023/9/14, 58, 19, , , 
2023/9/15, 55, 28, , , 
2023/9/16, 75, 27, , , 
2023/9/17, 71, 25, , , 
2023/9/18, 73, 32, , , 
2023/9/19, 77, 76, , , 
2023/9/20, 138, 105, , , 
2023/9/21, 174, 70, , , 
2023/9/22, 127, 57, , , 
2023/9/23, 106, 42, , , 
2023/9/24, 81, 48, , , 
2023/9/25, 98, 53, , , 
2023/9/26, 90, 26, , , 
2023/9/27, 42, 31, , , 
2023/9/28, 73, 38, , , 
2023/9/29, 82, 36, , , 
2023/9/30, 79, 36, , , 
2023/10/1, 77, 19, , , 
2023/4/2, 70, 22, , , 
2023/4/3, 55, 25, , , 
2023/4/4, 63, 29, , , 
2023/4/5, 69, 34, , , 
2023/4/6, 95, 28, , , 
2023/4/7, 61, 25, , , 
2023/4/8, 70, 26, , , 
2023/4/9, 63, 16, , , 
