date, pm25, o3, no2, so2, co
2023/11/2, 51, , 9, 4, 6
2023/11/3, 50, 3, 10, 3, 6
2023/11/4, 60, 3, 8, 3, 7
2023/11/5, 40, , 8, 4, 
2023/11/6, 51, , 8, 3, 6
2023/11/7, 42, 17, 9, 6, 8
2023/11/8, 51, 14, 6, 3, 6
2023/11/9, 69, 12, 7, 4, 
2023/11/10, 53, 11, 6, 3, 
2023/11/11, 49, 9, 7, 3, 
2023/11/12, 43, 8, 6, 3, 6
2023/11/13, 52, 17, 7, 6, 13
2023/11/14, 66, 10, 7, 3, 7
2023/11/15, 46, , , , 
2023/10/2, 47, 26, 10, 5, 12
2023/10/3, 37, 5, 11, 4, 7
2023/10/4, 51, 7, 12, 4, 4
2023/10/5, 67, 6, 10, 3, 7
2023/10/6, 46, 4, 11, 3, 4
2023/10/7, 36, 6, 11, 4, 6
2023/10/8, 56, 5, 11, 4, 6
2023/10/9, 77, 6, 10, 3, 34
2023/10/10, 63, 20, 11, 7, 16
2023/10/11, 54, 11, 10, 4, 8
2023/10/12, 64, 16, 9, 3, 28
2023/10/13, 80, 13, 9, 4, 4
2023/10/14, 73, 14, 9, 3, 7
2023/10/15, 62, 11, 9, 3, 8
2023/10/16, 61, 12, 9, 3, 7
2023/10/17, 66, 18, 8, 7, 11
2023/10/18, 58, 11, 9, 4, 7
2023/10/19, 46, 10, 10, 3, 7
2023/10/20, 67, 14, 8, 3, 7
2023/10/21, 60, 13, 9, 4, 
2023/10/22, 46, 12, 9, 4, 4
2023/10/23, 41, 24, 9, 6, 10
2023/10/24, 47, 12, 9, 3, 7
2023/10/25, 60, 12, 9, 3, 7
2023/10/26, 59, 15, 9, 3, 
2023/10/27, 55, 11, 10, 4, 7
2023/10/28, 40, 10, 11, 3, 
2023/10/29, 42, 9, 9, 3, 
2023/10/30, 42, 10, 10, 3, 6
2023/10/31, 63, 116, 11, 7, 13
2023/11/1, 70, , 8, 3, 6
2023/7/2, 35, 9, 9, 3, 3
2023/7/3, 35, 11, 9, 3, 6
2023/7/4, 50, 17, 15, 6, 13
2023/7/5, 53, 8, 11, 3, 5
2023/7/6, 54, 11, 9, 3, 6
2023/7/7, 57, 13, 7, 3, 6
2023/7/8, 38, 11, 7, 3, 7
2023/7/9, 38, 12, 8, 3, 7
2023/7/10, 40, 19, 6, 9, 7
2023/7/11, 26, 13, 7, 3, 5
2023/7/12, 29, 11, 8, 3, 6
2023/7/13, 33, 4, 14, 3, 5
2023/7/14, 66, 12, 10, 3, 6
2023/7/15, 66, 16, 8, 3, 7
2023/7/16, 63, 13, 10, 4, 5
2023/7/17, 77, 12, 11, 4, 8
2023/7/18, 70, 12, 13, 4, 10
2023/7/19, 85, 35, 12, 7, 14
2023/7/20, 84, 13, 13, 4, 6
2023/7/21, 67, 12, 9, 3, 6
2023/7/22, 38, 8, 11, 3, 5
2023/7/23, 51, 7, 13, 3, 6
2023/7/24, 57, 10, 12, 3, 7
2023/7/25, 72, 19, 12, 14, 10
2023/7/26, 56, 10, 12, 3, 7
2023/7/27, 51, 10, 12, 3, 8
2023/7/28, 56, 12, 14, 4, 7
2023/7/29, 69, 12, 11, 3, 6
2023/7/30, 61, 14, 10, 3, 4
2023/7/31, 54, 14, 11, 9, 10
2023/8/1, 63, 12, 11, 3, 6
2023/8/2, 57, 12, 10, 3, 5
2023/8/3, 46, 12, 11, 3, 8
2023/8/4, 48, 10, 10, 3, 8
2023/8/5, 43, 8, 9, 3, 4
2023/8/6, 40, 9, 10, 3, 7
2023/8/7, 41, 12, 10, 3, 5
2023/8/8, 47, 36, 16, 6, 10
2023/8/9, 50, 14, 10, 3, 7
2023/8/10, 46, 11, 11, 3, 7
2023/8/11, 46, 8, 13, 3, 7
2023/8/12, 66, 11, 11, 3, 4
2023/8/13, 58, 12, 9, 3, 4
2023/8/14, 40, 12, 8, 3, 6
2023/8/15, 30, 11, 9, 3, 7
2023/8/16, 35, 10, 10, 3, 6
2023/8/17, 29, 7, 10, 3, 5
2023/8/18, 37, 14, 12, 6, 7
2023/8/19, 54, 4, 14, 3, 7
2023/8/20, 53, 5, 12, 3, 10
2023/8/21, 45, 8, 10, 3, 7
2023/8/22, 52, 6, 10, 3, 7
