date, pm25, pm10, o3, no2, so2, co
2023/11/2, 41, 13, 14, 1, 1, 
2023/11/3, 31, 15, 14, 1, 1, 
2023/11/4, 34, 14, 12, 1, 1, 
2023/11/5, 33, 6, 11, , 1, 
2023/11/6, 15, 15, 10, 1, 1, 
2023/11/7, 40, 10, 14, , 1, 
2023/11/8, 16, 11, 11, 1, , 
2023/11/9, 24, 16, 16, 2, 1, 
2023/11/10, 31, 13, 16, 2, , 
2023/11/11, 20, 13, 16, , , 
2023/11/12, 25, 14, 14, , , 
2023/11/13, 32, 10, 14, , , 
2023/11/14, 31, 11, 15, 1, 1, 
2023/11/15, 17, , , , , 
2023/10/2, 45, 20, 12, 2, , 
2023/10/3, 63, 25, 14, 2, , 
2023/10/4, 64, 21, 15, 1, 1, 
2023/10/5, 52, 17, 14, 1, , 
2023/10/6, 40, 17, 14, 1, , 
2023/10/7, 52, 20, 13, 1, 1, 
2023/10/8, 42, 24, 14, 1, 1, 
2023/10/9, 54, 20, 13, 2, 1, 
2023/10/10, 44, 16, 14, 1, 1, 
2023/10/11, 35, 27, 14, 1, 1, 
2023/10/12, 59, 29, 15, 1, 1, 
2023/10/13, 50, 28, 15, 2, 1, 
2023/10/14, 46, 25, 15, 1, 1, 
2023/10/15, 44, 28, 13, 1, 1, 
2023/10/16, 55, 26, 13, 2, 1, 
2023/10/17, 48, 25, 19, 2, 1, 
2023/10/18, 40, 28, 15, 2, 1, 
2023/10/19, 43, 28, 15, 3, 1, 
2023/10/20, 45, 32, 16, 3, 1, 
2023/10/21, 44, 28, 17, 2, 1, 
2023/10/22, 43, 30, 14, 1, 1, 
2023/10/23, 57, 16, 8, 1, 1, 
2023/10/24, 33, , , , , 
2023/10/26, 55, , , , , 
2023/10/31, 30, 13, 13, , 1, 
2023/11/1, 31, 13, 13, , 1, 
2023/7/2, 92, 23, 11, 2, , 
2023/7/3, 66, 30, 11, 3, , 
2023/7/4, 75, 27, 14, 2, 1, 
2023/7/5, 74, 25, 7, 2, 1, 
2023/7/6, 69, 33, 11, 3, 1, 
2023/7/7, 86, 20, 8, 1, 1, 
2023/7/8, 64, 22, 14, 2, 1, 
2023/7/9, 56, 34, 9, 2, 1, 
2023/7/10, 91, 33, 10, 2, 7, 
2023/7/11, 95, 45, 4, 3, , 
2023/7/12, 120, 52, 10, 6, 1, 
2023/7/13, 130, 32, 6, 2, , 
2023/7/14, 96, 42, 8, 2, , 
2023/7/15, 114, 35, 11, 2, 1, 
2023/7/16, 95, 46, 8, 2, 1, 
2023/7/17, 122, 46, 9, 3, , 
2023/7/18, 118, 63, 5, 3, 1, 
2023/7/19, 159, 50, 6, 5, 1, 
2023/7/20, 127, 16, 12, 2, 1, 
2023/7/21, 48, 19, 14, 2, , 
2023/7/22, 51, 25, 14, 2, 1, 
