date, pm25, pm10, o3, so2
2023/11/3, 34, 16, , 
2023/11/4, 36, 25, , 
2023/11/5, 34, 11, , 
2023/11/6, 23, 14, , 
2023/11/7, 29, 8, , 
2023/11/8, 20, 9, , 
2023/11/9, 17, 11, , 
2023/11/10, 23, 12, , 
2023/11/11, 30, 8, , 
2023/11/12, 21, 10, , 
2023/11/13, 32, 8, , 
2023/11/14, 16, 8, , 
2023/11/15, 18, , , 
2023/10/2, 37, 15, , 
2023/10/3, 28, 21, , 
2023/10/4, 61, 22, , 
2023/10/5, 45, 25, , 
2023/10/6, 48, 15, , 
2023/10/7, 31, 17, , 
2023/10/8, 39, 15, , 
2023/10/9, 32, 15, , 
2023/10/10, 30, 15, , 
2023/10/11, 32, 17, , 
2023/10/12, 22, 21, , 
2023/10/13, 30, 21, , 
2023/10/14, 35, 17, , 
2023/10/15, 32, 14, , 
2023/10/16, 31, 21, , 
2023/10/17, 25, 28, , 
2023/10/18, 38, 29, , 
2023/10/19, 44, 27, , 
2023/10/20, 49, 40, , 
2023/10/21, 55, 23, , 
2023/10/22, 39, 20, , 
2023/10/23, 32, 14, , 
2023/10/24, 37, , , 
2023/7/2, 105, 7, , 
2023/7/3, 27, 11, , 
2023/7/4, 30, 9, , 
2023/7/5, 26, 21, , 
2023/7/6, 56, 23, , 
2023/7/7, 70, 19, , 
2023/7/8, 64, 9, , 
2023/7/9, 28, 31, , 
2023/7/10, 101, 28, , 
2023/7/11, 76, 37, , 
2023/7/12, 113, 30, , 
2023/7/13, 88, 41, , 
2023/7/14, 113, 47, , 
2023/7/15, 132, 19, , 
2023/7/16, 57, 20, , 
2023/7/17, 72, 43, , 
2023/7/18, 114, 52, , 
2023/7/19, 132, 45, , 
2023/7/20, 111, 23, , 
2023/7/21, 64, 10, , 
2023/7/22, 16, 10, , 
2023/7/23, 25, 20, , 
2023/7/24, 68, 19, , 
2023/7/25, 65, 19, , 
2023/7/26, 55, 30, , 
2023/7/27, 86, 31, , 
2023/7/28, 87, 49, , 
2023/7/29, 120, 51, , 
2023/7/30, 129, 38, , 
2023/7/31, 103, 20, , 
2023/8/1, 65, 11, , 
2023/8/2, 42, , , 
2023/8/3, 29, 44, , 
2023/8/4, 41, 30, , 
2023/8/5, 71, 43, , 
2023/8/6, 111, 30, , 
2023/8/7, 85, 30, , 
2023/8/8, 85, 49, , 
2023/8/9, 138, 34, , 
2023/8/10, 91, 8, , 
2023/8/11, 23, 26, , 
2023/8/12, 72, 22, , 
2023/8/13, 61, 37, , 
2023/8/14, 98, 44, , 
2023/8/15, 135, 10, , 
2023/8/16, 48, 7, , 
2023/8/17, 22, 12, , 
2023/8/18, 30, 15, , 
2023/8/19, 43, 6, , 
2023/8/20, 16, 3, , 
2023/8/21, 10, 11, , 
2023/8/22, 29, 5, , 
2023/8/23, 18, 11, , 
2023/8/24, 41, 12, , 
2023/8/25, 38, 45, , 
2023/8/26, 90, 40, , 
2023/8/27, 88, 22, , 
2023/8/28, 99, 16, , 
2023/8/29, 47, 21, , 
2023/8/30, 66, 45, , 
2023/8/31, 43, 26, , 
2023/9/1, 55, 34, , 
2023/9/2, 83, 15, , 
2023/9/3, 51, 12, , 
2023/9/4, 38, 30, , 
2023/9/5, 79, 21, , 
2023/9/6, 71, 14, , 
2023/9/7, 36, 17, , 
2023/9/8, 38, 31, , 
2023/9/9, 78, 6, , 
2023/9/10, 23, 4, , 
2023/9/11, 5, 14, , 
2023/9/12, 55, 18, , 
2023/9/13, 52, 16, , 
2023/9/14, 35, 20, , 
2023/9/15, 77, 12, , 
2023/9/16, 33, 9, , 
2023/9/17, 48, 19, , 
2023/9/18, 46, 9, , 
2023/9/19, 20, 9, , 
2023/9/20, 20, 16, , 
2023/9/21, 27, 8, , 
2023/9/22, 9, 11, , 
2023/9/23, 31, 14, , 
2023/9/24, 34, 15, , 
2023/9/25, 29, 16, , 
2023/9/26, 37, 8, , 
2023/9/27, 24, 13, , 
2023/9/28, 34, 10, , 
2023/9/29, 21, 19, , 
2023/9/30, 37, 26, , 
2023/10/1, 47, 12, , 
2023/4/2, 50, 27, , 
2023/4/3, 65, 23, , 
2023/4/4, 41, 32, , 
2023/4/5, 47, 30, , 
2023/4/6, 33, 23, , 
2023/4/7, 27, 20, , 
2023/4/8, 39, 30, , 
2023/4/9, 56, 34, , 
2023/4/10, 55, 33, , 
2023/4/11, 47, 14, , 
2023/4/12, 19, 46, , 
2023/4/13, 36, 18, , 
2023/4/14, 34, 31, , 
2023/4/15, 69, 41, , 
2023/4/16, 85, 47, , 
2023/4/17, 100, 20, , 
2023/4/18, 40, 30, , 
2023/4/19, 55, 32, , 
2023/4/20, 48, 41, , 
2023/4/21, 71, 13, , 
2023/4/22, 27, 19, , 
2023/4/23, 39, 37, , 
2023/4/24, 91, 41, , 
2023/4/25, 107, 42, , 
2023/4/26, 107, 76, , 
2023/4/27, 169, 72, , 
2023/4/28, 134, 30, , 
2023/4/29, 45, 5, , 
2023/4/30, 19, 11, , 
2023/5/1, 36, 12, , 
2023/5/2, 41, 14, , 
2023/5/3, 42, 26, , 
2023/5/4, 49, 26, , 
2023/5/5, 87, 26, , 
2023/5/6, 76, 39, , 
2023/5/7, 126, 28, , 
2023/5/8, 89, 28, , 
2023/5/9, 74, 29, , 
2023/5/10, 73, 42, , 
2023/5/11, 104, 33, , 
2023/5/12, 85, 30, , 
2023/5/13, 71, 19, , 
2023/5/14, 51, 19, , 
2023/5/15, 63, 17, , 
2023/5/16, 56, 36, , 
2023/5/17, 100, 22, , 
2023/5/18, 67, 41, , 
2023/5/19, 112, 37, , 
2023/5/20, 102, 33, , 
2023/5/21, 96, 12, , 
2023/5/22, 33, 6, , 
2023/5/23, 15, 8, , 
2023/5/24, 18, 7, , 
2023/5/25, 16, 14, , 
2023/5/26, 41, 22, , 
2023/5/27, 51, 24, , 
2023/5/28, 68, 46, , 
2023/5/29, 140, 48, , 
2023/5/30, 134, 52, , 
2023/5/31, 144, 26, , 
2023/6/1, 79, 17, , 
2023/6/2, 59, 8, , 
2023/6/3, 21, 11, , 
2023/6/4, 28, 33, , 
2023/6/5, 95, 61, , 
2023/6/6, 155, 33, , 
2023/6/7, 76, 26, , 
2023/6/8, 73, 12, , 
2023/6/9, 40, 22, , 
2023/6/10, 57, 15, , 
2023/6/11, 57, 10, , 
2023/6/12, 43, 17, , 
2023/6/13, 61, 18, , 
2023/6/14, 77, , , 
2023/6/16, 67, 40, , 
2023/6/17, 70, 43, , 
2023/6/18, 121, 56, , 
2023/6/19, 161, 72, , 
2023/6/20, 171, 55, , 
2023/6/21, 145, 23, , 
2023/6/22, 70, 7, , 
2023/6/23, 28, 3, , 
2023/6/24, 16, 7, , 
2023/6/25, 31, 7, , 
2023/6/26, 32, 17, , 
2023/6/27, 27, 15, , 
2023/6/28, 34, 22, , 
2023/6/29, 65, 47, , 
2023/6/30, 126, 47, , 
2023/7/1, 117, 36, , 
2023/1/3, 14, 20, , 
2023/1/4, 5, 28, , 
2023/1/5, 19, 27, , 
2023/1/6, 24, 21, , 
2023/1/7, 13, 17, , 
2023/1/8, 9, 17, , 
2023/1/9, 8, 21, , 
2023/1/10, 19, 19, , 
2023/1/11, 11, 25, , 
2023/1/12, 16, 21, , 
2023/1/13, 5, 22, , 
2023/1/14, 5, 20, , 
2023/1/15, 59, 14, , 
2023/1/16, 14, 27, , 
2023/1/17, 16, 31, , 
2023/1/18, 14, 35, , 
2023/1/19, 22, 26, , 
2023/1/20, 19, 24, , 
2023/1/21, 24, 22, , 
2023/1/22, 13, 17, , 
2023/1/23, 29, 26, , 
2023/1/24, 22, 32, , 
2023/1/25, 9, 18, , 
2023/1/26, 7, 16, , 
2023/1/27, 12, 18, , 
2023/1/29, 16, 22, , 
2023/1/30, 19, 21, , 
2023/1/31, 5, 25, , 
2023/2/1, 17, 32, , 
2023/2/2, 22, 45, , 
2023/2/3, 42, 121, , 
2023/2/4, 146, 310, , 
2023/2/5, 365, 188, , 
2023/2/6, 280, 108, , 
2023/2/7, 195, 98, , 
2023/2/8, 182, 145, , 
2023/2/9, 242, 84, , 
2023/2/10, 163, 48, , 
2023/2/11, 94, 55, , 
2023/2/12, 103, 44, , 
2023/2/13, 103, 21, , 
2023/2/14, 12, 30, , 
2023/2/15, 32, 30, , 
2023/2/16, 29, 30, , 
2023/2/17, 17, 37, , 
2023/2/18, 26, 51, , 
2023/2/19, 76, 57, , 
2023/2/20, 92, 60, , 
2023/2/21, 115, 38, , 
2023/2/22, 61, 56, , 
2023/2/23, 90, 36, , 
2023/2/24, 65, 31, , 
2023/2/25, 47, 16, , 
2023/2/26, 39, 21, , 
2023/2/27, 38, 40, , 
2023/2/28, 43, 27, , 
2023/3/1, 38, 19, , 
2023/3/2, 19, 30, , 
2023/3/3, 29, 19, , 
2023/3/4, 23, 19, , 
2023/3/5, 26, 21, , 
2023/3/6, 39, 16, , 
2023/3/7, 21, 49, , 
2023/3/8, 19, 13, , 
2023/3/9, 15, 25, , 
2023/3/10, 37, 25, , 
2023/3/11, 36, 14, , 
2023/3/12, 16, 13, , 
2023/3/13, 18, 15, , 
2023/3/14, 25, 19, , 
2023/3/15, 26, 26, , 
2023/3/16, 19, 18, , 
2023/3/17, 13, 16, , 
2023/3/18, 19, 17, , 
2023/3/19, 23, 12, , 
2023/3/20, 20, 23, , 
2023/3/21, 29, 35, , 
2023/3/22, 52, 43, , 
2023/3/23, 77, 44, , 
2023/3/24, 81, 44, , 
2023/3/25, 66, 34, , 
2023/3/26, 66, 30, , 
2023/3/27, 62, 39, , 
2023/3/28, 60, 17, , 
2023/3/29, 20, 13, , 
2023/3/30, 21, 21, , 
2023/3/31, 37, 32, , 
2023/4/1, 64, 32, , 
2022/10/2, 36, 38, , 
2022/10/3, 56, 19, , 
2022/10/4, 31, 19, , 
2022/10/5, 58, 45, , 
2022/10/6, 54, 13, , 
2022/10/7, 35, 14, , 
2022/10/8, 42, 12, , 
2022/10/9, 22, 15, , 
2022/10/10, 20, 18, , 
2022/10/11, 28, 20, , 
2022/10/12, 43, 25, , 
2022/10/13, 34, 19, , 
2022/10/14, 20, 23, , 
2022/10/15, 20, 24, , 
2022/10/16, 29, 18, , 
2022/10/17, 18, 22, , 
2022/10/18, 32, 15, , 
2022/10/19, 22, 21, , 
2022/10/20, 30, 22, , 
2022/10/21, 21, 24, , 
2022/10/22, 19, 21, , 
2022/10/23, 25, 13, , 
2022/10/24, 14, 18, , 
2022/10/25, 17, 16, , 
2022/10/26, 17, 9, , 
2022/10/27, 12, 14, , 
2022/10/28, 21, 11, , 
2022/10/29, 23, 11, , 
2022/10/30, 16, 18, , 
2022/10/31, 16, 20, , 
2022/11/1, 17, 17, , 
2022/11/2, 15, 34, , 
2022/11/3, 43, 29, , 
2022/11/4, 39, 21, , 
