date, pm25, pm10, so2
2023/11/2, 13, 18, 2
2023/11/3, 23, 14, 1
2023/11/4, 20, 13, 1
2023/11/5, 13, 6, 
2023/11/6, 11, 11, 
2023/11/7, 21, 13, 
2023/11/8, 10, 14, 1
2023/11/9, 15, 20, 5
2023/11/10, 21, 13, 
2023/11/11, 11, 11, 
2023/11/12, 14, 12, 
2023/11/13, 18, 16, 
2023/11/14, 18, 17, 
2023/11/15, 14, 15, 2
2023/11/16, 19, , 
2023/10/2, 26, 21, 
2023/10/3, 36, 26, 1
2023/10/4, 43, 28, 1
2023/10/5, 48, 28, 2
2023/10/6, 43, 20, 
2023/10/7, 46, 20, 
2023/10/8, 28, 15, 
2023/10/9, 24, 19, 
2023/10/10, 35, 22, 
2023/10/11, 29, 29, 1
2023/10/12, 31, 32, 1
2023/10/13, 39, 30, 1
2023/10/14, 41, 24, 2
2023/10/15, 40, 20, 
2023/10/16, 22, 20, 1
2023/10/17, 27, 26, 1
2023/10/18, 36, 31, 
2023/10/19, 48, 35, 
2023/10/20, 54, 29, 2
2023/10/21, 36, 26, 1
2023/10/22, 37, 28, 2
2023/10/23, 47, 21, 1
2023/10/24, 27, 27, 
2023/10/25, 31, 32, 2
2023/10/26, 40, 23, 1
2023/10/27, 35, 11, 
2023/10/28, 19, 14, 
2023/10/29, 23, 22, 1
2023/10/30, 38, 21, 
2023/10/31, 45, 16, 1
2023/11/1, 32, 14, 
2023/7/2, 142, 7, 
2023/7/3, 15, 13, 
2023/7/4, 15, 55, 
2023/7/5, 91, 63, 1
2023/7/6, 128, 51, 
2023/7/7, 120, 33, 
2023/7/8, 72, 35, 1
2023/7/9, 63, 71, 1
2023/7/10, 150, 47, 
2023/7/11, 105, 54, 1
2023/7/12, 134, 40, 1
2023/7/13, 90, 42, 
2023/7/14, 102, 58, 1
2023/7/15, 133, 37, 
2023/7/16, 98, 40, 
2023/7/17, 100, 101, 1
2023/7/18, 165, 74, 1
2023/7/19, 148, 19, 
2023/7/20, 46, 8, 
2023/7/21, 18, 13, 
2023/7/22, 24, 27, 
2023/7/23, 56, 78, 1
2023/7/24, 151, 51, 1
2023/7/25, 97, 27, 1
