date, pm25, pm10, o3, no2, so2, co
2023/11/2, 56, 22, 15, 3, 1, 3
2023/11/3, 59, 27, 13, 4, 14, 3
2023/11/4, 64, 17, 13, 2, 4, 2
2023/11/5, 43, 16, 11, 3, 1, 5
2023/11/6, 48, 24, 11, 4, , 5
2023/11/7, 61, 20, 16, 4, 7, 4
2023/11/8, 51, 22, 11, 3, 13, 2
2023/11/9, 55, 24, 13, 3, 4, 2
2023/11/10, 52, 19, 16, 3, 2, 3
2023/11/11, 45, 15, 16, 1, 1, 3
2023/11/12, 42, 20, 12, 2, 5, 3
2023/11/13, 57, 20, 12, 3, 3, 3
2023/11/14, 53, 24, 14, 3, 8, 2
2023/11/15, 54, 18, 15, 2, 2, 2
2023/11/16, 48, , , , , 
2023/10/2, 22, 11, 16, 4, 1, 4
2023/10/3, 35, 11, 16, 4, 1, 4
2023/10/4, 35, 21, 16, 4, 3, 5
2023/10/5, 61, 19, 16, 3, 2, 4
2023/10/6, 58, 20, 15, 5, 1, 5
2023/10/7, 54, 24, 15, 4, 8, 3
2023/10/8, 50, 19, 16, 2, 5, 3
2023/10/9, 42, 26, 16, 5, 5, 3
2023/10/10, 63, 29, 15, 3, 10, 3
2023/10/11, 53, 36, 15, 5, 15, 3
2023/10/12, 66, 43, 15, 4, 12, 3
2023/10/13, 75, 39, 16, 4, 7, 3
2023/10/14, 76, 34, 16, 3, 7, 3
2023/10/15, 74, 30, 17, 1, 7, 3
2023/10/16, 68, 34, 13, 4, 10, 2
2023/10/17, 72, 48, 16, 8, 8, 2
2023/10/18, 85, 48, 17, 5, 1, 
2023/10/19, 76, 40, 13, 5, 9, 1
2023/10/20, 82, 36, 14, 4, 14, 
2023/10/21, 71, 42, 14, 5, 4, 2
2023/10/22, 81, 35, 15, 3, 5, 
2023/10/23, 76, 31, 16, 2, 4, 
2023/10/24, 64, 39, 14, 5, 13, 
2023/10/25, 68, 43, 14, 5, 12, 
2023/10/26, 73, 33, 13, 4, 15, 
2023/10/27, 67, 19, 14, 2, 4, 5
2023/10/28, 57, 21, 18, 2, 1, 5
2023/10/29, 58, 25, 16, 5, , 3
2023/10/30, 64, 27, 15, 3, 4, 5
2023/10/31, 75, 27, 15, 4, 2, 4
2023/11/1, 74, 20, 16, 2, 2, 2
2023/7/2, 129, 20, 16, 3, , 6
2023/7/3, 63, 20, 16, 3, , 4
2023/7/4, 53, 62, 18, 4, , 13
2023/7/5, 99, 61, 11, 9, 1, 13
2023/7/6, 144, 74, 14, 10, 4, 15
2023/7/7, 171, 37, 17, 6, , 11
2023/7/8, 95, 32, 19, 5, , 9
2023/7/9, 65, 67, 17, 7, 2, 16
2023/7/10, 149, 79, 12, 8, 1, 15
2023/7/11, 142, 59, 4, 9, 1, 12
2023/7/12, 146, 57, 13, 9, 3, 9
2023/7/13, 137, 66, 12, 9, 2, 10
2023/7/14, 163, 94, 11, 8, 6, 17
2023/7/15, 196, 71, 14, 8, 2, 13
2023/7/16, 168, 72, 14, 10, 3, 12
2023/7/17, 175, 128, 12, 9, 2, 21
2023/7/18, 218, 83, 7, 12, 2, 14
2023/7/19, 173, 42, 13, 8, 1, 9
2023/7/20, 101, 12, 16, 3, 1, 2
2023/7/21, 41, 34, 13, 10, 2, 14
2023/7/22, 83, 23, 16, 9, 1, 5
