date, pm25, pm10, o3, no2, so2, co
2023/11/2, 10, 7, 19, 8, , 2
2023/11/3, 15, 12, 24, 17, 1, 3
2023/11/4, 19, 15, 22, 14, 1, 3
2023/11/5, 34, 10, 21, 9, 1, 3
2023/11/6, 24, 9, 17, 14, 1, 3
2023/11/7, 18, 8, 19, 13, 1, 3
2023/11/8, 13, 8, 21, 14, 1, 3
2023/11/9, 13, 7, 19, 12, 1, 3
2023/11/10, 10, 8, 13, 15, 1, 3
2023/11/11, 18, 4, 15, 12, 1, 3
2023/11/12, 13, 4, 19, 8, 1, 2
2023/11/13, 15, 6, 20, 11, 1, 2
2023/11/14, 11, 6, 19, 8, 1, 2
2023/11/15, 12, 7, 16, 11, 1, 2
2023/11/16, 14, , , , , 
2023/10/2, 31, 9, 20, 5, 2, 2
2023/10/3, 22, 13, 19, 8, 3, 3
2023/10/4, 29, 12, 21, 7, 2, 3
2023/10/5, 31, 19, 20, 8, 2, 4
2023/10/6, 43, 8, 19, 5, 2, 2
2023/10/7, 16, 13, 18, 6, 2, 3
2023/10/8, 26, 14, 19, 7, 2, 4
2023/10/9, 36, 12, 22, 7, 3, 4
2023/10/10, 29, 19, 18, 7, 2, 3
2023/10/11, 34, 15, 20, 6, 3, 3
2023/10/12, 26, 18, 19, 9, 2, 4
2023/10/13, 38, 20, 20, 8, 3, 4
2023/10/14, 37, 15, 21, 6, 3, 3
2023/10/15, 32, 13, 19, 5, 4, 3
2023/10/16, 31, 14, 21, 9, 5, 4
2023/10/17, 21, 16, 20, 5, 2, 2
2023/10/18, 33, 15, 16, 3, 1, 2
2023/10/19, 27, 23, 19, 6, , 4
2023/10/20, 45, 35, 15, 8, , 4
2023/10/21, 62, 15, 12, 3, , 3
2023/10/22, 37, 14, 18, 3, , 2
2023/10/23, 38, 10, 10, 1, , 2
2023/10/24, 30, , , , , 
2023/10/26, 39, 29, , , , 
2023/10/27, 56, , , , , 
2023/7/2, 186, 18, 9, 1, 5, 8
2023/7/3, 62, 28, 10, 2, 4, 11
2023/7/4, 77, 37, 11, 2, 5, 16
2023/7/5, 95, 52, 13, 3, 7, 18
2023/7/6, 118, 46, 12, 8, 5, 19
2023/7/7, 104, 37, 16, 14, 1, 9
2023/7/8, 93, 13, 15, 9, , 3
2023/7/9, 44, 27, 16, 10, , 7
2023/7/10, 75, 31, 13, 10, , 7
2023/7/11, 89, 35, 6, 10, 1, 10
2023/7/12, 105, 31, 12, 17, 3, 12
2023/7/13, 70, 69, 37, 13, 4, 22
2023/7/14, 134, 89, 23, 14, 5, 29
2023/7/15, 176, 74, 15, 14, 5, 25
2023/7/16, 143, 41, 14, 11, 4, 16
2023/7/17, 100, 93, 45, 18, 5, 29
2023/7/18, 171, 91, 10, 31, 5, 25
2023/7/19, 179, 108, 29, 22, 4, 29
2023/7/20, 188, 45, 13, 10, 2, 12
2023/7/21, 97, 7, 16, 7, 2, 2
2023/7/22, 18, 26, 14, 10, 2, 8
2023/7/23, 61, 50, 13, 10, 2, 16
2023/7/24, 115, 68, 10, 14, 2, 20
2023/7/25, 149, 34, 22, 13, 2, 14
2023/7/26, 92, 39, 17, 13, 2, 12
2023/7/27, 99, 66, 28, 12, 3, 20
2023/7/28, 138, 116, 31, 16, 4, 30
2023/7/29, 196, 85, 34, 11, 3, 25
2023/7/30, 167, 61, 15, 8, 3, 20
2023/7/31, 135, 28, 8, 8, 3, 7
2023/8/1, 78, 30, 9, 11, 3, 9
2023/8/2, 81, 26, 17, 11, 3, 7
2023/8/3, 61, 34, 14, 11, 3, 10
2023/8/4, 74, 39, 13, 14, 2, 10
2023/8/5, 89, 51, 11, 12, 2, 12
2023/8/6, 120, 43, 14, 11, 2, 12
2023/8/7, 110, 55, 6, 15, 2, 14
2023/8/8, 126, 71, 9, 19, 2, 16
2023/8/9, 157, 46, 11, 13, 2, 8
2023/8/10, 109, 27, 16, 9, 2, 8
2023/8/11, 59, 40, 17, 11, 3, 15
2023/8/12, 89, 21, 17, 9, 3, 4
2023/8/13, 53, 57, 16, 13, 3, 17
2023/8/14, 120, 83, 13, 17, 4, 24
2023/8/15, 161, 40, 6, 12, 3, 11
2023/8/16, 91, 17, 12, 9, 3, 4
2023/8/17, 49, 14, 18, 8, 3, 3
2023/8/18, 33, 39, 14, 15, 3, 11
2023/8/19, 92, 13, 13, 8, 2, 4
2023/8/20, 40, 5, 15, 4, 2, 3
2023/8/21, 18, 9, 16, 6, 2, 2
2023/8/22, 30, 9, 17, 9, 2, 2
2023/8/23, 40, 25, 17, 11, 2, 7
2023/8/24, 70, 45, 15, 12, 2, 13
2023/8/25, 95, 58, 15, 13, 2, 20
2023/8/26, 122, 43, 18, 13, 1, 12
2023/8/27, 97, 85, 21, 13, 2, 27
2023/8/28, 164, 55, 6, 16, 2, 17
2023/8/29, 127, 38, 11, 11, 2, 15
2023/8/30, 94, 21, 17, 10, 1, 3
2023/8/31, 49, 28, 15, 11, 1, 6
2023/9/1, 65, 34, 12, 12, 1, 6
2023/9/2, 82, 22, 10, 11, 1, 5
2023/9/3, 70, 11, 12, 5, 1, 3
2023/9/4, 45, 24, 10, 11, 1, 7
2023/9/5, 69, 40, 9, 12, 1, 13
2023/9/6, 103, 15, 18, 7, 2, 4
2023/9/7, 40, 34, 15, 10, 2, 9
2023/9/8, 75, 34, 19, 11, 2, 7
