date, pm25, pm10, so2
2023/11/2, 31, , 
2023/11/3, 28, , 
2023/11/4, 37, , 
2023/11/5, 41, , 
2023/11/6, 34, , 
2023/11/7, 24, , 
2023/11/8, 25, , 
2023/11/9, 54, , 
2023/11/10, 37, , 
2023/11/11, 19, , 
2023/11/12, 10, , 
2023/11/13, 17, , 
2023/11/14, 23, , 
2023/11/15, 32, , 
2023/10/2, 24, , 
2023/10/3, 29, , 
2023/10/4, 26, , 
2023/10/5, 35, , 
2023/10/6, 34, , 
2023/10/7, 23, , 
2023/10/8, 36, , 
2023/10/9, 46, , 
2023/10/10, 51, , 
2023/10/11, 32, , 
2023/10/12, 37, , 
2023/10/13, 53, , 
2023/10/14, 56, , 
2023/10/15, 48, , 
2023/10/16, 49, , 
2023/10/17, 47, , 
2023/10/18, 38, , 
2023/10/19, 26, , 
2023/10/20, 42, , 
2023/10/21, 39, , 
2023/10/22, 38, , 
2023/10/23, 30, , 
2023/10/24, 22, , 
2023/10/31, 36, , 
2023/11/1, 41, , 
2023/7/2, 47, , 
2023/7/3, 34, , 
2023/7/4, 46, , 
2023/7/5, 47, , 
2023/7/6, 49, , 
2023/7/7, 51, , 
2023/7/8, 52, , 
2023/7/9, 38, , 
2023/7/10, 40, , 
2023/7/11, 37, , 
2023/7/12, 26, , 
2023/7/13, 27, , 
2023/7/14, 59, , 
2023/7/15, 68, , 
2023/7/16, 73, , 
2023/7/17, 79, , 
2023/7/18, 61, , 
2023/7/19, 76, , 
2023/7/20, 76, , 
2023/7/21, 53, , 
2023/7/22, 39, , 
2023/7/23, 42, , 
2023/7/24, 48, , 
2023/7/25, 43, , 
2023/7/26, 35, , 
2023/7/27, 39, , 
2023/7/28, 51, , 
2023/7/29, 56, , 
2023/7/30, 55, , 
2023/7/31, 54, , 
2023/8/1, 41, , 
2023/8/2, 54, , 
2023/8/3, 50, , 
2023/8/4, 32, , 
2023/8/5, 32, , 
2023/8/6, 25, , 
2023/8/7, 33, , 
2023/8/8, 34, , 
2023/8/9, 41, , 
2023/8/10, 45, , 
2023/8/11, 38, , 
2023/8/12, 48, , 
2023/8/13, 54, , 
2023/8/14, 35, , 
2023/8/15, 13, , 
2023/8/16, 13, , 
2023/8/17, 18, , 
2023/8/18, 27, , 
2023/8/19, 30, , 
2023/8/20, 36, , 
2023/8/21, 33, , 
2023/8/22, 27, , 
2023/8/23, 19, , 
2023/8/24, 16, , 
2023/8/25, 17, , 
2023/8/26, 34, , 
2023/8/27, 43, , 
2023/8/28, 50, , 
2023/8/29, 43, , 
2023/8/30, 45, , 
2023/8/31, 43, , 
2023/9/1, 49, , 
2023/9/2, 37, , 
2023/9/3, 23, , 
2023/9/4, 25, , 
2023/9/5, 24, , 
2023/9/6, 40, , 
2023/9/7, 27, , 
2023/9/8, 36, , 
2023/9/9, 44, , 
2023/9/10, 42, , 
2023/9/11, 35, , 
2023/9/12, 30, , 
2023/9/13, 41, , 
2023/9/14, 44, , 
2023/9/15, 55, , 
2023/9/16, 59, , 
2023/9/17, 33, , 
2023/9/18, 36, , 
2023/9/19, 35, , 
2023/9/20, 43, , 
2023/9/21, 26, , 
2023/9/22, 27, , 
2023/9/23, 29, , 
2023/9/24, 28, , 
2023/9/25, 37, , 
2023/9/26, 33, , 
2023/9/27, 31, , 
2023/9/28, 43, , 
2023/9/29, 35, , 
2023/9/30, 43, , 
2023/10/1, 35, , 
2023/4/2, 46, , 
2023/4/3, 40, , 
2023/4/4, 45, , 
2023/4/5, 46, , 
2023/4/6, 45, , 
2023/4/7, 43, , 
2023/4/8, 39, , 
2023/4/9, 38, , 
2023/4/10, 27, , 
2023/4/11, 35, , 
2023/4/12, 34, , 
2023/4/13, 28, , 
2023/4/14, 24, , 
2023/4/15, 32, , 
2023/4/16, 40, , 
2023/4/17, 44, , 
2023/4/18, 49, , 
2023/4/19, 56, , 
2023/4/20, 75, , 
2023/4/21, 69, , 
2023/4/22, 56, , 
2023/4/23, 52, , 
2023/4/24, 37, , 
2023/4/25, 28, , 
2023/4/26, 42, , 
2023/4/27, 32, , 
2023/4/28, 17, , 
2023/4/29, 35, , 
2023/4/30, 30, , 
2023/5/1, 46, , 
2023/5/2, 55, , 
2023/5/3, 49, , 
2023/5/4, 48, , 
2023/5/5, 54, , 
2023/5/6, 60, , 
2023/5/7, 56, , 
2023/5/8, 57, , 
2023/5/9, 80, , 
2023/5/10, 85, , 
2023/5/11, 75, , 
2023/5/12, 79, , 
2023/5/13, 70, , 
2023/5/14, 68, , 
2023/5/15, 64, , 
2023/5/16, 45, , 
2023/5/17, 42, , 
2023/5/18, 36, , 
2023/5/19, 46, , 
2023/5/20, 64, , 
2023/5/21, 71, , 
2023/5/22, 51, , 
2023/5/23, 33, , 
2023/5/24, 19, , 
2023/5/25, 14, , 
2023/5/26, 31, , 
2023/5/27, 50, , 
2023/5/28, 59, , 
2023/5/29, 51, , 
2023/5/30, 46, , 
2023/5/31, 46, , 
2023/6/1, 69, , 
2023/6/2, 55, , 
2023/6/3, 34, , 
2023/6/4, 41, , 
2023/6/5, 59, , 
2023/6/6, 50, , 
2023/6/7, 55, , 
2023/6/8, 52, , 
2023/6/9, 39, , 
2023/6/10, 39, , 
2023/6/11, 39, , 
2023/6/12, 53, , 
2023/6/13, 54, , 
2023/6/14, 55, , 
2023/6/15, 63, , 
2023/6/16, 86, , 
2023/6/17, 86, , 
2023/6/18, 80, , 
2023/6/19, 48, , 
2023/6/20, 40, , 
2023/6/21, 35, , 
2023/6/22, 46, , 
2023/6/23, 46, , 
2023/6/24, 41, , 
2023/6/25, 47, , 
2023/6/26, 32, , 
2023/6/27, 33, , 
2023/6/28, 39, , 
2023/6/29, 60, , 
2023/6/30, 63, , 
2023/7/1, 71, , 
2023/1/3, 41, , 
2023/1/4, 44, , 
2023/1/5, 44, , 
2023/1/6, 38, , 
2023/1/7, 34, , 
2023/1/8, 36, , 
2023/1/9, 24, , 
2023/1/10, 26, , 
2023/1/11, 23, , 
2023/1/12, 39, , 
2023/1/13, 51, , 
2023/1/14, 46, , 
2023/1/15, 43, , 
2023/1/16, 32, , 
2023/1/17, 41, , 
2023/1/18, 41, , 
2023/1/19, 38, , 
2023/1/20, 36, , 
2023/1/21, 41, , 
2023/1/22, 33, , 
2023/1/23, 33, , 
2023/1/24, 30, , 
2023/1/25, 30, , 
2023/1/26, 39, , 
2023/1/27, 42, , 
2023/1/28, 37, , 
2023/1/29, 49, , 
2023/1/30, 44, , 
2023/1/31, 39, , 
2023/2/1, 27, , 
2023/2/2, 41, , 
2023/2/3, 50, , 
2023/2/4, 36, , 
2023/2/5, 43, , 
2023/2/6, 46, , 
2023/2/7, 53, , 
2023/2/8, 103, , 
2023/2/9, 114, , 
2023/2/10, 114, , 
2023/2/11, 123, , 
2023/2/12, 123, , 
2023/2/13, 99, , 
2023/2/14, 69, , 
2023/2/15, 69, , 
2023/2/16, 56, , 
2023/2/17, 48, , 
2023/2/18, 49, , 
2023/2/19, 42, , 
2023/2/20, 46, , 
2023/2/21, 60, , 
2023/2/22, 65, , 
2023/2/23, 61, , 
2023/2/24, 56, , 
2023/2/25, 50, , 
2023/2/26, 48, , 
2023/2/27, 51, , 
2023/2/28, 58, , 
2023/3/1, 49, , 
2023/3/2, 47, , 
2023/3/3, 42, , 
2023/3/4, 34, , 
2023/3/5, 38, , 
2023/3/6, 36, , 
2023/3/7, 35, , 
2023/3/8, 34, , 
2023/3/9, 25, , 
2023/3/10, 25, , 
2023/3/11, 17, , 
2023/3/12, 14, , 
2023/3/13, 14, , 
2023/3/14, 26, , 
2023/3/15, 25, , 
2023/3/16, 25, , 
2023/3/17, 20, , 
2023/3/18, 24, , 
2023/3/19, 21, , 
2023/3/20, 31, , 
2023/3/21, 24, , 
2023/3/22, 28, , 
2023/3/23, 35, , 
2023/3/24, 42, , 
2023/3/25, 52, , 
2023/3/26, 56, , 
2023/3/27, 54, , 
2023/3/28, 46, , 
2023/3/29, 45, , 
2023/3/30, 42, , 
2023/3/31, 46, , 
2023/4/1, 51, , 
2022/10/2, 24, , 
2022/10/3, 46, , 
2022/10/4, 20, , 
2022/10/5, 20, , 
2022/10/6, 26, , 
2022/10/7, 35, , 
2022/10/8, 50, , 
2022/10/9, 33, , 
2022/10/10, 43, , 
2022/10/11, 31, , 
2022/10/12, 47, , 
2022/10/13, 51, , 
2022/10/14, 48, , 
2022/10/15, 54, , 
2022/10/16, 39, , 
2022/10/17, 25, , 
2022/10/18, 19, , 
2022/10/19, 20, , 
2022/10/20, 20, , 
2022/10/21, 36, , 
2022/10/22, 40, , 
2022/10/23, 34, , 
2022/10/24, 27, , 
2022/10/25, 30, , 
2022/10/26, 20, , 
2022/10/27, 26, , 
2022/10/28, 33, , 
2022/10/29, 27, , 
2022/10/30, 32, , 
2022/10/31, 19, , 
2022/11/1, 51, , 
2022/11/2, 47, , 
2022/11/3, 40, , 
2022/11/4, 32, , 
2022/11/5, 38, , 
2022/11/6, 32, , 
2022/11/7, 35, , 
2022/11/8, 34, , 
2022/11/9, 18, , 
2022/11/10, 18, , 
2022/11/11, 27, , 
2022/11/12, 13, , 
2022/11/13, 27, , 
2022/11/14, 23, , 
2022/11/15, 28, , 
2022/11/16, 24, , 
2022/11/17, 19, , 
2022/11/18, 21, , 
2022/11/19, 31, , 
2022/11/20, 32, , 
2022/11/21, 36, , 
2022/11/22, 46, , 
2022/11/23, 26, , 
2022/11/24, 15, , 
2022/11/25, 18, , 
2022/11/26, 19, , 
2022/11/27, 22, , 
2022/11/28, 12, , 
2022/11/29, 17, , 
2022/11/30, 14, , 
2022/12/1, 12, , 
2022/12/2, 21, , 
2022/12/3, 27, , 
2022/12/4, 26, , 
2022/12/5, 33, , 
2022/12/6, 29, , 
2022/12/7, 32, , 
2022/12/8, 30, , 
2022/12/9, 22, , 
2022/12/10, 21, , 
2022/12/11, 22, , 
2022/12/12, 42, , 
2022/12/13, 49, , 
2022/12/14, 42, , 
2022/12/15, 37, , 
2022/12/16, 38, , 
2022/12/17, 32, , 
2022/12/18, 37, , 
2022/12/19, 29, , 
2022/12/20, 29, , 
2022/12/21, 30, , 
2022/12/22, 28, , 
2022/12/23, 32, , 
2022/12/24, 43, , 
2022/12/25, 50, , 
2022/12/26, 30, , 
2022/12/27, 32, , 
2022/12/28, 41, , 
2022/12/29, 44, , 
2022/12/30, 43, , 
2022/12/31, 35, , 
2023/1/1, 35, , 
2023/1/2, 58, , 
2022/7/2, 35, , 
2022/7/3, 45, , 
2022/7/4, 58, , 
2022/7/5, 59, , 
2022/7/6, 56, , 
2022/7/7, 51, , 
2022/7/8, 53, , 
2022/7/9, 42, , 
2022/7/10, 41, , 
2022/7/11, 22, , 
2022/7/12, 35, , 
2022/7/13, 52, , 
2022/7/14, 47, , 
2022/7/15, 23, , 
2022/7/16, 26, , 
2022/7/17, 41, , 
2022/7/18, 47, , 
2022/7/19, 80, , 
2022/7/20, 65, , 
2022/7/21, 50, , 
2022/7/22, 53, , 
2022/7/23, 45, , 
2022/7/24, 49, , 
2022/7/25, 42, , 
2022/7/26, 49, , 
2022/7/27, 35, , 
2022/7/28, 38, , 
2022/7/29, 37, , 
2022/7/30, 44, , 
2022/7/31, 49, , 
2022/8/1, 41, , 
2022/8/2, 51, , 
2022/8/3, 46, , 
2022/8/4, 59, , 
2022/8/5, 62, , 
2022/8/6, 72, , 
2022/8/7, 44, , 
2022/8/8, 29, , 
2022/8/9, 49, , 
2022/8/10, 56, , 
2022/8/11, 53, , 
2022/8/12, 50, , 
2022/8/13, 35, , 
2022/8/14, 40, , 
2022/8/15, 39, , 
2022/8/16, 39, , 
2022/8/17, 48, , 
2022/8/18, 45, , 
2022/8/19, 58, , 
2022/8/20, 56, , 
2022/8/21, 44, , 
2022/8/22, 27, , 
2022/8/23, 28, , 
2022/8/24, 40, , 
2022/8/25, 62, , 
2022/8/26, 62, , 
2022/8/27, 46, , 
2022/8/28, 45, , 
2022/8/29, 59, , 
2022/8/30, 31, , 
2022/8/31, 26, , 
2022/9/1, 27, , 
2022/9/2, 41, , 
2022/9/3, 55, , 
2022/9/4, 57, , 
2022/9/5, 54, , 
2022/9/6, 43, , 
2022/9/7, 46, , 
2022/9/8, 33, , 
2022/9/9, 37, , 
2022/9/10, 38, , 
2022/9/11, 42, , 
2022/9/12, 35, , 
2022/9/13, 41, , 
2022/9/14, 33, , 
2022/9/15, 43, , 
2022/9/16, 56, , 
2022/9/17, 32, , 
2022/9/18, 36, , 
2022/9/19, 46, , 
2022/9/20, 41, , 
2022/9/21, 32, , 
2022/9/22, 38, , 
2022/9/23, 51, , 
2022/9/24, 46, , 
2022/9/25, 31, , 
2022/9/26, 35, , 
2022/9/27, 34, , 
2022/9/28, 33, , 
2022/9/29, 34, , 
2022/9/30, 32, , 
2022/10/1, 37, , 
2022/4/2, 60, , 
2022/4/3, 60, , 
2022/4/4, 45, , 
2022/4/5, 50, , 
2022/4/6, 47, , 
2022/4/7, 47, , 
2022/4/8, 46, , 
2022/4/9, 41, , 
2022/4/10, 28, , 
2022/4/11, 39, , 
2022/4/12, 53, , 
2022/4/13, 51, , 
2022/4/14, 48, , 
2022/4/15, 40, , 
2022/4/16, 28, , 
2022/4/17, 44, , 
2022/4/18, 54, , 
2022/4/19, 39, , 
2022/4/20, 33, , 
2022/4/21, 46, , 
2022/4/22, 62, , 
2022/4/23, 53, , 
2022/4/24, 42, , 
2022/4/25, 20, , 
2022/4/26, 26, , 
2022/4/27, 23, , 
2022/4/28, 38, , 
2022/4/29, 53, , 
2022/4/30, 53, , 
2022/5/1, 60, , 
2022/5/2, 69, , 
2022/5/3, 56, , 
2022/5/4, 57, , 
2022/5/5, 51, , 
2022/5/6, 50, , 
2022/5/7, 55, , 
2022/5/8, 50, , 
2022/5/9, 56, , 
2022/5/10, 61, , 
2022/5/11, 74, , 
2022/5/12, 55, , 
2022/5/13, 66, , 
2022/5/14, 50, , 
2022/5/15, 13, , 
2022/5/16, 9, , 
2022/5/17, 26, , 
2022/5/18, 61, , 
2022/5/19, 57, , 
2022/5/20, 47, , 
2022/5/21, 47, , 
2022/5/22, 53, , 
2022/5/23, 55, , 
2022/5/24, 51, , 
2022/5/25, 42, , 
2022/5/26, 50, , 
2022/5/27, 43, , 
2022/5/28, 55, , 
2022/5/29, 65, , 
2022/5/30, 86, , 
2022/5/31, 88, , 
2022/6/1, 74, , 
2022/6/2, 58, , 
2022/6/3, 63, , 
2022/6/4, 71, , 
2022/6/5, 52, , 
2022/6/6, 48, , 
2022/6/7, 47, , 
2022/6/8, 48, , 
2022/6/9, 40, , 
2022/6/10, 59, , 
2022/6/11, 71, , 
2022/6/12, 57, , 
2022/6/13, 63, , 
2022/6/14, 54, , 
2022/6/15, 50, , 
2022/6/16, 41, , 
2022/6/17, 42, , 
2022/6/18, 55, , 
2022/6/19, 64, , 
2022/6/20, 53, , 
2022/6/21, 56, , 
2022/6/22, 48, , 
2022/6/23, 26, , 
2022/6/24, 33, , 
2022/6/25, 37, , 
2022/6/26, 65, , 
2022/6/27, 51, , 
2022/6/28, 42, , 
2022/6/29, 28, , 
2022/6/30, 64, , 
2022/7/1, 56, , 
2022/1/4, 29, , 
2022/1/5, 31, , 
2022/1/6, 33, , 
2022/1/7, 34, , 
2022/1/8, 40, , 
2022/1/9, 27, , 
2022/1/10, 30, , 
2022/1/11, 26, , 
2022/1/12, 29, , 
2022/1/13, 28, , 
2022/1/14, 30, , 
2022/1/15, 32, , 
2022/1/16, 33, , 
2022/1/17, 36, , 
2022/1/18, 34, , 
2022/1/19, 39, , 
2022/1/20, 36, , 
2022/1/21, 40, , 
2022/1/22, 31, , 
2022/1/23, 30, , 
2022/1/24, 36, , 
2022/1/25, 41, , 
2022/1/26, 37, , 
2022/1/27, 31, , 
2022/1/28, 25, , 
2022/1/29, 40, , 
2022/1/30, 41, , 
2022/1/31, 40, , 
2022/2/1, 39, , 
2022/2/2, 38, , 
2022/2/3, 32, , 
2022/2/4, 29, , 
2022/2/5, 26, , 
2022/2/6, 42, , 
2022/2/7, 38, , 
2022/2/8, 32, , 
2022/2/9, 38, , 
2022/2/10, 28, , 
2022/2/11, 24, , 
2022/2/12, 33, , 
2022/2/13, 55, , 
2022/2/14, 53, , 
2022/2/15, 46, , 
2022/2/16, 46, , 
2022/2/17, 44, , 
2022/2/18, 50, , 
2022/2/19, 56, , 
2022/2/20, 52, , 
2022/2/21, 45, , 
2022/2/22, 33, , 
2022/2/23, 25, , 
2022/2/24, 26, , 
2022/2/25, 37, , 
2022/2/26, 40, , 
2022/2/27, 41, , 
2022/2/28, 38, , 
2022/3/1, 45, , 
2022/3/2, 57, , 
2022/3/3, 60, , 
2022/3/4, 55, , 
2022/3/5, 43, , 
2022/3/6, 43, , 
2022/3/7, 45, , 
2022/3/8, 34, , 
2022/3/9, 42, , 
2022/3/10, 36, , 
2022/3/11, 46, , 
2022/3/12, 53, , 
2022/3/13, 44, , 
2022/3/14, 43, , 
2022/3/15, 40, , 
2022/3/16, 33, , 
2022/3/17, 39, , 
2022/3/18, 44, , 
2022/3/19, 57, , 
2022/3/20, 51, , 
2022/3/21, 54, , 
2022/3/22, 46, , 
2022/3/23, 40, , 
2022/3/24, 43, , 
2022/3/25, 54, , 
2022/3/26, 51, , 
2022/3/27, 23, , 
2022/3/28, 36, , 
2022/3/29, 40, , 
2022/3/30, 51, , 
2022/3/31, 54, , 
2022/4/1, 63, , 
2021/10/2, 47, , 
2021/10/3, 48, , 
2021/10/4, 47, , 
2021/10/5, 54, , 
2021/10/6, 40, , 
2021/10/7, 47, , 
2021/10/8, 39, , 
2021/10/9, 35, , 
2021/10/10, 39, , 
2021/10/11, 40, , 
2021/10/12, 43, , 
2021/10/13, 34, , 
2021/10/14, 30, , 
2021/10/15, 48, , 
2021/10/16, 57, , 
2021/10/17, 54, , 
2021/10/18, 52, , 
2021/10/19, 49, , 
2021/10/20, 40, , 
2021/10/21, 24, , 
2021/10/22, 39, , 
2021/10/23, 41, , 
2021/10/24, 49, , 
2021/10/25, 56, , 
2021/10/26, 46, , 
2021/10/27, 35, , 
2021/10/28, 20, , 
2021/10/29, 35, , 
2021/10/30, 39, , 
2021/10/31, 33, , 
2021/11/1, 29, , 
2021/11/2, 40, , 
2021/11/3, 33, , 
2021/11/4, 28, , 
2021/11/5, 38, , 
2021/11/6, 49, , 
2021/11/7, 42, , 
2021/11/8, 44, , 
2021/11/9, 43, , 
2021/11/10, 21, , 
2021/11/11, 18, , 
2021/11/12, 24, , 
2021/11/13, 30, , 
2021/11/14, 36, , 
2021/11/15, 49, , 
2021/11/16, 44, , 
2021/11/17, 48, , 
2021/11/18, 42, , 
2021/11/19, 41, , 
2021/11/20, 25, , 
2021/11/21, 16, , 
2021/11/22, 21, , 
2021/11/23, 18, , 
2021/11/24, 20, , 
2021/11/25, 16, , 
2021/11/26, 24, , 
2021/11/27, 27, , 
2021/11/28, 23, , 
2021/11/29, 47, , 
2021/11/30, 43, , 
2021/12/1, 30, , 
2021/12/2, 31, , 
2021/12/3, 29, , 
2021/12/4, 33, , 
2021/12/5, 50, , 
2021/12/6, 38, , 
2021/12/7, 31, , 
2021/12/8, 35, , 
2021/12/9, 35, , 
2021/12/10, 32, , 
2021/12/11, 23, , 
2021/12/12, 21, , 
2021/12/13, 23, , 
2021/12/14, 33, , 
2021/12/15, 33, , 
2021/12/16, 27, , 
2021/12/17, 19, , 
2021/12/18, 34, , 
2021/12/19, 28, , 
2021/12/20, 29, , 
2021/12/21, 28, , 
2021/12/22, 28, , 
2021/12/23, 31, , 
2021/12/24, 32, , 
2021/12/25, 34, , 
2021/12/26, 30, , 
2021/12/27, 37, , 
2021/12/28, 34, , 
2021/12/29, 25, , 
2021/12/30, 28, , 
2021/12/31, 37, , 
2022/1/1, 45, , 
2022/1/2, 48, , 
2022/1/3, 27, , 
2021/7/2, 88, , 
2021/7/3, 116, , 
2021/7/4, 129, , 
2021/7/5, 83, , 
2021/7/6, 58, , 
2021/7/7, 58, , 
2021/7/8, 73, , 
2021/7/9, 75, , 
2021/7/10, 81, , 
2021/7/11, 99, , 
2021/7/12, 76, , 
2021/7/13, 57, , 
2021/7/14, 52, , 
2021/7/15, 53, , 
2021/7/16, 91, , 
2021/7/17, 119, , 
2021/7/18, 123, , 
2021/7/19, 99, , 
2021/7/20, 70, , 
2021/7/21, 71, , 
2021/7/22, 66, , 
2021/7/23, 68, , 
2021/7/24, 61, , 
2021/7/25, 55, , 
2021/7/26, 57, , 
2021/7/27, 47, , 
2021/7/28, 76, , 
2021/7/29, 86, , 
2021/7/30, 65, , 
2021/7/31, 67, , 
2021/8/1, 84, , 
2021/8/2, 118, , 
2021/8/3, 84, , 
2021/8/4, 62, , 
2021/8/5, 57, , 
2021/8/6, 53, , 
2021/8/7, 48, , 
2021/8/8, 50, , 
2021/8/9, 39, , 
2021/8/10, 48, , 
2021/8/11, 71, , 
2021/8/12, 90, , 
2021/8/13, 72, , 
2021/8/14, 72, , 
2021/8/15, 78, , 
2021/8/16, 75, , 
2021/8/17, 57, , 
2021/8/18, 43, , 
2021/8/19, 41, , 
2021/8/20, 36, , 
2021/8/21, 54, , 
2021/8/22, 55, , 
2021/8/23, 54, , 
2021/8/24, 39, , 
2021/8/25, 30, , 
2021/8/26, 36, , 
2021/8/27, 43, , 
2021/8/28, 52, , 
2021/8/29, 57, , 
2021/8/30, 38, , 
2021/8/31, 20, , 
2021/9/1, 28, , 
2021/9/2, 43, , 
2021/9/3, 38, , 
2021/9/4, 37, , 
2021/9/5, 39, , 
2021/9/6, 52, , 
2021/9/7, 38, , 
2021/9/8, 29, , 
2021/9/9, 47, , 
2021/9/10, 56, , 
2021/9/11, 48, , 
2021/9/12, 50, , 
2021/9/13, 42, , 
2021/9/14, 48, , 
2021/9/15, 53, , 
2021/9/16, 52, , 
2021/9/17, 50, , 
2021/9/18, 50, , 
2021/9/19, 48, , 
2021/9/20, 46, , 
2021/9/21, 50, , 
2021/9/22, 45, , 
2021/9/23, 46, , 
2021/9/24, 55, , 
2021/9/25, 51, , 
2021/9/26, 37, , 
2021/9/27, 52, , 
2021/9/28, 50, , 
2021/9/29, 49, , 
2021/9/30, 45, , 
2021/10/1, 31, , 
2021/4/2, 56, , 
2021/4/3, 63, , 
2021/4/4, 61, , 
2021/4/5, 54, , 
2021/4/6, 46, , 
2021/4/7, 36, , 
2021/4/8, 30, , 
2021/4/9, 32, , 
2021/4/10, 39, , 
2021/4/11, 50, , 
2021/4/12, 56, , 
2021/4/13, 54, , 
2021/4/14, 51, , 
2021/4/15, 47, , 
2021/4/16, 36, , 
2021/4/17, 38, , 
2021/4/18, 40, , 
2021/4/19, 37, , 
2021/4/20, 34, , 
2021/4/21, 32, , 
2021/4/22, 39, , 
2021/4/23, 37, , 
2021/4/24, 37, , 
2021/4/25, 49, , 
2021/4/26, 66, , 
2021/4/27, 61, , 
2021/4/28, 60, , 
2021/4/29, 54, , 
2021/4/30, 55, , 
2021/5/1, 57, , 
2021/5/2, 62, , 
2021/5/3, 50, , 
2021/5/4, 46, , 
2021/5/5, 32, , 
2021/5/6, 30, , 
2021/5/7, 46, , 
2021/5/8, 51, , 
2021/5/9, 49, , 
2021/5/10, 52, , 
2021/5/11, 57, , 
2021/5/12, 59, , 
2021/5/13, 61, , 
2021/5/14, 58, , 
2021/5/15, 68, , 
2021/5/16, 89, , 
2021/5/17, 94, , 
2021/5/18, 84, , 
2021/5/19, 61, , 
2021/5/20, 56, , 
2021/5/21, 48, , 
