date, pm25, pm10
2023/11/3, 54, 
2023/11/4, 47, 
2023/11/5, 35, 
2023/11/6, 38, 
2023/11/7, 39, 
2023/11/8, 44, 
2023/11/9, 35, 
2023/11/10, 32, 
2023/11/11, 45, 
2023/11/12, 59, 
2023/11/13, 72, 
2023/11/14, 57, 
2023/11/15, 66, 
2023/10/2, 53, 
2023/10/3, 60, 
2023/10/4, 79, 
2023/10/5, 66, 
2023/10/6, 65, 
2023/10/7, 56, 
2023/10/8, 79, 
2023/10/9, 69, 
2023/10/10, 51, 
2023/10/11, 49, 
2023/10/12, 53, 
2023/10/13, 38, 
2023/10/14, 61, 
2023/10/15, 51, 
2023/10/16, 41, 
2023/10/17, 34, 
2023/10/18, 24, 
2023/10/19, 34, 
2023/10/20, 27, 
2023/10/21, 28, 
2023/10/22, 34, 
2023/10/23, 40, 
2023/10/24, 62, 
2023/7/2, 43, 
2023/7/3, 57, 
2023/7/4, 52, 
2023/7/5, 65, 
2023/7/6, 87, 
2023/7/7, 126, 
2023/7/8, 103, 
2023/7/9, 85, 
2023/7/10, 80, 
2023/7/11, 122, 
2023/7/12, 130, 
2023/7/13, 121, 
2023/7/14, 93, 
2023/7/15, 90, 
2023/7/16, 115, 
2023/7/17, 110, 
2023/7/18, 169, 
2023/7/19, 139, 
2023/7/20, 37, 
2023/7/21, 52, 
2023/7/22, 68, 
2023/7/23, 108, 
2023/7/24, 114, 
2023/7/25, 50, 
2023/7/26, 95, 
2023/7/27, 139, 
2023/7/28, 39, 
2023/7/29, 54, 
2023/7/30, 71, 
2023/7/31, 63, 
2023/8/1, 43, 
2023/8/2, 91, 
2023/8/3, 97, 
2023/8/4, 126, 
2023/8/5, 120, 
2023/8/6, 91, 
2023/8/7, 138, 
2023/8/8, 142, 
2023/8/9, 102, 
2023/8/10, 72, 
2023/8/11, 74, 
2023/8/12, 107, 
2023/8/13, 74, 
2023/8/14, 44, 
2023/8/15, 49, 
2023/8/16, 60, 
2023/8/17, 48, 
2023/8/18, 77, 
2023/8/19, 65, 
2023/8/20, 60, 
2023/8/21, 54, 
2023/8/22, 74, 
2023/8/23, 96, 
2023/8/24, 96, 
2023/8/25, 128, 
2023/8/26, 127, 
2023/8/27, 133, 
2023/8/28, 89, 
2023/8/29, 86, 
2023/8/30, 87, 
2023/8/31, 99, 
2023/9/1, 62, 
2023/9/2, 90, 
2023/9/3, 127, 
2023/9/4, 106, 
2023/9/5, 93, 
2023/9/6, 53, 
2023/9/7, 29, 
2023/9/8, 63, 
2023/9/9, 59, 
2023/9/10, 64, 
2023/9/11, 61, 
2023/9/12, 81, 
2023/9/13, 73, 
2023/9/14, 47, 
2023/9/15, 49, 
2023/9/16, 69, 
2023/9/17, 75, 
2023/9/18, 98, 
2023/9/19, 110, 
2023/9/20, 67, 
2023/9/21, 65, 
2023/9/22, 87, 
2023/9/23, 95, 
2023/9/24, 91, 
2023/9/25, 94, 
2023/9/26, 69, 
2023/9/27, 77, 
2023/9/28, 63, 
2023/9/29, 76, 
2023/9/30, 64, 
2023/10/1, 68, 
2023/4/2, 40, 
2023/4/3, 39, 
2023/4/4, 79, 
2023/4/5, 78, 
2023/4/6, 30, 
2023/4/7, 45, 
2023/4/8, 83, 
2023/4/9, 92, 
2023/4/10, 56, 
2023/4/11, 30, 
2023/4/12, 43, 
2023/4/13, 46, 
2023/4/14, 84, 
2023/4/15, 77, 
2023/4/16, 56, 
2023/4/17, 69, 
2023/4/18, 80, 
2023/4/19, 46, 
2023/4/20, 29, 
2023/4/21, 23, 
2023/4/22, 55, 
2023/4/23, 77, 
2023/4/24, 74, 
2023/4/25, 39, 
2023/4/26, 45, 
2023/4/27, 59, 
2023/4/28, 59, 
2023/4/29, 37, 
2023/4/30, 52, 
2023/5/1, 83, 
2023/5/2, 91, 
2023/5/3, 64, 
2023/5/4, 80, 
2023/5/5, 130, 
2023/5/6, 73, 
2023/5/7, 35, 
2023/5/8, 74, 
2023/5/9, 108, 
2023/5/10, 120, 
2023/5/11, 97, 
2023/5/12, 79, 
2023/5/13, 40, 
2023/5/14, 75, 
2023/5/15, 98, 
2023/5/16, 55, 
2023/5/17, 84, 
2023/5/18, 61, 
2023/5/19, 80, 
2023/5/20, 100, 
2023/5/21, 68, 
2023/5/22, 54, 
2023/5/23, 63, 
2023/5/24, 49, 
2023/5/25, 71, 
2023/5/26, 75, 
2023/5/27, 107, 
2023/5/28, 101, 
2023/5/29, 122, 
2023/5/30, 95, 
2023/5/31, 63, 
2023/6/1, 74, 
2023/6/2, 84, 
2023/6/3, 46, 
2023/6/4, 66, 
2023/6/5, 111, 
2023/6/6, 53, 
2023/6/7, 120, 
2023/6/8, 73, 
2023/6/9, 62, 
2023/6/10, 93, 
2023/6/11, 123, 
2023/6/12, 131, 
2023/6/13, 95, 
2023/6/14, 111, 
2023/6/15, 98, 
