date, pm25, pm10, o3, no2, so2, co
2023/11/2, 40, 17, 20, 2, , 19
2023/11/3, 37, 17, 22, 2, , 22
2023/11/4, 30, 16, 23, 2, , 6
2023/11/5, 30, 18, 22, 2, , 8
2023/11/6, 15, 8, 14, , , 9
2023/11/7, 21, 14, 25, , , 10
2023/11/8, 27, 14, 17, 2, , 9
2023/11/9, 23, 17, 25, 3, , 8
2023/11/10, 25, 18, 21, 2, , 9
2023/11/11, 31, 11, 18, , , 9
2023/11/12, 24, 27, 17, 2, , 11
2023/11/13, 61, 16, 18, 2, , 9
2023/11/14, 34, 19, 31, 6, 3, 11
2023/11/15, 31, 14, 18, 1, 1, 9
2023/11/16, 22, , , , , 
2023/10/5, 51, 41, 22, 4, 1, 7
2023/10/6, 46, 24, 24, 3, 1, 6
2023/10/7, 66, 29, 21, 3, 2, 8
2023/10/8, 68, 31, 21, 3, 1, 8
2023/10/9, 59, 28, 22, 7, 1, 8
2023/10/10, 57, 27, 23, 6, 1, 9
2023/10/11, 45, 23, 29, 5, 1, 9
2023/10/12, 49, 30, 23, 6, 1, 8
2023/10/13, 49, 31, 21, 5, 1, 8
2023/10/14, 48, 31, 21, 5, 1, 8
2023/10/15, 43, 26, 22, 4, 1, 8
2023/10/16, 41, 22, 21, 4, 1, 8
2023/10/17, 57, 36, 21, 6, 1, 9
2023/10/18, 57, 38, 22, 7, 1, 10
2023/10/19, 51, 31, 22, 4, 1, 5
2023/10/20, 60, 37, 22, 5, 2, 6
2023/10/21, 44, 32, 18, 7, 2, 6
2023/10/22, 37, 29, 22, 5, 1, 5
2023/10/23, 52, 31, 22, 4, 1, 5
2023/10/24, 45, 29, 19, 4, 1, 5
2023/10/25, 39, 26, 18, 5, 1, 5
2023/10/26, 40, 36, 24, 5, 1, 5
2023/10/27, 32, 26, 22, 5, 1, 5
2023/10/28, 22, 11, 16, 3, 1, 6
2023/10/29, 18, 10, 20, 2, 1, 5
2023/10/30, 28, 14, 20, 2, 1, 5
2023/10/31, 35, 15, 19, 3, 1, 2
2023/11/1, 43, 19, 53, 4, , 9
2023/7/2, 106, 16, 22, , , 13
2023/7/3, 39, 28, 23, 2, , 16
2023/7/4, 63, 19, 27, 3, , 11
2023/7/5, 40, 33, 22, 2, , 6
