date, pm25, pm10, o3, no2, so2, co
2023/11/3, 28, 23, 17, 7, 2, 
2023/11/4, 32, 12, 17, 3, 2, 
2023/11/5, 23, 6, 18, , 1, 
2023/11/6, 24, 10, 18, , 1, 
2023/11/7, 19, 16, 20, 2, 1, 
2023/11/8, 24, 18, 19, 2, 1, 
2023/11/9, 32, 18, 13, 7, 1, 
2023/11/10, 28, 11, 19, 5, 1, 
2023/11/11, 17, 13, 22, , 1, 
2023/11/12, 36, 1, 21, 2, 1, 
2023/11/13, 30, 17, 16, 1, 1, 
2023/11/14, 27, 21, 15, 5, 1, 
2023/11/15, 30, , 17, 7, 1, 
2023/10/2, 22, 14, 27, 1, 1, 
2023/10/3, 35, 24, 23, 5, 1, 
2023/10/4, 42, 20, 22, 5, 1, 
2023/10/5, 35, 17, 23, 5, 1, 
2023/10/6, 32, 11, 22, 3, 1, 
2023/10/7, 35, 21, 22, 4, 1, 
2023/10/8, 37, 22, 22, 6, 1, 
2023/10/9, 46, 20, 22, 5, 1, 
2023/10/10, 40, 20, 23, 7, 6, 
2023/10/11, 30, 26, 20, 5, 1, 
2023/10/12, 35, 39, 19, 8, 1, 
2023/10/13, 49, 35, 18, 9, 1, 
2023/10/14, 50, 25, 20, 6, 1, 
2023/10/15, 37, 22, 21, 4, 1, 
2023/10/16, 33, 30, 17, 9, 1, 
2023/10/17, 38, 35, 30, 8, 2, 
2023/10/18, 44, 35, 25, 1, 1, 
2023/10/19, 46, 34, 17, 9, 2, 
2023/10/20, 52, 38, 19, 11, 2, 
2023/10/21, 51, 25, 24, 3, 1, 
2023/10/22, 45, 36, 23, 5, 1, 
2023/10/23, 71, 19, 16, 5, 1, 
2023/10/24, 26, , , , , 
2023/7/2, 65, 10, 23, , , 
2023/7/3, 31, 14, 21, , , 
2023/7/4, 23, 29, 21, 7, , 
2023/7/5, 57, 31, 19, 7, 1, 
2023/7/6, 74, 37, 16, 10, 1, 
2023/7/7, 92, 13, 20, 1, 1, 
2023/7/8, 44, 29, 24, 4, 1, 
2023/7/9, 54, 37, 21, 4, 1, 
2023/7/10, 93, 17, 19, 2, 1, 
2023/7/11, 49, 27, 15, 4, 1, 
2023/7/12, 80, 34, 15, 9, 1, 
2023/7/13, 97, 40, 12, 9, 1, 
2023/7/14, 97, 41, 13, 10, 1, 
2023/7/15, 103, 33, 19, 3, 1, 
2023/7/16, 78, 19, 19, 3, 1, 
2023/7/17, 64, 27, 17, 4, 1, 
2023/7/18, 78, 33, 22, 5, 1, 
2023/7/19, 84, 7, 19, , 1, 
2023/7/20, 32, 4, 22, 1, , 
2023/7/21, 18, 14, 24, , , 
2023/7/22, 23, 14, 23, 1, , 
2023/7/23, 41, 33, 15, 4, 1, 
2023/7/24, 90, 11, 21, 2, 1, 
2023/7/25, 47, 21, 23, 3, 1, 
2023/7/26, 58, 36, 12, 10, 1, 
2023/7/27, 92, 40, 24, 11, 5, 
2023/7/28, 96, 40, 9, 12, 2, 
2023/7/29, 94, 25, 13, 6, 1, 
2023/7/30, 75, 34, 14, 5, 1, 
2023/7/31, 85, 18, 19, 2, , 
2023/8/1, 47, 37, 18, 9, 5, 
2023/8/2, 67, 26, 20, 4, , 
2023/8/3, 65, 22, 19, 4, , 
2023/8/4, 54, 26, 20, 8, 1, 
2023/8/5, 58, 23, 24, 3, , 
2023/8/6, 61, 29, 20, 4, , 
2023/8/7, 77, 44, 15, 11, 1, 
2023/8/8, 97, 38, 17, 7, 1, 
2023/8/9, 91, 16, 26, , , 
2023/8/10, 39, 19, 25, 4, , 
2023/8/11, 42, 32, 17, 8, , 
2023/8/12, 81, 28, 18, 6, 1, 
2023/8/13, 73, 27, 17, 5, 1, 
2023/8/14, 77, 33, 11, 11, 1, 
2023/8/15, 89, 7, 20, 1, , 
2023/8/16, 24, 6, 27, 1, 3, 
2023/8/17, 15, 25, 22, 5, , 
2023/8/18, 51, 12, 24, 1, , 
2023/8/19, 38, 3, 22, 1, , 
2023/8/20, 12, 1, 21, 1, , 
2023/8/21, 5, 15, 22, , , 
2023/8/22, 27, 9, 22, 2, , 
2023/8/23, 29, 11, 21, 2, , 
2023/8/24, 41, 18, 23, 3, , 
2023/8/25, 59, 25, 18, 10, 1, 
2023/8/26, 74, 35, 20, 6, 1, 
2023/8/27, 86, 22, 22, 3, 1, 
2023/8/28, 70, 23, 20, 7, , 
2023/8/29, 51, 31, 20, 6, 1, 
2023/8/30, 73, 27, 23, 8, , 
2023/8/31, 54, 39, 15, 11, 3, 
2023/9/1, 83, 26, 20, 7, , 
2023/9/2, 63, 21, 15, 3, , 
2023/9/3, 74, 22, 21, 3, 1, 
2023/9/4, 66, 24, 16, 3, 1, 
2023/9/5, 65, 8, 23, 5, 6, 
2023/9/6, 36, 11, 24, , 1, 
2023/9/7, 26, 13, 23, 1, 1, 
2023/9/8, 41, 10, 22, 1, 1, 
2023/9/9, 31, 8, 25, , 1, 
2023/9/10, 12, 6, 24, , 1, 
2023/9/11, 13, 22, 23, 5, 1, 
2023/9/12, 51, 24, 18, 9, 1, 
2023/9/13, 59, 14, 23, 2, 1, 
2023/9/14, 41, 3, 23, , 1, 
2023/9/15, 17, 12, 20, , 1, 
2023/9/16, 22, 20, 27, 2, , 
2023/9/17, 42, 28, 22, 5, 1, 
2023/9/18, 68, 18, 23, 3, 1, 
2023/9/19, 56, 12, 22, 2, 1, 
2023/9/20, 39, 20, 25, 3, 1, 
2023/9/21, 29, 9, 24, , , 
2023/9/22, 17, 17, 23, 5, , 
2023/9/23, 46, 11, 23, 4, 1, 
2023/9/24, 36, 17, 24, 3, 1, 
2023/9/25, 41, 19, 23, 5, 1, 
2023/9/26, 46, 19, 22, 7, 1, 
2023/9/27, 40, 21, 23, 8, 1, 
2023/9/28, 46, 26, 20, 6, 1, 
2023/9/29, 46, 32, 25, 8, 1, 
2023/9/30, 43, 25, 25, 5, 1, 
2023/10/1, 42, 10, 27, , 1, 
2023/4/2, 48, 23, 10, 4, 1, 
2023/4/3, 47, 37, 11, 9, 1, 
2023/4/4, 50, 37, 15, 9, 3, 
2023/4/5, 49, 14, 11, 1, , 
2023/4/6, 28, 28, 12, 7, , 
2023/4/7, 38, 33, 16, 6, 2, 
2023/4/8, 61, 33, 28, 3, 1, 
2023/4/9, 69, 23, 17, 4, 1, 
2023/4/10, 48, 20, 6, 5, 1, 
2023/4/11, 40, 16, 10, 2, , 
2023/4/12, 28, 15, 6, 7, 1, 
2023/4/13, 48, 9, 8, 2, , 
2023/4/14, 19, 24, 10, 6, , 
2023/4/15, 48, 23, 13, 4, 1, 
2023/4/16, 53, 27, 13, 2, 1, 
2023/4/17, 53, 29, 11, 6, 1, 
2023/4/18, 46, 40, 10, 10, 1, 
2023/4/19, 69, 43, 8, 8, 1, 
2023/4/20, 64, 14, 11, 2, 1, 
2023/4/21, 32, 20, 10, 4, 1, 
2023/4/22, 39, 31, 8, 5, 1, 
2023/4/23, 67, 25, 12, 3, 1, 
