date, pm25, pm10, o3, no2, so2, co
2023/11/2, 22, 20, 15, 3, , 4
2023/11/3, 18, 34, 18, 6, , 4
2023/11/4, 34, 37, 16, 3, , 5
2023/11/5, 38, 23, 16, 2, , 4
2023/11/6, 20, 20, 15, 3, , 4
2023/11/7, 19, 45, 12, 2, , 5
2023/11/8, 31, 46, 16, 3, , 4
2023/11/9, 38, 43, 14, 3, , 
2023/11/10, 36, 15, 9, 4, , 1
2023/11/11, 20, 15, 14, 2, , 1
2023/11/12, 16, 20, 12, 2, , 1
2023/11/13, 29, 38, 14, 3, , 1
2023/11/14, 30, 27, 15, 4, , 1
2023/11/15, 76, , , , , 
2023/10/2, 30, 30, 20, 5, , 1
2023/10/3, 30, 33, 18, 6, , 1
2023/10/4, 23, 31, 19, 5, , 1
2023/10/5, 29, 24, 18, 5, , 1
2023/10/6, 27, 27, 17, 3, , 1
2023/10/7, 20, 38, 17, 5, , 2
2023/10/8, 40, 36, 17, 4, , 2
2023/10/9, 38, 28, 18, 2, , 2
2023/10/10, 38, 29, 16, 2, , 2
2023/10/11, 27, 30, 18, 2, , 2
2023/10/12, 25, 41, 18, 5, , 2
2023/10/13, 45, 41, 18, 4, , 2
2023/10/14, 51, 29, 17, 4, , 3
2023/10/15, 43, 28, 16, 3, , 3
2023/10/16, 43, 36, 16, 4, , 3
2023/10/17, 33, 34, 17, 3, , 3
2023/10/18, 37, 30, 19, 2, , 3
2023/10/19, 36, 36, 19, 5, , 3
2023/10/20, 34, 36, 16, 3, , 3
2023/10/21, 40, 28, 17, 4, , 3
2023/10/22, 30, 30, 16, 3, , 4
2023/10/23, 30, 26, 15, 1, , 3
2023/10/24, 27, 30, 16, 2, , 4
2023/10/25, 33, 36, 17, 2, , 4
2023/10/26, 43, 29, 18, 3, , 3
2023/10/27, 37, 27, 18, 2, , 3
2023/10/28, 31, 30, 15, 4, , 4
2023/10/29, 32, 17, 11, 2, , 4
2023/10/30, 25, 26, 14, 2, , 4
2023/10/31, 26, 25, 15, 3, , 4
2023/11/1, 25, 16, 13, 3, , 4
2023/7/2, 59, 26, 15, 4, , 1
2023/7/3, 32, 25, 12, 6, , 1
2023/7/4, 38, 19, 14, 5, , 1
2023/7/5, 25, 21, 14, 7, , 1
2023/7/6, 26, 16, 13, 6, , 1
2023/7/7, 23, 25, 16, 6, , 1
2023/7/8, 34, 25, 15, 6, , 2
2023/7/9, 35, 21, 13, 5, , 2
2023/7/10, 35, 20, 11, 7, 1, 2
2023/7/11, 32, 10, 15, 4, , 2
2023/7/12, 16, 14, 14, 4, , 2
2023/7/13, 15, 19, 9, 8, , 3
2023/7/14, 37, 26, 9, 10, 1, 3
2023/7/15, 52, 33, 11, 8, 1, 4
2023/7/16, 61, 34, 13, 7, 1, 4
2023/7/17, 66, 31, 9, 10, 1, 4
2023/7/18, 62, 41, 9, 15, 2, 4
2023/7/19, 72, 36, 8, 13, 2, 4
2023/7/20, 48, 19, 14, 6, , 3
2023/7/21, 28, 11, 12, 3, , 3
2023/7/22, 12, 11, 15, 2, , 3
2023/7/23, 26, 23, 12, 3, , 4
2023/7/24, 38, 21, 13, 6, , 4
2023/7/25, 37, 19, 13, 6, , 4
2023/7/26, 35, 20, 11, 6, , 4
2023/7/27, 37, 26, 11, 6, , 4
2023/7/28, 41, 32, 7, 11, 1, 5
2023/7/29, 51, 29, 13, 8, 1, 5
2023/7/30, 54, 27, 10, 7, 1, 5
2023/7/31, 52, 20, 13, 3, , 5
2023/8/1, 40, 31, 11, 5, , 5
2023/8/2, 45, 33, 12, 7, 1, 5
2023/8/3, 42, 26, 12, 8, 1, 5
2023/8/4, 42, 32, 16, 7, 1, 5
2023/8/5, 51, 14, 11, 3, , 5
2023/8/6, 23, 8, 16, 3, , 5
2023/8/7, 17, 20, 10, 6, , 6
2023/8/8, 37, 35, 11, 8, 1, 6
2023/8/9, 63, 30, 15, 5, , 6
2023/8/10, 57, 10, 15, 2, , 5
2023/8/11, 22, 25, 15, 2, , 5
2023/8/12, 27, 37, 15, 5, , 6
2023/8/13, 50, 36, 15, 8, 1, 7
2023/8/14, 47, 25, 14, 9, 2, 6
2023/8/15, 33, 18, 14, 5, 1, 6
2023/8/16, 21, 22, 12, 6, , 6
2023/8/17, 21, 14, 15, 4, , 6
2023/8/18, 20, 18, 13, 4, , 7
2023/8/19, 19, 12, 10, 5, , 7
2023/8/20, 24, 9, 10, 2, , 7
2023/8/21, 15, 15, 13, 1, , 7
2023/8/22, 10, 15, 17, 1, , 7
2023/8/23, 12, 5, 16, 3, , 7
2023/8/24, 17, 14, 16, 2, , 7
2023/8/25, 21, 17, 15, 2, , 7
2023/8/26, 19, 22, 16, 5, , 8
2023/8/27, 36, 19, 19, 4, , 8
2023/8/28, 35, 22, 16, 5, , 8
2023/8/29, 34, 24, 17, 7, 1, 8
2023/8/30, 33, 28, 16, 1, , 8
2023/8/31, 23, 35, 16, 3, , 8
2023/9/1, 38, 47, 9, 7, , 9
2023/9/2, 59, 29, 13, 5, , 9
2023/9/3, 44, 13, 17, 2, , 8
2023/9/4, 13, 19, 14, 6, , 9
2023/9/5, 16, 13, 11, 5, , 9
2023/9/6, 25, 8, 10, 5, , 9
2023/9/7, 25, 18, 14, 2, , 9
2023/9/8, 25, 28, 14, 4, , 9
2023/9/9, 33, 23, 14, 4, , 9
2023/9/10, 33, 28, 22, 5, , 10
2023/9/11, 30, 19, 17, 1, , 9
2023/9/12, 28, 27, 17, 2, , 9
2023/9/13, 29, 22, 16, 3, , 10
2023/9/14, 30, 29, 16, 4, , 10
2023/9/15, 28, 28, 12, 5, , 10
2023/9/16, 36, 18, 11, 4, 1, 10
2023/9/17, 27, 29, 17, 2, , 10
2023/9/18, 31, 31, 13, 3, , 11
2023/9/19, 46, 44, 16, 5, 1, 12
2023/9/20, 61, 29, 14, 3, 1, 11
2023/9/21, 30, 24, 14, 3, , 11
2023/9/22, 26, 21, 14, 2, , 11
2023/9/23, 16, 25, 16, 3, , 11
2023/9/24, 23, 21, 16, 2, , 11
2023/9/25, 27, 17, 17, 4, , 11
2023/9/26, 18, 28, 16, , , 8
2023/9/27, 18, 32, 18, , , 1
2023/9/28, 32, 26, 16, 8, , 1
