date, pm25, pm10, o3, no2, so2, co
2023/11/2, 31, 19, 18, 3, 4, 3
2023/11/3, 29, 32, 24, 5, 4, 3
2023/11/4, 40, 32, 22, 2, 4, 3
2023/11/5, 51, 20, 19, 2, 4, 4
2023/11/6, 35, 13, 17, 2, 4, 4
2023/11/7, 28, 35, 15, 2, 4, 2
2023/11/8, 37, 46, 19, 3, 4, 
2023/11/9, 54, 38, 16, 3, 4, 
2023/11/10, 51, 16, 11, 5, 4, 
2023/11/11, 26, 10, 15, 4, 4, 1
2023/11/12, 15, 15, 15, 2, 4, 1
2023/11/13, 21, 35, 17, 3, 4, 1
2023/11/14, 45, 28, 19, 4, 4, 1
2023/11/15, 46, , , , , 
2023/10/2, 39, 19, 25, 1, 4, 1
2023/10/3, 34, 25, 21, 1, 4, 1
2023/10/4, 38, 26, 22, 2, 4, 1
2023/10/5, 37, 21, 20, 1, 4, 2
2023/10/6, 35, 15, 22, 1, 4, 2
2023/10/7, 26, 29, 20, 2, 4, 2
2023/10/8, 38, 41, 20, 2, 4, 2
2023/10/9, 55, 33, 20, 1, 4, 2
2023/10/10, 52, 24, 19, 1, 4, 2
2023/10/11, 36, 29, 21, 1, 4, 2
2023/10/12, 37, 44, 21, 2, 4, 2
2023/10/13, 53, 40, 21, 2, 4, 2
2023/10/14, 56, 39, 18, 3, 4, 3
2023/10/15, 49, 30, 19, 1, 4, 2
2023/10/16, 45, 34, 19, 1, 4, 2
2023/10/17, 44, 35, 21, 1, 4, 2
2023/10/18, 50, 26, 23, , 4, 2
2023/10/19, 47, 33, 23, 3, 4, 3
2023/10/20, 47, 30, 19, 4, 4, 3
2023/10/21, 51, 23, 20, 3, 4, 3
2023/10/22, 39, 27, 16, 5, 5, 3
2023/10/23, 46, 23, 18, 3, 4, 3
2023/10/24, 39, 30, 20, 3, 4, 3
2023/10/25, 43, 35, 21, 4, 4, 3
2023/10/26, 58, 26, 21, 3, 4, 3
2023/10/27, 46, 23, 21, 2, 4, 3
2023/10/28, 35, 21, 19, 2, 4, 3
2023/10/29, 35, 13, 15, 2, 4, 3
2023/10/30, 23, 18, 16, 3, 4, 3
2023/10/31, 25, 25, 20, 3, 4, 3
2023/11/1, 37, 21, 16, 3, 4, 3
2023/7/2, 57, 17, 20, 2, 4, 
2023/7/3, 38, 19, 14, 4, 4, 
2023/7/4, 41, 15, 19, 3, 4, 1
2023/7/5, 42, 19, 16, 5, 4, 1
2023/7/6, 30, 18, 15, 5, 4, 1
2023/7/7, 32, 15, 23, 2, 4, 1
2023/7/8, 25, 12, 17, 5, 5, 1
2023/7/9, 23, 14, 17, 3, 4, 1
2023/7/10, 31, 16, 20, 2, 4, 1
2023/7/11, 29, 9, 23, 1, 3, 1
2023/7/12, 21, 7, 21, 2, 4, 1
2023/7/13, 16, 20, 10, 7, 4, 2
2023/7/14, 33, 25, 9, 8, 5, 2
2023/7/15, 46, 30, 14, 6, 4, 2
2023/7/16, 63, 32, 16, 6, 4, 2
2023/7/17, 62, 27, 8, 7, 5, 2
2023/7/18, 59, 37, 4, 14, 6, 2
2023/7/19, 74, 35, 13, 12, 5, 1
2023/7/20, 65, 16, 16, 4, 5, 
2023/7/21, 37, 11, 19, 1, 4, 
2023/7/22, 16, 10, 20, 1, 4, 
