date, pm25, pm10, o3, no2, so2, co
2023/11/2, 56, 44, 16, 4, 15, 24
2023/11/3, 54, 54, 17, 3, 15, 32
2023/11/4, 56, 28, 16, 1, 13, 25
2023/11/5, 38, 8, 16, , 8, 13
2023/11/6, 15, 28, 16, 4, 7, 13
2023/11/7, 42, 28, 18, 2, 12, 19
2023/11/8, 42, 35, 15, 2, 15, 12
2023/11/9, 43, 31, 16, 2, 12, 13
2023/11/10, 43, 25, 20, 2, 14, 25
2023/11/11, 37, 25, 21, , 16, 18
2023/11/12, 43, 36, 17, 1, 18, 30
2023/11/13, 45, 43, 16, 4, 19, 15
2023/11/14, 51, 48, 17, 3, 18, 22
2023/11/15, 49, , , , , 
2023/10/2, 33, 29, 24, 6, 8, 17
2023/10/3, 36, 40, 20, 3, 11, 33
2023/10/4, 44, 57, 22, 5, 14, 24
2023/10/5, 60, 51, 22, 5, 12, 26
2023/10/6, 56, 42, 21, 6, 10, 24
2023/10/7, 56, 66, 23, 4, 19, 31
2023/10/8, 61, 47, 23, 1, 18, 21
2023/10/9, 51, 50, 22, 4, 18, 26
2023/10/10, 59, 58, 19, 3, 19, 52
2023/10/11, 52, 63, 19, 3, 21, 31
2023/10/12, 64, 61, 19, 3, 17, 31
2023/10/13, 66, 52, 18, 3, 15, 17
2023/10/14, 62, 47, 18, 3, 14, 24
2023/10/15, 56, 51, 20, , 18, 21
2023/10/16, 46, 53, 16, 3, 18, 21
2023/10/17, 48, 57, 14, 8, 10, 12
2023/10/18, 62, 56, 23, 3, 8, 10
2023/10/19, 60, 56, 17, 5, 12, 15
2023/10/20, 77, 53, 17, 4, 10, 20
2023/10/21, 59, 45, 21, 2, 9, 23
2023/10/22, 61, 50, 19, 2, 12, 23
2023/10/23, 73, 47, 20, 2, 16, 46
2023/10/24, 55, 63, 18, 3, 15, 10
2023/10/25, 59, 57, 17, 4, 10, 30
2023/10/26, 58, 45, 17, 3, 19, 57
2023/10/27, 51, 22, 17, 1, 11, 26
2023/10/28, 32, 19, 22, , 7, 16
2023/10/29, 34, 28, 22, 1, 8, 18
2023/10/30, 47, 50, 16, 4, 16, 30
2023/10/31, 85, 43, 18, 3, 12, 19
2023/11/1, 48, 40, 18, 1, 20, 22
2023/7/2, 115, 11, 19, 3, 6, 11
2023/7/3, 31, 14, 20, 6, 6, 11
2023/7/4, 37, 11, 22, 4, 6, 10
2023/7/5, 25, 22, 16, 10, 6, 12
2023/7/6, 54, 39, 18, 9, 6, 15
2023/7/7, 88, 34, 27, 6, 6, 13
2023/7/8, 82, 16, 67, 3, 6, 12
2023/7/9, 36, 48, 38, 6, 6, 26
2023/7/10, 110, 31, 22, 6, 7, 14
2023/7/11, 61, 32, 15, 9, 6, 13
2023/7/12, 84, 26, 19, 9, 8, 14
2023/7/13, 51, 36, 20, 8, 6, 18
2023/7/14, 71, 28, 26, 9, 6, 23
2023/7/15, 50, 26, 24, 9, 6, 11
2023/7/16, 49, 35, 42, 7, 6, 10
2023/7/17, 56, 38, 108, 10, 6, 22
2023/7/18, 102, 59, 21, 14, 6, 21
2023/7/19, 127, 21, 17, 7, 6, 11
2023/7/20, 55, 9, 22, 2, 6, 9
2023/7/21, 27, 22, 25, 4, 6, 9
2023/7/22, 40, 29, 37, 5, 6, 11
2023/7/23, 53, 53, 105, 7, 7, 27
2023/7/24, 115, 50, 22, 7, 6, 21
2023/7/25, 110, 32, 31, 6, 6, 13
2023/7/26, 53, 52, 17, 7, 7, 18
2023/7/27, 93, 54, 17, 9, 7, 17
2023/7/28, 90, 67, 15, 10, 7, 15
2023/7/29, 94, 46, 18, 8, 7, 19
2023/7/30, 92, 41, 14, 5, 7, 13
2023/7/31, 59, 35, 23, 6, 5, 13
2023/8/1, 64, 43, 21, 6, 6, 17
2023/8/2, 57, 63, 22, 7, 5, 12
2023/8/3, 65, 48, 20, 9, 5, 13
2023/8/4, 72, 42, 21, 6, 5, 14
2023/8/5, 51, 53, 28, 7, 5, 15
2023/8/6, 97, 51, 26, 7, 5, 17
2023/8/7, 102, 80, 33, 11, 5, 20
2023/8/8, 115, 62, 22, 11, 6, 22
2023/8/9, 108, 39, 27, 4, 5, 15
2023/8/10, 63, 26, 27, 3, 5, 14
2023/8/11, 41, 62, 23, 11, 5, 29
2023/8/12, 99, 52, 22, 7, 5, 20
2023/8/13, 65, 59, 23, 5, 6, 21
2023/8/14, 73, 50, 18, 7, 6, 24
2023/8/15, 74, 14, 22, 3, 5, 16
2023/8/16, 35, 13, 20, 3, 6, 13
2023/8/17, 28, 21, 26, 3, 9, 15
2023/8/18, 27, 45, 25, 7, 8, 23
2023/8/19, 99, 15, 25, 1, 8, 12
2023/8/20, 31, 11, 24, , 8, 12
2023/8/21, 25, 16, 25, 1, 7, 12
2023/8/22, 31, 16, 22, 9, 8, 12
2023/8/23, 33, 27, 23, 9, 8, 13
