date, pm25, pm10, o3, no2, so2, co
2023/11/2, 41, 14, , 2, 2, 
2023/11/3, 27, 17, , 2, 2, 
2023/11/4, 26, 19, , 4, 2, 
2023/11/5, 39, 5, , , 2, 
2023/11/6, 6, 13, , 2, 2, 
2023/11/7, 27, 16, , 1, 2, 
2023/11/8, 15, 13, , 1, 2, 
2023/11/9, 12, 16, , 2, 2, 
2023/11/10, 18, 14, , 1, 2, 
2023/11/11, 16, 10, , , 2, 
2023/11/12, 18, 14, , 1, 2, 
2023/11/13, 27, 11, , 1, 2, 
2023/11/14, 29, 11, , 2, 2, 
2023/11/15, 15, , , , , 
2023/10/2, 26, 23, , 3, 2, 
2023/10/3, 60, 23, , 2, 5, 
2023/10/4, 44, 22, , 2, 2, 
2023/10/5, 43, 18, , 3, 1, 
2023/10/6, 37, 16, , 3, 2, 
2023/10/7, 39, 21, , 3, 2, 
2023/10/8, 40, 29, , 4, 2, 
2023/10/9, 59, 19, , 1, 2, 
2023/10/10, 29, 18, , 3, 2, 
2023/10/11, 27, 24, , 1, 5, 
2023/10/12, 50, 33, , 3, 2, 
2023/10/13, 54, 27, , 2, 2, 
2023/10/14, 39, 31, , 3, 2, 
2023/10/15, 50, 24, , 3, 2, 
2023/10/16, 39, 21, , 3, 2, 
2023/10/17, 33, 30, , 4, 2, 
2023/10/18, 36, 31, , 2, 1, 
2023/10/19, 38, 30, , 4, 2, 
2023/10/20, 46, 27, , 6, 2, 
2023/10/21, 38, 35, , 4, 2, 
2023/10/22, 47, 37, , 3, 2, 
2023/10/23, 68, 21, , 5, 2, 
2023/10/24, 30, 37, , , , 
2023/10/25, 47, 23, , , , 
2023/10/26, 33, , , , , 
2023/11/1, 20, 19, , 4, 2, 
2023/7/2, 74, 12, , 2, 1, 
2023/7/3, 38, 22, , 2, 1, 
2023/7/4, 38, 26, , 3, 1, 
2023/7/5, 43, 42, , 7, 1, 
2023/7/6, 103, 29, , 5, 1, 
2023/7/7, 69, 22, , 3, 1, 
2023/7/8, 63, 13, , 2, 1, 
2023/7/9, 31, 34, , 4, 1, 
2023/7/10, 86, 22, , 2, 1, 
2023/7/11, 62, 35, , 4, 2, 
2023/7/12, 94, 33, , 7, 2, 
2023/7/13, 83, 49, , 6, 2, 
2023/7/14, 106, 57, , 7, 2, 
2023/7/15, 120, 26, , 3, 2, 
2023/7/16, 70, 18, , 1, 2, 
2023/7/17, 56, 54, , 6, 2, 
2023/7/18, 101, 46, , 7, 3, 
2023/7/19, 119, 40, , 8, 4, 
2023/7/20, 106, 8, , 1, 2, 
2023/7/21, 26, 17, , 4, 3, 
2023/7/22, 37, 13, , 7, 2, 
2023/7/23, 36, 81, , 5, 4, 
2023/7/25, 5, 50, , 8, 2, 
2023/7/26, 109, 24, , 4, 6, 
2023/7/27, 68, 42, , 8, 2, 
2023/7/28, 102, 37, , 9, 2, 
2023/7/29, 94, 34, , 8, 2, 
2023/7/30, 90, 27, , 4, 1, 
2023/7/31, 76, 25, , 5, 2, 
2023/8/1, 62, 20, , 4, 5, 
2023/8/2, 47, 22, , 2, 4, 
2023/8/3, 56, 17, , 1, 1, 
2023/8/4, 40, 25, , 5, 1, 
2023/8/5, 55, 30, , 3, 3, 
2023/8/6, 79, 41, , 3, 4, 
2023/8/7, 105, 37, , 7, 4, 
2023/8/8, 92, 43, , 9, 4, 
2023/8/9, 103, 27, , 4, 3, 
2023/8/10, 60, 18, , , 2, 
2023/8/11, 30, 33, , 9, 2, 
2023/8/12, 77, 30, , 5, 1, 
2023/8/13, 67, 32, , 3, 1, 
2023/8/14, 74, 46, , 6, 5, 
2023/8/15, 100, 17, , 1, 1, 
2023/8/16, 30, 15, , 2, 1, 
2023/8/17, 26, 21, , 3, 1, 
2023/8/18, 37, 39, , 5, 1, 
2023/8/19, 79, 10, , , 1, 
2023/8/20, 11, 10, , , 1, 
2023/8/21, 18, 20, , 1, 1, 
2023/8/22, 29, 18, , 2, 3, 
2023/8/23, 43, 22, , 4, 1, 
2023/8/24, 51, 20, , 2, 1, 
2023/8/25, 56, 26, , 3, 1, 
2023/8/26, 63, 24, , 2, 1, 
2023/8/27, 59, 42, , 5, 1, 
2023/8/28, 95, 40, , 5, 1, 
2023/8/29, 75, 43, , 5, 1, 
2023/8/30, 90, 22, , 4, 2, 
2023/8/31, 52, 36, , 5, 1, 
2023/9/1, 76, 27, , 7, 1, 
2023/9/2, 40, 37, , 3, 1, 
2023/9/3, 70, 24, , 2, 1, 
2023/9/4, 51, 22, , 3, 1, 
2023/9/5, 46, 21, , 3, 1, 
2023/9/6, 53, 23, , 5, 1, 
2023/9/7, 39, 24, , 4, 1, 
2023/9/8, 44, 27, , 4, 1, 
2023/9/9, 62, 17, , 1, 1, 
2023/9/10, 30, 13, , , 1, 
2023/9/11, 12, 27, , 5, 1, 
2023/9/12, 51, 31, , 2, 1, 
2023/9/13, 83, 24, , 2, 1, 
2023/9/14, 51, 12, , 4, 1, 
2023/9/15, 61, 13, , 3, 1, 
2023/9/16, 15, 16, , , 1, 
2023/9/17, 16, 28, , 2, 2, 
2023/9/18, 59, 23, , 2, 2, 
2023/9/19, 58, 16, , 1, 2, 
2023/9/20, 31, 24, , 1, 2, 
2023/9/21, 37, 20, , , 1, 
2023/9/22, 31, 11, , 2, 1, 
2023/9/23, 31, 20, , 3, 1, 
2023/9/24, 39, 24, , 4, 1, 
2023/9/25, 60, 27, , 4, 1, 
2023/9/26, 56, 22, , 4, 2, 
2023/9/27, 73, 19, , 4, 2, 
2023/9/28, 50, 13, , 3, 2, 
2023/9/29, 22, 18, , 3, 2, 
2023/9/30, 24, 30, , 2, 2, 
2023/10/1, 33, 15, , 1, 2, 
2023/4/2, 43, 26, , 4, 1, 
2023/4/3, 58, 24, , 5, 1, 
2023/4/4, 30, 31, , 7, 1, 
2023/4/5, 35, 19, , 6, 1, 
2023/4/6, 32, 15, , 4, 1, 
2023/4/7, 30, 23, , 4, 1, 
