date, pm25, pm10, so2, co
2023/11/3, 29, 21, , 
2023/11/4, 43, 37, , 
2023/11/5, 57, 32, , 
2023/11/6, 51, 33, , 
2023/11/7, 51, 9, , 
2023/11/8, 25, 29, , 
2023/11/9, 39, 35, , 
2023/11/10, 43, 15, , 
2023/11/11, 38, 21, , 
2023/11/12, 50, 13, , 
2023/11/13, 35, 20, , 
2023/11/14, 32, 24, , 
2023/11/15, 40, 23, , 
2023/11/16, 35, , , 
2023/10/2, 63, 22, , 
2023/10/3, 48, 22, , 
2023/10/4, 51, 29, , 
2023/10/5, 51, 36, , 
2023/10/6, 55, 39, , 
2023/10/7, 55, 32, , 
2023/10/8, 48, 33, , 
2023/10/9, 49, 31, , 
2023/10/10, 49, 40, , 
2023/10/11, 55, 35, , 
2023/10/12, 49, 42, , 
2023/10/13, 55, 49, , 
2023/10/14, 52, 45, , 
2023/10/15, 59, 40, , 
2023/10/16, 52, 35, , 
2023/10/17, 38, 46, , 
2023/10/18, 55, 33, , 
2023/10/19, 50, 40, , 
2023/10/20, 54, , , 
2023/10/22, 70, 46, , 
2023/10/23, 77, 28, , 
2023/10/24, 67, , , 
2023/7/2, 138, 45, , 
2023/7/3, 119, 62, , 
2023/7/4, 126, 51, , 
2023/7/5, 109, 48, , 
2023/7/6, 103, 63, , 
2023/7/7, 113, 66, , 
2023/7/8, 118, 47, , 
2023/7/9, 61, 24, , 
2023/7/10, 44, 41, , 
2023/7/11, 74, 49, , 
2023/7/12, 103, 16, , 
2023/7/13, 162, 62, , 
2023/7/14, 103, 66, , 
2023/7/15, 124, 49, , 
2023/7/16, 102, 83, , 
2023/7/17, 155, 111, , 
2023/7/18, 189, 83, , 
2023/7/19, 157, 87, , 
2023/7/20, 127, 69, , 
2023/7/21, 120, 28, , 
2023/7/22, 61, 15, , 
2023/7/23, 44, 46, , 
2023/7/24, 104, 68, , 
2023/7/25, 124, 51, , 
2023/7/26, 101, 42, , 
2023/7/27, 77, 52, , 
2023/7/28, 101, 74, , 
2023/7/29, 120, 70, , 
2023/7/30, 125, 82, , 
