date, pm25
2023/11/2, 33
2023/11/3, 36
2023/11/4, 48
2023/11/5, 33
2023/11/6, 30
2023/11/7, 31
2023/11/8, 38
2023/11/9, 26
2023/11/10, 25
2023/11/11, 20
2023/11/12, 40
2023/11/13, 42
2023/11/14, 27
2023/11/15, 26
2023/11/16, 24
2023/10/2, 45
2023/10/3, 47
2023/10/4, 55
2023/10/5, 48
2023/10/6, 54
2023/10/7, 47
2023/10/8, 50
2023/10/9, 34
2023/10/10, 38
2023/10/11, 37
2023/10/12, 33
2023/10/13, 42
2023/10/14, 45
2023/10/15, 41
2023/10/16, 35
2023/10/17, 35
2023/10/18, 51
2023/10/19, 46
2023/10/20, 48
2023/10/21, 68
2023/10/22, 40
2023/10/23, 36
2023/10/24, 46
2023/10/25, 53
2023/10/26, 52
2023/10/27, 77
2023/10/28, 30
2023/10/29, 28
2023/10/30, 23
2023/10/31, 35
2023/11/1, 27
2023/7/2, 123
2023/7/3, 31
2023/7/4, 28
2023/7/5, 40
2023/7/6, 76
2023/7/7, 101
2023/7/8, 70
2023/7/9, 43
2023/7/10, 116
2023/7/11, 84
2023/7/12, 63
2023/7/13, 79
2023/7/14, 150
2023/7/15, 170
2023/7/16, 83
2023/7/17, 91
2023/7/18, 216
2023/7/19, 170
2023/7/20, 115
2023/7/21, 50
2023/7/22, 26
2023/7/23, 32
2023/7/24, 94
2023/7/25, 69
2023/7/26, 60
2023/7/27, 128
2023/7/28, 110
2023/7/29, 153
2023/7/30, 171
2023/7/31, 121
2023/8/1, 72
2023/8/2, 63
2023/8/3, 51
2023/8/4, 105
2023/8/5, 127
2023/8/6, 121
2023/8/7, 98
2023/8/8, 104
2023/8/9, 153
2023/8/10, 99
2023/8/11, 39
2023/8/12, 102
2023/8/13, 78
2023/8/14, 115
2023/8/15, 194
2023/8/16, 64
2023/8/17, 32
2023/8/18, 43
2023/8/19, 77
2023/8/20, 22
2023/8/21, 12
2023/8/22, 38
2023/8/23, 39
2023/8/24, 54
2023/8/25, 49
2023/8/26, 100
2023/8/27, 108
2023/8/28, 123
2023/8/29, 62
2023/8/30, 88
2023/8/31, 57
2023/9/1, 95
2023/9/2, 116
2023/9/3, 81
2023/9/4, 85
2023/9/5, 118
2023/9/6, 152
2023/9/7, 58
2023/9/8, 47
2023/9/9, 71
2023/9/10, 20
2023/9/11, 25
2023/9/12, 29
2023/9/13, 52
2023/9/14, 60
2023/9/15, 83
2023/9/16, 73
2023/9/17, 38
2023/9/18, 72
2023/9/19, 39
2023/9/20, 48
2023/9/21, 64
2023/9/22, 25
2023/9/23, 38
2023/9/24, 45
2023/9/25, 42
2023/9/26, 58
2023/9/27, 28
2023/9/28, 44
2023/9/29, 25
2023/9/30, 40
2023/10/1, 49
2023/4/2, 53
2023/4/3, 66
2023/4/4, 49
2023/4/5, 55
2023/4/6, 40
2023/4/7, 36
2023/4/8, 43
2023/4/9, 65
2023/4/10, 72
2023/4/11, 51
2023/4/12, 26
2023/4/13, 41
2023/4/14, 44
2023/4/15, 79
2023/4/16, 76
2023/4/17, 82
2023/4/18, 42
2023/4/19, 69
2023/4/20, 75
2023/4/21, 73
2023/4/22, 42
2023/4/23, 46
2023/4/24, 112
2023/4/25, 109
2023/4/26, 129
2023/4/27, 196
2023/4/28, 140
2023/4/29, 50
2023/4/30, 17
2023/5/1, 33
2023/5/2, 63
2023/5/3, 66
2023/5/4, 75
2023/5/5, 90
2023/5/6, 105
2023/5/7, 129
2023/5/8, 102
2023/5/9, 97
2023/5/10, 95
2023/5/11, 116
2023/5/12, 107
2023/5/13, 86
2023/5/14, 66
2023/5/15, 64
2023/5/16, 66
2023/5/17, 114
2023/5/18, 115
2023/5/19, 131
2023/5/20, 126
2023/5/21, 107
2023/5/22, 38
2023/5/23, 26
2023/5/24, 19
2023/5/25, 30
2023/5/26, 66
2023/5/27, 71
2023/5/28, 135
2023/5/29, 144
2023/5/30, 189
2023/5/31, 140
2023/6/1, 90
2023/6/2, 64
2023/6/3, 24
2023/6/4, 51
2023/6/5, 136
2023/6/6, 183
2023/6/7, 103
2023/6/8, 76
2023/6/9, 44
2023/6/10, 88
2023/6/11, 60
2023/6/12, 53
2023/6/13, 77
2023/6/14, 170
2023/6/15, 172
2023/6/16, 124
2023/6/17, 95
2023/6/18, 179
2023/6/19, 182
2023/6/20, 179
2023/6/21, 153
2023/6/22, 72
2023/6/23, 27
2023/6/24, 10
2023/6/25, 38
2023/6/26, 24
2023/6/27, 25
2023/6/28, 55
2023/6/29, 82
2023/6/30, 163
2023/7/1, 159
2023/2/14, 55
2023/2/15, 62
2023/2/16, 54
2023/2/17, 45
2023/2/18, 54
2023/2/19, 100
2023/2/20, 115
2023/2/21, 105
2023/2/22, 78
2023/2/23, 26
2023/2/24, 10
2023/2/25, 10
2023/2/26, 8
2023/2/27, 39
2023/2/28, 46
2023/3/1, 43
2023/3/2, 32
2023/3/3, 30
2023/3/4, 43
2023/3/5, 39
2023/3/6, 52
2023/3/7, 30
2023/3/8, 29
2023/3/9, 19
2023/3/10, 37
2023/3/11, 43
2023/3/12, 20
2023/3/13, 22
2023/3/14, 26
2023/3/15, 26
2023/3/16, 26
2023/3/17, 20
2023/3/18, 19
2023/3/19, 35
2023/3/20, 29
2023/3/21, 41
2023/3/22, 57
2023/3/23, 78
2023/3/24, 87
2023/3/25, 77
2023/3/26, 74
2023/3/27, 73
2023/3/28, 71
2023/3/29, 20
2023/3/30, 27
2023/3/31, 40
2023/4/1, 63
