date, pm25, pm10, o3, no2, so2, co
2023/11/2, 43, 16, 18, 4, 1, 3
2023/11/3, 42, 24, 26, 7, 1, 3
2023/11/4, 41, 25, 19, 4, 1, 3
2023/11/5, 53, 27, 19, 2, 1, 3
2023/11/6, 48, 17, 16, 1, 1, 2
2023/11/7, 37, 21, 19, 1, 1, 2
2023/11/8, 33, 32, 24, 2, 1, 3
2023/11/9, 44, 35, 25, 3, 6, 7
2023/11/10, 55, 14, 7, 3, , 3
2023/11/11, 25, 13, 14, 2, , 2
2023/11/12, 26, 14, 13, 1, , 3
2023/11/13, 28, 21, 18, 2, , 3
2023/11/14, 37, 23, 21, 2, , 3
2023/11/15, 34, , , , , 
2023/10/2, 61, 19, 37, 2, 9, 7
2023/10/3, 52, 17, 30, 3, 1, 3
2023/10/4, 41, 24, 31, 3, 1, 3
2023/10/5, 45, 22, 28, 2, 1, 2
2023/10/6, 49, 17, 29, 2, 1, 2
2023/10/7, 44, 27, 30, 2, 1, 3
2023/10/8, 50, 34, 32, 2, 1, 3
2023/10/9, 64, 31, 28, 2, 1, 3
2023/10/10, 63, 21, 24, 2, 1, 3
2023/10/11, 44, 23, 27, 2, 8, 6
2023/10/12, 47, 31, 25, 3, 1, 3
2023/10/13, 53, 36, 24, 4, 2, 3
2023/10/14, 58, 30, 20, 3, 1, 3
2023/10/15, 61, 27, 21, 2, 1, 3
2023/10/16, 54, 28, 22, 3, 1, 3
2023/10/17, 50, 33, 20, 3, 1, 3
2023/10/18, 53, 28, 20, 2, 1, 2
2023/10/19, 56, 31, 21, 3, 1, 3
2023/10/20, 51, 31, 18, 3, 14, 6
2023/10/21, 60, 23, 17, 2, 1, 2
2023/10/22, 47, 23, 17, 1, 1, 3
2023/10/23, 51, 18, 19, 2, 9, 5
2023/10/24, 42, 26, 17, 2, 1, 2
2023/10/25, 45, 31, 17, 3, 1, 3
2023/10/26, 59, 30, 16, 2, 1, 2
2023/10/27, 54, 22, 17, 3, 1, 3
2023/10/28, 52, 20, 8, 2, 1, 3
2023/10/29, 45, 7, 12, 2, 1, 2
2023/10/30, 30, 12, 23, 8, 10, 6
2023/10/31, 35, 20, 20, 4, 1, 3
2023/11/1, 46, 18, 14, 3, 1, 3
2023/7/2, 58, 23, 16, 6, 1, 1
2023/7/3, 67, 28, 14, 9, 1, 1
2023/7/4, 73, 24, 15, 8, 1, 2
2023/7/5, 78, 24, 15, 9, 2, 2
2023/7/6, 57, 24, 14, 9, 1, 2
2023/7/7, 77, 23, 22, 7, 4, 5
2023/7/8, 78, 16, 15, 9, 2, 1
2023/7/9, 55, 16, 14, 6, 1, 2
2023/7/10, 59, 20, 20, 7, 5, 5
2023/7/11, 61, 16, 15, 7, 1, 1
2023/7/12, 54, 9, 14, 5, 1, 1
2023/7/13, 37, 31, 12, 6, , 1
2023/7/14, 54, 34, 7, 9, 1, 3
2023/7/15, 77, 33, 9, 8, 1, 3
2023/7/16, 90, 38, 11, 8, 2, 4
2023/7/17, 104, 43, 4, 10, 2, 4
2023/7/18, 116, 34, 6, 15, 3, 2
2023/7/19, 80, 40, 5, 17, 1, 3
2023/7/20, 82, 31, 10, 11, 1, 3
2023/7/21, 80, 16, 14, 9, 9, 4
2023/7/22, 56, 11, 15, 4, 1, 3
2023/7/23, 37, 18, 9, 5, 1, 2
2023/7/24, 54, 24, 9, 5, 2, 3
2023/7/25, 91, 21, 12, 3, 1, 4
2023/7/26, 59, 25, 18, 10, 1, 9
2023/7/27, 79, 29, 8, 6, 1, 2
2023/7/28, 96, 43, 5, 10, 2, 4
2023/7/29, 104, 43, 13, 10, 2, 4
2023/7/30, 134, 28, 8, 7, 1, 2
2023/7/31, 91, 18, 10, 7, 1, 2
2023/8/1, 70, 66, 20, 8, 1, 2
2023/8/2, 149, 43, 15, 9, 2, 2
2023/8/3, 87, 24, 14, 7, 9, 4
2023/8/4, 75, 20, 15, 6, 1, 1
2023/8/5, 63, 16, 11, 5, 1, 1
2023/8/6, 62, 9, 20, 3, 1, 1
2023/8/7, 49, 20, 10, 6, 1, 2
2023/8/8, 77, 34, 36, 7, 15, 5
2023/8/9, 105, 37, 11, 8, 1, 2
2023/8/10, 106, 13, 19, 4, 1, 1
2023/8/11, 40, 19, 16, 5, 1, 2
2023/8/12, 75, 22, 18, 6, 1, 2
2023/8/13, 99, 55, 19, 6, 1, 2
2023/8/14, 95, 14, 14, 5, 1, 1
2023/8/15, 54, 11, 15, 3, 1, 1
2023/8/16, 44, 11, 13, 4, 1, 1
2023/8/17, 35, 21, 34, 5, 9, 6
2023/8/18, 55, 22, 11, 5, 1, 3
2023/8/19, 54, 15, 7, 6, 1, 3
2023/8/20, 49, 15, 9, 3, 1, 2
2023/8/21, 42, 8, 16, 2, , 1
2023/8/22, 18, 3, 16, 1, 1, 1
2023/8/23, 10, 14, 30, 2, 23, 7
2023/8/24, 31, 16, 21, 3, 1, 3
2023/8/25, 39, 24, 20, 3, 1, 2
2023/8/26, 47, 31, 23, 3, 1, 3
2023/8/27, 64, 34, 30, 3, 1, 3
2023/8/28, 65, 37, 20, 6, 1, 3
2023/8/29, 58, 62, 20, 5, 1, 2
2023/8/30, 48, 29, 18, 3, 1, 2
2023/8/31, 45, 29, 23, 4, 6, 4
2023/9/1, 52, 40, 9, 6, 1, 3
2023/9/2, 68, 37, 15, 5, 1, 3
2023/9/3, 66, 25, 21, 3, 1, 3
2023/9/4, 54, 28, 13, 5, 1, 2
2023/9/5, 57, 30, 6, 6, 1, 3
2023/9/6, 57, 15, 9, 5, 1, 3
2023/9/7, 54, 14, 19, 4, 1, 3
2023/9/8, 41, 30, 31, 4, 9, 6
2023/9/9, 63, 27, 21, 4, 1, 3
2023/9/10, 60, 23, 15, 5, 2, 3
2023/9/11, 54, 10, 42, 2, 3, 5
2023/9/12, 27, 25, 36, 2, 1, 2
2023/9/13, 42, 30, 66, 4, 1, 3
2023/9/14, 57, 65, , 3, 1, 3
2023/9/15, 55, 32, , 4, 1, 3
2023/9/16, 53, 16, , 2, 1, 3
2023/9/17, 42, 17, , 1, 1, 3
2023/9/18, 41, 28, , 2, 1, 5
2023/9/19, 67, 28, , 3, 1, 3
2023/9/20, 66, 22, , 3, 9, 5
2023/9/21, 50, 22, , 2, 1, 3
2023/9/22, 41, 21, 12, 2, 1, 3
2023/9/23, 45, 19, 24, 1, 1, 3
2023/9/24, 46, 19, 28, 1, 1, 3
2023/9/25, 50, 21, 25, 1, 1, 3
2023/9/26, 47, 17, 26, 1, 1, 3
2023/9/27, 42, 24, 28, 2, 1, 3
2023/9/28, 52, 27, 26, 2, 1, 3
2023/9/29, 55, 30, 32, 3, 5, 7
2023/9/30, 63, 26, 26, 2, 1, 3
2023/10/1, 74, 13, 27, 1, 1, 2
2023/4/2, 63, 46, 24, 8, 2, 2
2023/4/3, 69, 46, 16, 10, 1, 2
2023/4/4, 61, 48, 17, 10, 1, 1
2023/4/5, 60, 36, 25, 8, 7, 5
2023/4/6, 59, 52, 25, 9, 1, 2
2023/4/7, 58, 45, 21, 8, 2, 2
2023/4/8, 58, 36, 17, 7, 1, 1
2023/4/9, 69, 28, 17, 6, 1, 2
2023/4/10, 61, 40, 21, 8, 2, 2
2023/4/11, 63, 39, 17, 7, 2, 2
2023/4/12, 48, 16, 8, 5, 1, 1
2023/4/13, 31, 22, 15, 4, 1, 1
2023/4/14, 32, 28, 19, 4, 14, 4
2023/4/15, 37, 35, 19, 4, 1, 3
2023/4/16, 54, 33, 18, 3, 1, 2
2023/4/17, 48, 39, 28, 5, 6, 5
2023/4/18, 53, 49, 23, 7, 2, 2
2023/4/19, 55, 53, 27, 10, 1, 2
2023/4/20, 59, 34, 14, 5, 1, 1
2023/4/21, 50, 32, 20, 5, 1, 1
2023/4/22, 43, 30, 12, 5, 2, 2
2023/4/23, 52, 20, 10, 4, 1, 2
2023/4/24, 55, 22, 10, 5, 1, 2
2023/4/25, 58, 33, 8, 7, 1, 3
2023/4/26, 75, 43, 12, 11, 1, 2
2023/4/27, 90, 35, 15, 7, 1, 2
2023/4/28, 79, 32, 22, 9, 5, 5
2023/4/29, 54, 16, 5, 5, 1, 3
2023/4/30, 30, 6, 12, 2, 3, 3
2023/5/1, 5, , , , , 
2023/5/3, 91, 24, 14, 6, 1, 4
2023/5/4, 75, 33, 13, 7, 1, 4
2023/5/5, 87, 45, 17, 8, 9, 8
2023/5/6, 109, 42, 15, 7, 1, 1
2023/5/7, 104, 39, 19, 8, 3, 1
2023/5/8, 98, 53, 23, 11, 6, 1
2023/5/9, 110, 65, 7, 15, 4, 1
2023/5/10, 113, 78, 10, 15, 3, 2
2023/5/11, 106, 66, 18, 14, 4, 1
2023/5/12, 97, 62, 18, 13, 2, 1
2023/5/13, 63, 52, 21, 9, 1, 1
2023/5/14, 85, 35, 12, 6, 1, 1
2023/5/15, 85, 29, 13, 8, 1, 1
2023/5/16, 50, 26, 11, 8, 1, 1
2023/5/17, 50, 21, 9, 6, 1, 1
2023/5/18, 37, 64, 10, 9, 2, 1
2023/5/19, 63, 85, 25, 9, 8, 11
2023/5/20, 86, 44, 16, 6, 1, 1
2023/5/21, 83, 49, 13, 4, 1, 1
2023/5/22, 86, 24, 14, 7, 5, 10
2023/5/23, 43, 23, 1, 8, , 1
2023/5/24, 48, 31, 4, 6, 1, 1
2023/5/25, 51, 38, , 8, 1, 2
2023/5/26, 81, 26, 10, 5, 1, 1
2023/5/27, 55, 32, 9, 8, 2, 1
2023/5/28, 63, 35, 3, 9, 1, 2
2023/5/29, 84, 43, 8, 10, 1, 1
2023/5/30, 82, 47, 5, 12, 2, 1
2023/5/31, 101, 64, 11, 13, 2, 1
2023/6/1, 98, 51, 14, 8, 1, 1
2023/6/2, 80, 50, 14, 8, 7, 10
2023/6/3, 70, 33, 3, 7, 1, 2
2023/6/4, 64, 72, 10, 6, 1, 1
2023/6/5, 76, 42, 19, 10, 10, 9
2023/6/6, 91, 52, 6, 13, 1, 2
2023/6/7, 97, 45, 11, 10, 1, 1
2023/6/8, 83, 33, 12, 8, 1, 1
2023/6/9, 69, 8, 8, 6, 1, 
2023/6/10, 30, 28, 13, 4, 1, 2
2023/6/11, 47, 27, 12, 4, 1, 2
2023/6/12, 80, 38, 9, 7, 1, 2
2023/6/13, 100, 44, 9, 10, 2, 3
2023/6/14, 118, 53, 7, 15, 2, 4
2023/6/15, 120, 83, 10, 14, 2, 3
2023/6/16, 102, 46, 18, 14, 4, 5
2023/6/17, 91, 45, 14, 12, 3, 1
2023/6/18, 96, 39, 15, 9, 1, 1
2023/6/19, 94, 38, 21, 9, 6, 4
2023/6/20, 60, 35, 7, 10, 1, 1
2023/6/21, 61, 39, 1, 9, 1, 2
2023/6/22, 96, 19, 6, 10, 1, 1
2023/6/23, 60, 21, , 7, 1, 1
2023/6/24, 67, 13, 7, 7, 1, 1
2023/6/25, 40, 15, 7, 6, 1, 1
2023/6/26, 40, 20, 8, 4, 1, 1
2023/6/27, 38, 29, 5, 8, 1, 1
2023/6/28, 56, 38, 15, 8, 7, 2
2023/6/29, 93, 30, 9, 11, 1, 2
2023/6/30, 87, 23, 14, 11, 2, 2
2023/7/1, 83, 23, 15, 8, 2, 1
2023/2/14, 30, 20, 29, 4, 1, 1
2023/2/15, 40, 28, 21, 5, 3, 1
2023/2/16, 59, 18, 13, 4, 1, 1
2023/2/17, 45, 23, 18, 6, 3, 1
2023/2/18, 56, 21, 15, 5, 1, 1
2023/2/19, 51, 18, 18, 5, 1, 1
2023/2/20, 46, 24, 23, 7, 1, 1
2023/2/21, 63, 24, 17, 4, 1, 1
2023/2/22, 66, 35, 18, 3, 1, 1
2023/2/23, 7, 38, 21, 4, 6, 10
2023/2/24, 8, 37, 17, 4, 1, 1
2023/2/25, 14, , 16, 4, 1, 1
2023/2/26, 47, , 24, 4, 2, 
2023/2/27, 54, 1, 17, 6, 3, 
2023/2/28, 62, 29, 13, 5, 1, 1
2023/3/1, 51, 37, 22, 5, 1, 1
2023/3/2, 52, 37, 18, 5, 3, 1
2023/3/3, 48, 29, 23, 4, 5, 20
2023/3/4, 45, 33, 17, 6, 2, 1
2023/3/5, 51, 40, 18, 3, 1, 1
2023/3/6, 58, 33, 16, 3, 1, 1
2023/3/7, 46, 20, 21, 2, 9, 8
2023/3/8, 33, 21, 11, 3, 2, 1
2023/3/9, 36, 25, 9, 3, 2, 1
2023/3/10, 26, 22, 12, 4, 1, 1
2023/3/11, 34, 23, 12, 2, 1, 1
2023/3/12, 41, 26, 12, 2, 1, 2
2023/3/13, 40, 24, 19, 3, 6, 11
2023/3/14, 30, 27, 14, 4, 1, 1
2023/3/15, 40, 26, 19, 3, 1, 1
2023/3/16, 23, 29, 9, 4, 1, 1
2023/3/17, 24, 25, 10, 3, 2, 1
2023/3/18, 20, 31, 21, 4, 1, 1
2023/3/19, 34, 30, 20, 5, 2, 1
2023/3/20, 45, 24, 12, 2, 1, 1
2023/3/21, 37, 29, 15, 5, 1, 1
2023/3/22, 47, 38, 19, 8, 11, 2
2023/3/23, 57, 42, 24, 9, 1, 1
2023/3/24, 54, 44, 22, 11, 4, 1
2023/3/25, 53, 50, 24, 6, 4, 1
2023/3/26, 73, 44, 19, 4, 1, 1
2023/3/27, 62, 32, 18, 4, 1, 1
2023/3/28, 54, 41, 15, 6, 2, 1
2023/3/29, 65, 39, 20, 6, 1, 1
2023/3/30, 42, 48, 25, 8, 2, 2
2023/3/31, 53, 58, 27, 10, 8, 5
2023/4/1, 58, 48, 23, 8, 3, 2
2023/5/2, , 32, 14, 9, 2, 4
2023/2/13, , 17, 26, 3, 6, 13
