date, pm25, pm10, o3, no2, so2, co
2023/11/2, 12, 14, , , , 
2023/11/3, 15, 23, , , , 
2023/11/4, 22, 25, , , , 
2023/11/5, 33, 19, , , , 
2023/11/6, 23, 22, , , , 
2023/11/7, 21, 13, , , , 
2023/11/8, 13, 18, , , , 
2023/11/9, 15, 20, , , , 
2023/11/10, 16, 16, , , , 
2023/11/11, 16, 6, , , , 
2023/11/12, 10, 9, , , , 
2023/11/13, 15, 13, , , , 
2023/11/14, 13, 15, , , , 
2023/11/15, 8, 19, , , , 
2023/11/16, 15, , , , , 
2023/10/2, 16, 16, , , , 
2023/10/3, 14, 22, , , , 
2023/10/4, 17, 31, , , , 
2023/10/5, 22, 33, , , , 
2023/10/6, 33, 17, , , , 
2023/10/7, 18, 20, , , , 
2023/10/8, 15, 21, , , , 
2023/10/9, 31, 20, , , , 
2023/10/10, 22, 36, , , , 
2023/10/11, 29, 34, , , , 
2023/10/12, 18, 42, , , , 
2023/10/13, 42, 31, , , , 
2023/10/14, 39, 25, , , , 
2023/10/15, 35, 17, , , , 
2023/10/16, 33, 25, , , , 
2023/10/17, 17, 37, , , , 
2023/10/18, 5, 36, , , , 
2023/10/19, 5, 41, , , , 
2023/10/20, 37, 60, , , , 
2023/10/21, 65, 31, , , , 
2023/10/22, 43, 24, , , , 
2023/10/23, 36, 14, , , , 
2023/10/24, 22, , , , , 
2023/10/31, 37, 13, , , , 
2023/11/1, 14, 14, , , , 
2023/7/2, 114, 13, , , , 
2023/7/3, 29, 24, , , , 
2023/7/4, 52, 27, , , , 
2023/7/5, 50, 34, , , , 
2023/7/6, 59, 42, , , , 
2023/7/7, 87, 27, , , , 
2023/7/8, 69, 13, , , , 
2023/7/9, 29, 26, , , , 
2023/7/10, 65, 24, , , , 
2023/7/11, 59, 31, , , , 
2023/7/12, 76, 27, , , , 
2023/7/13, 58, 46, , , , 
2023/7/14, 101, 52, , , , 
2023/7/15, 119, 39, , , , 
2023/7/16, 92, 28, , , , 
2023/7/17, 64, 56, , , , 
2023/7/18, 113, 74, , , , 
2023/7/19, 156, 68, , , , 
2023/7/20, 142, 38, , , , 
2023/7/21, 79, 7, , , , 
2023/7/22, 11, 13, , , , 
2023/7/23, 28, 33, , , , 
2023/7/24, 78, 42, , , , 
2023/7/25, 100, 26, , , , 
2023/7/26, 56, 21, , , , 
2023/7/27, 53, 47, , , , 
2023/7/28, 102, 60, , , , 
2023/7/29, 120, 40, , , , 
2023/7/30, 99, 29, , , , 
2023/7/31, 73, 23, , , , 
2023/8/1, 58, 34, , , , 
2023/8/2, 72, 23, , , , 
2023/8/3, 43, 27, , , , 
2023/8/4, 50, 35, , , , 
2023/8/5, 70, 44, , , , 
2023/8/6, 102, 34, , , , 
2023/8/7, 82, 40, , , , 
2023/8/8, 89, 65, , , , 
2023/8/9, 136, 40, , , , 
2023/8/10, 88, 13, , , , 
2023/8/11, 31, 29, , , , 
2023/8/12, 72, 19, , , , 
2023/8/13, 45, 29, , , , 
2023/8/14, 63, 54, , , , 
2023/8/15, 105, 29, , , , 
2023/8/16, 63, 10, , , , 
2023/8/17, 18, 11, , , , 
2023/8/18, 28, 32, , , , 
2023/8/19, 59, 9, , , , 
2023/8/20, 20, 2, , , , 
2023/8/21, 5, 5, , , , 
2023/8/22, 5, 8, , , , 
2023/8/23, 117, 9, , , , 
2023/8/24, 19, , , , , 
2023/8/26, 115, 31, , , , 
2023/8/27, 75, 39, , , , 
2023/8/28, 89, 42, , , , 
2023/8/29, 89, 28, , , , 
2023/8/30, 66, 18, , , , 
2023/8/31, 41, 26, , , , 
2023/9/1, 47, 38, , , , 
2023/9/2, 75, 22, , , , 
2023/9/3, 58, 12, , , , 
2023/9/4, 26, 19, , , , 
2023/9/5, 40, 20, , , , 
2023/9/6, 45, 11, , , , 
2023/9/7, 20, 22, , , , 
