# Sensor Altos del Maipo, Temuco, Chile (Citizen Science project sensor.community/14823)
# https://aqicn.org/station/@61729/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.78,4.2,1.85,1.52,2.44,0.684,307
2019-12-10T00:00:00.000Z,0.4,3.57,1.44,1.06,1.72,0.487,404
2019-12-11T00:00:00.000Z,1.2,51.12,2.5,2.2,3.22,6.487,410
2019-12-12T00:00:00.000Z,0.72,33.86,2.5,1.62,3.38,4.232,483
2019-12-13T00:00:00.000Z,0.3,3.58,1.88,1.1,2.27,0.663,549
2019-12-14T00:00:00.000Z,1.35,9.55,2.6,2.04,3.15,0.894,390
2019-12-15T00:00:00.000Z,0.55,19.02,2.52,1.43,3.73,2.145,561
2019-12-16T00:00:00.000Z,1.85,4.78,3,2.71,3.35,0.537,283
2019-12-17T00:00:00.000Z,0.82,3.95,1.62,1.2,2.06,0.698,282
2019-12-18T00:00:00.000Z,0.65,9.42,2.57,1.55,3.2,1.301,453
2019-12-19T00:00:00.000Z,0.2,38.03,2.9,1.87,3.44,2.316,537
2019-12-20T00:00:00.000Z,1.54,14.12,4.22,3.28,4.8,2.181,352
