# Sensor CEPAL, Vitacura, Santiago, Chile (Purple Air/94153)
# https://aqicn.org/station/@202252/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.2,20.4,8,6.3,10.6,3.725,315
2021-09-08T00:00:00.000Z,1.1,30.7,10.3,4.8,16.25,7.038,569
2021-09-09T00:00:00.000Z,10.4,61.7,29.05,21.7,45.7,12.29,598
2021-09-10T00:00:00.000Z,26.4,72.1,42.8,39.1,46.5,9.279,595
2021-09-11T00:00:00.000Z,22.7,65.2,44,39.2,45.7,6.835,610
2021-09-12T00:00:00.000Z,0,32.9,5.4,1,9.8,6.888,523
2021-09-13T00:00:00.000Z,1.5,20.9,4.8,3.6,6.8,3.011,558
2021-09-14T00:00:00.000Z,3.4,1987.7,11.3,7.65,21.85,108.868,604
2021-09-15T00:00:00.000Z,13.1,62.3,24.3,19.2,32.15,10.883,629
2021-09-16T00:00:00.000Z,9.6,70.6,30.8,28.4,38.45,12.132,616
2021-09-17T00:00:00.000Z,9.7,120.9,21.5,16.1,33.85,12.711,609
2021-09-18T00:00:00.000Z,12.5,51.9,31.5,27.45,39.2,9.09,596
2021-09-19T00:00:00.000Z,13.5,69,31.45,26.8,36.9,7.514,608
2021-09-20T00:00:00.000Z,6,46.3,22,10.75,33.54,12.293,596
2021-09-21T00:00:00.000Z,18,46.8,30.6,28.8,35,5.543,531
2021-09-22T00:00:00.000Z,14,41.1,26.9,22.4,30.8,5.695,579
2021-09-23T00:00:00.000Z,10.4,52.9,25.2,18.6,31.9,9.856,574
2021-09-24T00:00:00.000Z,9.3,50.4,17.3,13.7,22.2,8.765,525
2021-09-25T00:00:00.000Z,10.9,277,36,27.8,40.6,16.76,555
2021-09-26T00:00:00.000Z,8.1,121.8,26.8,18.05,37.35,13.528,593
2021-09-27T00:00:00.000Z,7.6,48.2,16.6,11.8,27.2,10.557,614
2021-09-28T00:00:00.000Z,4.7,40.6,14.8,12.7,19.2,7.626,589
2021-09-29T00:00:00.000Z,3,46.3,10.2,7.1,15.3,9.493,570
2021-09-30T00:00:00.000Z,1,70.8,8.8,3.4,17.14,8.607,569
2021-10-01T00:00:00.000Z,2.1,93.2,11.8,7.1,27.5,12.765,567
2021-10-02T00:00:00.000Z,1,45.3,4.4,3.3,8.69,6.257,600
2021-10-03T00:00:00.000Z,1.9,41.5,16,8.3,21.1,7.214,603
2021-10-04T00:00:00.000Z,3.8,44.1,9.9,8.1,13.45,10.819,592
2021-10-05T00:00:00.000Z,5,42.3,8.6,7.1,15.9,9.567,595
2021-10-06T00:00:00.000Z,4.8,50.8,13.2,10.9,18.8,11.481,591
2021-10-07T00:00:00.000Z,7.5,33.6,13,11.7,15.3,4.695,586
2021-10-08T00:00:00.000Z,3.4,52.9,10.5,7.45,15.85,5.862,572
2021-10-09T00:00:00.000Z,8.1,51.7,22.9,20.2,29.6,9.757,594
2021-10-10T00:00:00.000Z,3.9,44.6,9.7,7.7,17.6,6.788,591
2021-10-11T00:00:00.000Z,8.3,36.7,15.5,13.5,17.5,5.665,591
2021-10-12T00:00:00.000Z,11.1,135.1,34.6,27.4,42.75,23.115,588
2021-10-13T00:00:00.000Z,5.4,42.7,11.6,9.7,26.1,10.008,599
2021-10-14T00:00:00.000Z,0.2,32.5,10.7,7.4,17.25,7.317,584
2021-10-15T00:00:00.000Z,3.5,45.9,12.5,8.9,23.8,9.293,587
2021-10-16T00:00:00.000Z,3.7,46.7,14.4,11,20.45,11.669,588
2021-10-17T00:00:00.000Z,3.2,51,12.3,9.7,15.55,7.5,576
2021-10-18T00:00:00.000Z,2.6,27.8,7.8,6.6,13,4.979,594
2021-10-19T00:00:00.000Z,4.4,48.4,10.5,7.9,14.05,10.335,612
2021-10-20T00:00:00.000Z,11.4,52.3,31.95,22.8,38.65,10.792,580
2021-10-21T00:00:00.000Z,17.3,67.5,34.1,27.9,46.6,12.294,597
2021-10-22T00:00:00.000Z,4.2,163.1,21.2,16.6,30.7,13.201,603
2021-10-23T00:00:00.000Z,4.1,51.1,9.3,6.5,14.15,6.048,580
2021-10-24T00:00:00.000Z,3.5,496.1,11.9,9.7,16.3,41.56,593
2021-10-25T00:00:00.000Z,1.7,35.4,6.8,5.3,11.6,7.66,598
2021-10-26T00:00:00.000Z,2.3,30.9,8.19,6.2,11.5,4.859,598
2021-10-27T00:00:00.000Z,5.5,37.3,11.95,8.4,16.4,6.678,582
2021-10-28T00:00:00.000Z,6.1,45.1,16.39,11.6,19.2,8.486,603
2021-10-29T00:00:00.000Z,6.2,44.6,11.6,9.69,17,7.805,591
2021-10-30T00:00:00.000Z,6.3,40.3,19.8,17.75,23.9,6.236,600
2021-10-31T00:00:00.000Z,5.2,32,10.5,8.69,13.9,3.79,614
2021-11-01T00:00:00.000Z,14.4,117.1,21.3,18.7,25.7,8.457,604
2021-11-02T00:00:00.000Z,7.1,44,17.85,15.2,27,9.94,608
