# Sensor Ecuador -ex-16, Santiago, Chile (Purple Air/119095)
# https://aqicn.org/station/@349456/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-25T00:00:00.000Z,33.1,45.9,38.4,37.79,40.1,2.272,45
2022-07-26T00:00:00.000Z,13.1,69.1,30,16.3,38.5,15.395,171
2022-07-27T00:00:00.000Z,12.8,48,23.2,17.8,30.35,10.147,509
2022-07-28T00:00:00.000Z,25.8,54.5,42,35.75,45.7,7.662,444
2022-07-29T00:00:00.000Z,31,72.7,47.3,43.1,50.5,5.939,431
2022-07-30T00:00:00.000Z,40.1,64.3,47.5,43.8,51.4,5.228,590
2022-07-31T00:00:00.000Z,43.8,76,52.8,51.2,65.5,9.166,618
2022-08-01T00:00:00.000Z,43.6,87.7,60.8,58.5,67.9,9.783,444
2022-08-02T00:00:00.000Z,49.5,79.4,72,63.1,74.95,8.119,425
2022-08-03T00:00:00.000Z,33.1,113.6,76.34,47.9,102.6,26.386,550
2022-08-04T00:00:00.000Z,21.4,72.8,33.5,25.6,54.1,16.457,551
2022-08-05T00:00:00.000Z,34.1,80.9,55.9,45.3,68.59,14.146,543
2022-08-06T00:00:00.000Z,32.3,47.9,42.2,35.9,45.5,4.893,618
2022-08-07T00:00:00.000Z,0,39.5,6.1,2.8,12.3,8.157,610
2022-08-08T00:00:00.000Z,2.7,43,29.3,25,34.6,10.885,378
2022-08-09T00:00:00.000Z,29.7,68.3,43.2,38.29,45.6,6.928,375
2022-08-10T00:00:00.000Z,11.6,53.1,40.4,33.85,47.55,10.368,473
2022-08-11T00:00:00.000Z,19.8,73.4,37.5,33.5,51.3,10.471,435
2022-08-12T00:00:00.000Z,28.4,49.6,33.6,31.8,37,4.395,475
2022-08-13T00:00:00.000Z,30.4,65.1,50.9,37.85,56.1,10.465,644
2022-08-14T00:00:00.000Z,16.8,50.5,40.85,30.4,45.7,8.606,638
2022-08-15T00:00:00.000Z,0,17.6,2.8,0.75,6.45,5.084,213
2022-08-16T00:00:00.000Z,15.7,78.1,26.9,22.1,30,10.578,439
2022-08-17T00:00:00.000Z,32.2,46.9,39.2,37.6,40.6,2.664,175
2022-08-18T00:00:00.000Z,3.7,89.2,44.7,32.29,56.8,16.796,659
2022-08-19T00:00:00.000Z,28.3,113,55.9,48.1,64.7,11.871,666
2022-08-20T00:00:00.000Z,30.2,91.5,64.1,49.8,71.25,12.047,653
2022-08-21T00:00:00.000Z,37.4,138.4,62.5,49.7,71.09,14.628,678
2022-08-22T00:00:00.000Z,30.8,83.6,45,41.1,56.7,11.685,637
2022-08-23T00:00:00.000Z,66.7,106.2,79.4,74.9,84.2,7.163,672
2022-08-24T00:00:00.000Z,54.4,133.2,84.6,75.5,97,17.487,663
2022-08-25T00:00:00.000Z,50,123.1,76.59,66.4,84,17.481,487
2022-08-26T00:00:00.000Z,50.2,62.4,53.6,52,56,2.982,75
2022-08-27T00:00:00.000Z,6.2,97.4,56.85,45,70.7,20.825,668
2022-08-28T00:00:00.000Z,28.3,119.1,55.7,39.04,74.9,20.201,677
2022-08-29T00:00:00.000Z,28.7,53.7,41.4,36.79,45.7,5.854,637
2022-08-30T00:00:00.000Z,35.2,76.3,49.9,44.3,55.4,7.733,586
2022-08-31T00:00:00.000Z,25.4,60.8,43.4,32.9,45.9,7.499,538
2022-09-01T00:00:00.000Z,37.5,61.9,47.9,44.1,51.6,4.756,288
2022-09-02T00:00:00.000Z,44.8,108.7,59.9,52.9,70,12.346,658
2022-09-03T00:00:00.000Z,21.8,103.3,61.8,45.15,73.05,16.75,649
2022-09-04T00:00:00.000Z,32.5,94.5,51.05,43,61,11.045,626
2022-09-05T00:00:00.000Z,30.5,91.4,49.7,40.65,53.75,8.971,661
2022-09-06T00:00:00.000Z,28.8,74.2,42.8,39,52.6,9.14,651
2022-09-07T00:00:00.000Z,18.1,51.2,32.8,26,40.95,8.249,449
2022-11-16T00:00:00.000Z,5.6,5.7,5.65,5.6,5.7,0.05,2
