# Sensor FAV Lonquimay, Chile (Purple Air/118587)
# https://aqicn.org/station/@343849/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-06-01T00:00:00.000Z,19.6,385.6,54.45,36.95,201.4,96.583,208
2022-06-02T00:00:00.000Z,27.6,341.3,93.6,58.6,165.1,78.885,670
2022-06-03T00:00:00.000Z,15.4,377,103.45,67.3,152.75,66.772,676
2022-06-04T00:00:00.000Z,0.1,297.2,92,57.2,134.9,58.434,651
2022-06-05T00:00:00.000Z,0.8,241.4,49.5,28.7,77.34,38.076,681
2022-06-06T00:00:00.000Z,1.5,249.5,32.3,22,45.1,36.371,656
2022-06-07T00:00:00.000Z,0,167.5,28,10.5,46.3,29.235,659
2022-06-08T00:00:00.000Z,0,276.7,48.5,25.25,88.05,49.638,653
2022-06-09T00:00:00.000Z,0,489.1,29.4,8.69,57.8,55.107,655
2022-06-10T00:00:00.000Z,0.6,382.1,48.1,33.4,153.35,78.552,677
2022-06-11T00:00:00.000Z,2.8,380.1,76.5,42.55,209.95,98.01,685
2022-06-12T00:00:00.000Z,7.4,400.4,84.9,39.2,248.9,111.27,671
2022-06-13T00:00:00.000Z,10.7,523.5,158.15,63.8,263.45,123.518,684
2022-06-14T00:00:00.000Z,2.1,409.5,78.55,39.1,151.94,80.988,672
2022-06-15T00:00:00.000Z,0,331.2,59.15,31.6,117.1,64.331,666
2022-06-16T00:00:00.000Z,0.2,266,39.5,20.35,82.6,41.317,601
2022-06-17T00:00:00.000Z,0,194.2,31.55,17.8,50.7,33.786,598
2022-06-18T00:00:00.000Z,0,217.8,45,26.8,85.5,42.451,667
2022-06-19T00:00:00.000Z,0,260.1,34.7,18.5,65.2,49.116,649
2022-06-20T00:00:00.000Z,0,239.8,37.7,20,70.9,47.274,670
2022-06-21T00:00:00.000Z,0,238,36.4,14.8,66.5,50.758,655
2022-06-22T00:00:00.000Z,7.1,277.2,59.3,37.3,99.6,49.527,661
2022-06-23T00:00:00.000Z,26.4,506.1,85.7,55.7,165.4,98.784,642
2022-06-24T00:00:00.000Z,2.7,460.7,77.9,40.9,216.15,106.563,665
2022-06-25T00:00:00.000Z,1.4,359.5,81.95,55.7,128.8,63.811,670
2022-06-26T00:00:00.000Z,11.1,369.4,81.7,47.4,140.75,75.449,612
2022-06-27T00:00:00.000Z,27.1,414,146.9,109.8,187.55,63.434,669
2022-06-28T00:00:00.000Z,1.2,266.8,33.5,23.85,45,37.429,633
2022-06-29T00:00:00.000Z,0.3,140.6,35.7,23.9,51.8,25.431,491
2022-06-30T00:00:00.000Z,0.1,467.6,65.25,39.4,109.1,57.746,634
2022-07-01T00:00:00.000Z,0,223.4,38.04,12.4,86.9,55.663,668
2022-07-02T00:00:00.000Z,0.6,272.5,38.4,29.7,72,48.164,647
2022-07-03T00:00:00.000Z,5.6,299.5,48.7,34.04,88.7,48.861,669
2022-07-04T00:00:00.000Z,0,194.2,29.9,15.3,40.15,26.022,633
2022-07-05T00:00:00.000Z,0,203.3,28.7,8.4,49.1,27.897,638
2022-07-06T00:00:00.000Z,0,193.9,24.6,11,40.7,23.801,664
2022-07-07T00:00:00.000Z,0,259.5,28.1,9.15,50.35,45.916,428
