# Sensor FAV San Ramon, San Ramón, Chile (Purple Air/128725)
# https://aqicn.org/station/@251026/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-03-11T00:00:00.000Z,0,65.2,0.1,0,0.2,12.22,40
2022-03-12T00:00:00.000Z,0,134.1,2.7,0.45,10.1,11.171,521
2022-03-13T00:00:00.000Z,0,276.4,8.2,4.5,17.7,25.053,436
2022-03-14T00:00:00.000Z,0,321.8,6.5,3.7,18.95,23.589,473
2022-03-15T00:00:00.000Z,0,226.4,18.6,5.3,36.15,27.533,288
2022-03-16T00:00:00.000Z,0,348.7,44.15,20.3,51.15,34.382,588
2022-03-17T00:00:00.000Z,0,335.2,3.85,0.6,7.9,31.002,406
2022-03-18T00:00:00.000Z,0,182.8,15.5,3.6,33.2,23.302,447
2022-03-19T00:00:00.000Z,5.9,302.3,37.6,29.3,46.15,28.604,609
2022-03-20T00:00:00.000Z,1.2,231.8,60.3,27.65,74.15,28.303,629
2022-03-21T00:00:00.000Z,0,71.1,8.5,4.8,19.39,11.835,586
2022-03-22T00:00:00.000Z,0,211.1,3.4,0.5,13.65,28.533,537
2022-03-23T00:00:00.000Z,0,198.6,3.2,0.3,13.9,17.057,424
2022-03-24T00:00:00.000Z,0,270.2,14.6,2.3,37.29,25.832,518
2022-03-25T00:00:00.000Z,0,157,17.85,2.4,36.4,26.252,550
2022-03-26T00:00:00.000Z,1,235.3,23.65,9.1,34.5,32.271,442
2022-03-27T00:00:00.000Z,0,198,22.8,6.6,44.1,35.517,575
2022-03-28T00:00:00.000Z,0.6,200.8,20.85,9.5,37,27.489,618
2022-03-29T00:00:00.000Z,0,152.2,7.8,1.8,24.8,20.507,596
2022-03-30T00:00:00.000Z,0,362.9,18.8,2.9,51.3,52.97,559
2022-03-31T00:00:00.000Z,0,289,27.4,3.7,54.9,40.977,375
2022-04-01T00:00:00.000Z,0.1,537.5,42.85,22.1,57.4,43.958,618
2022-04-02T00:00:00.000Z,0,97.3,21.55,6,35.9,18.181,536
2022-04-03T00:00:00.000Z,0,220.5,18.6,3.4,36.15,26.803,589
2022-04-04T00:00:00.000Z,0,260.6,34.6,8,63.65,49.634,537
2022-04-05T00:00:00.000Z,0.1,225.2,26.4,14.65,46.65,38.475,633
2022-04-06T00:00:00.000Z,0,596.7,22.95,8.69,46.8,62.434,566
2022-04-07T00:00:00.000Z,0.1,289.9,30.6,14.8,42.6,29.844,620
2022-04-08T00:00:00.000Z,3.8,252,17.89,10.6,27.35,27.962,621
