# Sensor Piloto_43, Provincia de Santiago, Chile (Purple Air/47035)
# https://aqicn.org/station/@364162/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-11-25T00:00:00.000Z,6.2,10,7.6,7.05,8,0.819,36
2022-11-26T00:00:00.000Z,5.1,33.9,13.6,9,25,8.706,652
2022-11-27T00:00:00.000Z,8.3,34.5,15,11.7,20.7,6.578,655
2022-11-28T00:00:00.000Z,9.4,93.1,19.3,13.9,28.3,9.074,651
2022-11-29T00:00:00.000Z,9.8,45.2,18,14.2,30.2,9.099,639
2022-11-30T00:00:00.000Z,8.1,77.8,20.2,12.35,28.5,9.828,645
2022-12-01T00:00:00.000Z,4.8,31.4,12.9,10.1,16.6,6.851,559
2022-12-02T00:00:00.000Z,5,29.9,10,7.1,16.05,6.736,653
2022-12-03T00:00:00.000Z,5.3,85.2,9.1,7.3,14.45,5.736,641
2022-12-04T00:00:00.000Z,3.2,32.4,10.2,7.6,13.1,5.582,654
2022-12-05T00:00:00.000Z,2.3,29.3,7.95,5.6,11,4.407,648
2022-12-06T00:00:00.000Z,3,259.7,8.9,6.3,12.2,13.461,620
2022-12-07T00:00:00.000Z,1.6,33.1,14.2,10,22,7.898,513
2022-12-08T00:00:00.000Z,0.3,45.3,8.69,4.5,26.7,12.846,655
2022-12-09T00:00:00.000Z,0.8,29.7,5.3,3.4,9,4.358,642
2022-12-10T00:00:00.000Z,1.3,12.6,4.8,3.7,7.7,2.572,637
2022-12-11T00:00:00.000Z,2.3,44.3,6.4,5.2,8.6,8.769,642
2022-12-12T00:00:00.000Z,5.5,46.3,20.1,14.7,26.9,9.994,483
