# Sensor Portatil, Conchalí, Chile (Purple Air/101139)
# https://aqicn.org/station/@217903/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.6,15.9,5.3,3.6,7.4,3.133,316
2021-09-08T00:00:00.000Z,2.1,61.6,23.85,8.1,33.1,14.062,446
2021-09-15T00:00:00.000Z,17.7,51.5,32.45,25.7,44.15,9.795,164
2021-09-16T00:00:00.000Z,8.7,62.5,40,25.5,48.2,13.497,608
2021-09-17T00:00:00.000Z,13.7,70.4,32.5,25.85,39.9,9.323,604
2021-09-18T00:00:00.000Z,12.8,72.9,45,35,51.8,12.123,581
2021-09-19T00:00:00.000Z,11.3,57.8,32.25,24.8,36.45,8.254,608
2021-09-20T00:00:00.000Z,7.2,45.7,24.5,13,31.3,10.601,607
2021-09-21T00:00:00.000Z,17.9,95.1,34.85,29.55,49,12.935,628
2021-09-22T00:00:00.000Z,13.3,39,29.6,23.7,32.1,5.268,592
2021-09-23T00:00:00.000Z,11.2,56.6,34.5,19.05,41.2,12.311,600
2021-09-24T00:00:00.000Z,5.1,55.5,41.1,21.5,46.4,14.348,591
2021-09-25T00:00:00.000Z,10.9,55.1,36.15,28.9,46.2,12.244,602
2021-09-26T00:00:00.000Z,8.2,94.3,33.5,20.39,45.5,14.171,579
2021-09-27T00:00:00.000Z,8.2,48.3,19.6,13.2,38,12.177,590
2021-09-28T00:00:00.000Z,4,49.2,18.9,10.3,35.1,13.479,600
2021-09-29T00:00:00.000Z,3.4,47.7,18.8,8.3,27.9,11.872,606
2021-09-30T00:00:00.000Z,1,38.9,6.4,3.55,9.85,6.182,573
2021-10-01T00:00:00.000Z,2,49.8,19.3,4.8,28.55,13.57,605
2021-10-02T00:00:00.000Z,0.9,13.1,4.3,2.75,6.4,2.675,581
2021-10-03T00:00:00.000Z,0.9,30.1,16.1,8.6,19.7,7.226,590
2021-10-04T00:00:00.000Z,2.9,45,15.5,8.6,26.6,10.905,586
2021-10-05T00:00:00.000Z,4.6,45.2,11.4,7.5,24.6,11.647,587
2021-10-06T00:00:00.000Z,6.2,52.1,25.9,11.75,32.8,11.888,577
2021-10-07T00:00:00.000Z,8.2,49.7,20.8,12.2,31.4,12.013,593
2021-10-08T00:00:00.000Z,8.5,31.2,20.7,15.4,24.1,5.701,591
2021-10-09T00:00:00.000Z,6.2,71.2,32.3,16.7,44.1,15.945,599
2021-10-10T00:00:00.000Z,4.8,33.3,12.6,9.3,16.4,6.935,587
2021-10-11T00:00:00.000Z,6.9,45.4,32.1,13.7,40,12.727,586
2021-10-12T00:00:00.000Z,11.5,47.3,35.54,33.1,37.4,7.463,592
2021-10-13T00:00:00.000Z,4.4,32.1,12,9.8,16.8,7.092,596
2021-10-14T00:00:00.000Z,0.1,33.1,12.5,8.3,15.6,5.234,586
2021-10-15T00:00:00.000Z,1.1,36.6,14.5,8.15,23.3,8.932,613
2021-10-16T00:00:00.000Z,2.8,42.4,18.5,10.6,31.3,11.278,595
2021-10-17T00:00:00.000Z,1.7,33.8,14.3,10.3,20.1,7.204,587
2021-10-18T00:00:00.000Z,1.4,43.4,14.8,6.7,24,10.452,597
2021-10-19T00:00:00.000Z,3.4,94.7,43,14.2,50.3,18.738,608
2021-10-20T00:00:00.000Z,13.7,50,34.5,27.7,43.8,9.676,607
2021-10-21T00:00:00.000Z,15.6,72.3,38.4,31.3,50.2,12.562,591
2021-10-22T00:00:00.000Z,4.5,42.4,23.7,19.5,32.6,9.317,591
2021-10-23T00:00:00.000Z,3.3,25.7,9,6.5,13.2,4.527,577
2021-10-24T00:00:00.000Z,3.6,32.7,13.35,8.3,23.7,8.575,598
2021-10-25T00:00:00.000Z,1.6,31.3,11.75,5.2,17,7.458,604
2021-10-26T00:00:00.000Z,2.5,59.1,8.4,6.8,10.3,6.149,587
2021-10-27T00:00:00.000Z,6.7,38.4,11.2,8.9,26,9.664,596
2021-10-28T00:00:00.000Z,5.5,46.2,17.8,12.95,29.3,10.142,593
2021-10-29T00:00:00.000Z,4.9,39.8,11.4,8.3,19.5,8.349,607
2021-10-30T00:00:00.000Z,6.4,45,25.9,19.5,33.2,9.395,590
2021-10-31T00:00:00.000Z,4.6,35,12,9.1,19.4,7.459,613
2021-11-01T00:00:00.000Z,14.6,37.8,23.35,19.39,29.7,6.293,598
2021-11-02T00:00:00.000Z,6.7,48.6,22.15,15.85,34.7,10.644,588
2021-11-03T00:00:00.000Z,1.9,31.7,14.7,8.9,21.4,7.991,574
2021-11-04T00:00:00.000Z,2.5,22.6,9.69,5.2,12.7,4.543,597
2021-11-05T00:00:00.000Z,3,35.9,7.8,5.4,16.2,7.36,591
2021-11-06T00:00:00.000Z,2.8,34.7,8.5,6.5,15.1,6.005,587
2022-02-01T00:00:00.000Z,3.2,34.8,10.6,8.05,12.6,5.421,393
2022-02-02T00:00:00.000Z,4.5,35.4,7.3,6.15,14.8,6.786,613
2022-02-03T00:00:00.000Z,5.1,28.8,11.4,8.3,16.3,5.491,613
2022-02-04T00:00:00.000Z,4.8,34.6,7.9,6.6,14.6,6.526,627
2022-02-05T00:00:00.000Z,2.9,74.8,14.9,8,18.9,7.951,618
2022-02-06T00:00:00.000Z,3.7,71.9,11.4,7.9,23.7,11.88,615
2022-02-07T00:00:00.000Z,4.4,127.2,9.6,7.4,14.9,17.816,599
2022-02-08T00:00:00.000Z,6.1,44.2,14.4,10.7,20.5,8.544,595
