# Sensor Reyes.SR9.EX, Provincia de Santiago, Chile (Purple Air/115351)
# https://aqicn.org/station/@356875/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-09-22T00:00:00.000Z,0.1,40.6,2.8,1.2,14.1,13.208,202
2022-09-23T00:00:00.000Z,7,78.8,30.2,20.1,37.9,11.018,652
2022-09-24T00:00:00.000Z,7.2,116.2,16.55,13.6,21.6,7.784,654
2022-09-25T00:00:00.000Z,3.6,41.4,18.39,13.95,28.3,9.558,652
2022-09-26T00:00:00.000Z,3.8,49.9,22.4,13.05,30.75,11.591,660
2022-09-27T00:00:00.000Z,4.9,52.4,21.4,9.75,33.79,12.263,637
2022-09-28T00:00:00.000Z,6.8,42.4,23.7,17.6,34,10.053,638
2022-09-29T00:00:00.000Z,22.4,60.6,39.45,30.8,45.5,9.652,620
2022-09-30T00:00:00.000Z,27.1,117,45.6,39.1,51.05,11.215,640
2022-10-01T00:00:00.000Z,16.9,65,40.9,29.05,46.8,10.769,653
2022-10-02T00:00:00.000Z,17.4,46.7,38.5,26,41.6,8.512,645
2022-10-03T00:00:00.000Z,14.8,70.3,30.8,23,34.1,8.737,663
2022-10-04T00:00:00.000Z,1.4,46.9,21.45,18.89,31.8,11.081,628
2022-10-05T00:00:00.000Z,0.5,41.6,9.4,3.5,29.4,13.934,645
2022-10-06T00:00:00.000Z,3.8,44.2,20.7,12.6,30.4,10.457,627
2022-10-07T00:00:00.000Z,0,87,23.8,6.9,29.55,13.995,629
2022-10-08T00:00:00.000Z,0,31.4,1.8,0.6,6.15,5.433,593
2022-10-09T00:00:00.000Z,0,41.1,11.4,4.84,19.89,8.321,629
2022-10-10T00:00:00.000Z,0,24.3,3.3,2.2,8.1,6.142,598
2022-10-11T00:00:00.000Z,3.7,41.8,9.94,5.8,23.3,10.341,626
2022-10-12T00:00:00.000Z,0.3,61.5,16.3,8.6,35.95,13.333,633
2022-10-13T00:00:00.000Z,0.5,36.6,16,6.6,28.5,10.776,615
2022-10-14T00:00:00.000Z,0.9,37.2,9.5,5.1,28.8,11.368,634
2022-10-15T00:00:00.000Z,1.8,40.9,20.5,7.2,29.8,11.438,639
2022-10-16T00:00:00.000Z,1.9,32.5,10.4,5.4,22.8,9.316,652
2022-10-17T00:00:00.000Z,0,49.2,3.5,1.5,10.95,8.536,629
2022-10-18T00:00:00.000Z,0,39.1,14.15,6.75,30.05,12.496,420
2022-10-21T00:00:00.000Z,0,32.4,18.2,5.5,24.1,9.89,586
2022-10-22T00:00:00.000Z,0.1,32.7,5.4,2.29,18.89,8.903,651
2022-10-23T00:00:00.000Z,0,32.2,6.65,2.8,15.75,8.308,616
2022-10-24T00:00:00.000Z,0.4,34.7,7.8,4.5,18.64,8.652,625
2022-10-25T00:00:00.000Z,0,42.5,2.04,0.8,5,6.36,622
2022-10-26T00:00:00.000Z,0,29.2,3.7,0.95,11.8,7.839,637
2022-10-27T00:00:00.000Z,0,23.5,6.9,1.6,16.3,7.418,389
2022-10-28T00:00:00.000Z,1.3,2.2,1.7,1.35,2.1,0.383,4
