# Sensor SICAM1_test, Temuco, Chile (Purple Air/30097)
# https://aqicn.org/station/@25090/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-05-10T00:00:00.000Z,43.95,79.89,51.8,48.64,65.62,10.196,550
2019-05-11T00:00:00.000Z,28.42,89.29,37.75,34.04,58.56,18.382,1036
2019-05-12T00:00:00.000Z,13.04,52.44,23.77,17.39,41.77,12.777,1049
2019-05-13T00:00:00.000Z,14.8,93.47,36.24,22.89,56.64,20.084,1059
2019-05-14T00:00:00.000Z,40.74,103.02,57.92,52.49,70.59,14.404,1063
2019-05-15T00:00:00.000Z,51.63,181.14,78.22,62.58,100.74,34.873,1064
2019-05-16T00:00:00.000Z,18.27,187.67,136.51,30.26,168,64.797,1023
2019-05-17T00:00:00.000Z,7.62,41.11,15.58,12.76,27.65,8.057,1050
2019-05-18T00:00:00.000Z,18.3,64.56,36.57,31.88,44.07,9.73,1052
2019-05-19T00:00:00.000Z,29.26,146.15,48.51,38.86,53.89,27.338,1055
2019-05-20T00:00:00.000Z,10.65,97.2,41.46,27.85,68.81,24.516,1032
2019-05-21T00:00:00.000Z,34.89,143.47,57.67,52.66,71.2,23.47,1049
2019-05-22T00:00:00.000Z,46.47,146.65,59.04,52,96.67,27.637,1065
2019-05-23T00:00:00.000Z,30.63,156.5,67.56,43.35,103.07,36.984,1041
2019-05-24T00:00:00.000Z,37.07,298.85,77.27,54.14,113.45,53.042,1039
2019-05-25T00:00:00.000Z,79.98,223.02,119.3,98.37,189.95,47.246,1057
2019-05-26T00:00:00.000Z,53.6,196.09,141.84,119,160.11,37.349,1055
2019-05-27T00:00:00.000Z,33.4,80.64,63.56,50.7,69,12.836,1037
2019-05-28T00:00:00.000Z,14.16,145.4,61.76,52.45,85.6,33.028,1025
2019-05-29T00:00:00.000Z,9.49,234.58,45.95,36.78,105.96,62.982,1053
2019-05-30T00:00:00.000Z,0.46,42.98,5,2.11,20.2,11.127,1031
2019-05-31T00:00:00.000Z,3.91,29.83,7.64,6.15,13.51,7.133,895
2019-06-01T00:00:00.000Z,4.4,36.04,10.96,6.43,20.5,8.013,583
2019-06-02T00:00:00.000Z,6.56,37.76,16.77,10.74,19.57,7.107,544
2019-06-03T00:00:00.000Z,14.9,80.84,40,30.38,46.93,16.422,535
2019-06-04T00:00:00.000Z,14.37,104.88,36.67,19.87,42.97,24.726,592
2019-06-05T00:00:00.000Z,8.61,79.3,20.78,16.05,28.08,8.154,657
2019-06-06T00:00:00.000Z,4.36,39.07,15.79,10,18.12,6.857,624
2019-06-07T00:00:00.000Z,17.03,299.45,40.63,29.3,54.03,35.703,637
2019-06-08T00:00:00.000Z,15.72,82.04,33.27,21.39,55.87,20.532,663
