# Sensor Salvador Sur, Ñuñoa, Chile (Citizen Science project sensor.community/35273)
# https://aqicn.org/station/@77158/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,3.6,26.95,9.11,4.74,15.97,6.159,319
2019-12-10T00:00:00.000Z,3.14,23.82,5.2,4,8.36,4.345,406
2019-12-11T00:00:00.000Z,2.02,15.68,4.72,3.31,9.27,3.817,413
2019-12-12T00:00:00.000Z,1.8,23.36,4.45,2.9,6.46,3.49,481
2019-12-13T00:00:00.000Z,2.08,23.29,5.03,4.04,7.56,2.417,555
2019-12-14T00:00:00.000Z,2,12.68,6.78,3.79,7.86,2.321,364
2019-12-28T00:00:00.000Z,2.09,24.65,5.48,3.18,7.2,2.554,459
2019-12-29T00:00:00.000Z,1.86,68.86,5.01,2.96,6.22,3.963,577
2019-12-30T00:00:00.000Z,1.98,12.6,4.69,3.66,6.87,2.41,576
2019-12-31T00:00:00.000Z,2.34,11.81,5.99,3.69,8.42,2.407,568
2020-01-01T00:00:00.000Z,3.42,30.84,6.86,5.48,9.26,4.83,573
2020-01-02T00:00:00.000Z,4.07,14.56,6.32,5.3,7.68,2.273,556
2020-01-03T00:00:00.000Z,4.55,23.18,8.61,6.61,10.93,4.461,545
2020-01-04T00:00:00.000Z,3.36,20.46,9.07,5.34,13.05,4.453,549
2020-01-05T00:00:00.000Z,4.05,18.8,8.66,6.64,11.17,2.641,550
2020-01-06T00:00:00.000Z,4.98,24.16,9.94,7.9,13.01,3.932,514
2020-01-07T00:00:00.000Z,2.48,22.22,6.07,4.24,8.06,2.912,512
2020-01-08T00:00:00.000Z,2.17,10.58,3.62,2.78,4.88,1.357,497
2020-01-09T00:00:00.000Z,2.16,22.35,3.42,2.81,7.02,4.303,530
2020-01-10T00:00:00.000Z,1.88,10.34,3.82,2.99,6.57,2.218,415
2020-01-11T00:00:00.000Z,3.42,11.25,4.84,4.32,6.61,1.662,524
2020-01-12T00:00:00.000Z,4.05,13.44,7.29,5.16,10.82,2.913,554
2020-01-13T00:00:00.000Z,4.26,19.77,7.57,5.61,12.77,4.368,478
2020-01-14T00:00:00.000Z,4.84,23.88,7.43,6.28,8.81,3.711,434
2020-01-15T00:00:00.000Z,2.88,20.3,5.35,4.26,6.7,2.122,457
2020-01-16T00:00:00.000Z,2.8,12.49,6,4.86,7.42,1.997,463
2020-01-17T00:00:00.000Z,5.47,16.64,7.56,7.06,8.99,2.704,461
2020-01-18T00:00:00.000Z,6.08,17.64,8.5,7.64,12.58,2.794,497
2020-01-19T00:00:00.000Z,6.26,18,8.25,7.66,8.91,1.076,463
2020-01-20T00:00:00.000Z,5.88,28.42,9.36,8.13,11.47,3.365,356
2020-01-21T00:00:00.000Z,5.48,16.89,7.98,6.58,9.78,1.989,457
2020-01-22T00:00:00.000Z,5.6,6.74,6.3,5.98,6.43,0.301,16
2020-01-23T00:00:00.000Z,3.78,10.44,4.96,4.38,5.49,1.24,80
2020-01-24T00:00:00.000Z,3.5,46.43,5.75,4.67,8.82,4.059,211
2020-01-25T00:00:00.000Z,3.57,21.7,8.25,6.68,10.75,2.625,296
2020-01-26T00:00:00.000Z,3.84,13.02,5.98,4.97,9.84,2.615,302
2020-01-27T00:00:00.000Z,2.35,15.02,5.26,4.4,6.35,1.746,250
2020-01-28T00:00:00.000Z,2.5,31.04,5.15,3.6,9.3,6.043,271
2020-01-29T00:00:00.000Z,2.16,83.04,3.81,3.2,5.36,4.969,308
2020-01-30T00:00:00.000Z,2.82,34.99,5.46,4.54,8.61,3.646,289
2020-01-31T00:00:00.000Z,4.09,37.71,5.5,4.93,7.43,3.909,284
2020-02-01T00:00:00.000Z,3.08,51.34,6.66,5.22,9.91,4.818,322
2020-02-02T00:00:00.000Z,1.68,16.26,6.34,4.7,7.31,2.187,319
2020-02-03T00:00:00.000Z,1.23,74.78,3.08,2.19,3.94,7.305,301
2020-02-04T00:00:00.000Z,1.71,29.92,3.24,2.5,4.51,2.831,253
2020-02-05T00:00:00.000Z,2.62,30.26,3.7,3.32,4.34,2.047,227
2020-02-06T00:00:00.000Z,2.24,22.13,3.06,2.75,4.47,1.746,235
2020-02-07T00:00:00.000Z,2.52,20.1,4.09,3.1,5.62,2.132,211
2020-02-08T00:00:00.000Z,2.15,11.12,4.51,3.3,5.36,1.986,184
2020-02-09T00:00:00.000Z,2.6,36.69,5.79,4.09,10.07,4.17,351
2020-02-10T00:00:00.000Z,3.82,103.65,7.12,6.35,8,9.397,365
2020-02-11T00:00:00.000Z,6.87,34.94,12.55,10.54,16.68,5.415,362
2020-02-12T00:00:00.000Z,6.14,31.16,17.29,11.98,21.01,5.718,384
2020-02-13T00:00:00.000Z,3.96,22.98,7.01,5.96,10.72,2.919,378
2020-02-14T00:00:00.000Z,4.92,49.39,8.91,7.52,11.04,4.444,387
2020-02-15T00:00:00.000Z,5.82,21.66,10.24,8.98,12.54,3.944,322
2020-02-16T00:00:00.000Z,4.34,27.09,8.46,6.89,10.14,3.046,373
2020-02-17T00:00:00.000Z,2.56,27.55,5.93,4.3,11.35,6.047,342
2020-02-18T00:00:00.000Z,2.6,17.01,5.04,3.72,7.17,2.321,309
2020-02-19T00:00:00.000Z,5.05,22.34,7.45,6.22,9.52,4.343,448
2020-02-20T00:00:00.000Z,6.45,23.15,10.78,9.5,11.8,2.447,501
2020-02-21T00:00:00.000Z,8.44,33.11,16.14,13.04,19.01,4.787,412
2020-02-22T00:00:00.000Z,8.34,32.44,14.43,11.4,20.84,5.745,416
2020-02-23T00:00:00.000Z,4.62,26.17,11.72,8.41,13.86,4.295,442
2020-02-24T00:00:00.000Z,4.72,47.22,13.09,9.68,20.19,9.869,515
2020-02-25T00:00:00.000Z,4,134.19,14.17,11.3,18.73,9.529,446
2020-02-26T00:00:00.000Z,4.08,70.06,8.76,7.42,9.98,5.699,391
2020-02-27T00:00:00.000Z,2.25,17.76,6.75,5.65,8.96,3.019,554
2020-02-28T00:00:00.000Z,4.86,61.36,10.75,6.96,13.74,5.021,552
2020-02-29T00:00:00.000Z,11.45,33.01,17.62,15.49,23.82,5.277,568
2020-03-01T00:00:00.000Z,5.21,39.36,16.52,12.42,23.36,8.096,570
2020-03-02T00:00:00.000Z,6.93,67.83,11.42,9.63,18.02,8.37,464
2020-03-03T00:00:00.000Z,7,46.56,18.07,9.65,25.78,10.02,414
2020-03-04T00:00:00.000Z,6.66,31.8,16.11,10.22,21.3,6.287,577
2020-03-05T00:00:00.000Z,4.86,19.66,9.58,7.49,11.02,2.731,582
2020-03-06T00:00:00.000Z,5.11,16.53,9.35,7.27,10.49,2.586,585
2020-03-07T00:00:00.000Z,2.65,24.26,12.12,7.3,16.38,5.333,587
2020-03-08T00:00:00.000Z,3.05,18.35,6.28,4.19,9.32,2.983,558
2020-03-09T00:00:00.000Z,3.75,16.96,7.09,5.52,8.8,2.305,570
2020-03-10T00:00:00.000Z,3.84,22.86,7.74,5.22,12.28,4.625,463
