# Sensor Víctor Zavala, Puente Alto, Chile (Citizen Science project sensor.community/19564)
# https://aqicn.org/station/@65113/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.6,13.36,3.22,2.67,3.75,1.374,287
2019-12-10T00:00:00.000Z,1.1,18.04,2.8,1.99,4.49,2.29,344
2019-12-11T00:00:00.000Z,2.43,11.13,3.77,3.25,4.83,2.045,71
2019-12-14T00:00:00.000Z,1.95,59.88,3.42,3.13,4.59,7.336,102
2019-12-17T00:00:00.000Z,1.55,8.16,2.56,2.12,3.28,1.434,60
2019-12-18T00:00:00.000Z,1.42,33.38,4.34,3.24,5.54,3.324,450
2019-12-19T00:00:00.000Z,0.87,23.94,4.32,3.25,5.81,2.969,529
2019-12-20T00:00:00.000Z,1.82,46.03,6.18,4.58,8.05,4.642,489
2020-06-14T00:00:00.000Z,2.1,45.58,9.33,4.51,14.12,7.607,269
2020-06-15T00:00:00.000Z,8.19,50.43,19.48,16.63,23.2,6.031,487
2020-06-16T00:00:00.000Z,9.02,42.4,19.57,15.03,25.12,7.447,384
2020-12-16T00:00:00.000Z,2,51.22,3.65,3.1,4.55,5.338,81
2020-12-17T00:00:00.000Z,1.67,50.25,4.8,3.51,6.55,4.649,153
2020-12-18T00:00:00.000Z,2.6,133.77,9.4,4.68,11.53,13.871,171
2020-12-19T00:00:00.000Z,1.88,11.2,3.7,2.85,5.68,1.958,269
2020-12-20T00:00:00.000Z,1.8,22.42,2.9,2.4,3.92,1.804,262
2020-12-21T00:00:00.000Z,1.73,21.45,3.28,2.78,4.53,2.333,266
2020-12-22T00:00:00.000Z,1.98,172.52,4.3,3.3,5.32,11.181,238
2020-12-23T00:00:00.000Z,3.8,74.8,5.95,4.93,7.57,5.418,264
2020-12-24T00:00:00.000Z,3.42,129.97,5.72,4.5,9.48,8.712,235
2020-12-25T00:00:00.000Z,2.15,10.95,5.25,3.38,6.35,1.82,247
2020-12-26T00:00:00.000Z,2.5,10.13,4.09,3.42,6.43,1.871,246
2020-12-27T00:00:00.000Z,3.6,23.63,7.43,5.55,11.23,4.833,279
2020-12-28T00:00:00.000Z,3.15,177.77,5.05,4.28,8.8,11.459,254
2020-12-29T00:00:00.000Z,2.72,69.78,5.35,4.03,9.48,5.649,227
2020-12-30T00:00:00.000Z,1.77,262.23,3.89,2.9,8.51,19.829,176
2020-12-31T00:00:00.000Z,2.2,11.57,3.9,3.28,4.79,1.567,221
2021-01-01T00:00:00.000Z,3.25,15.38,4.4,3.95,5.22,1.757,79
2021-01-02T00:00:00.000Z,3.53,11.88,7.11,4.97,8.73,2.168,198
2021-01-03T00:00:00.000Z,3.6,9.9,5,4.43,7.15,1.819,146
2021-01-04T00:00:00.000Z,2.13,67.06,4.59,3.49,7.13,5.174,209
2021-01-05T00:00:00.000Z,2.04,59.08,4.59,3.67,5.45,4.532,241
2021-01-06T00:00:00.000Z,3.1,14.88,5.19,4.38,9.13,3.173,266
2021-01-07T00:00:00.000Z,3.3,176.95,5.47,4.32,7.99,10.828,269
2021-01-08T00:00:00.000Z,2.08,56.35,4.78,3.55,7.28,5.115,286
2021-01-09T00:00:00.000Z,2.15,29.53,7.74,4.72,13.8,7.274,282
2021-01-10T00:00:00.000Z,1.4,7.7,2.63,2.02,3,0.712,281
2021-01-11T00:00:00.000Z,1.4,57.03,2.45,2.04,3.53,4.768,261
2021-01-12T00:00:00.000Z,2,75.22,3.42,3,4.7,6.034,267
2021-01-13T00:00:00.000Z,1.7,31.7,3.1,2.69,3.69,2.123,269
2021-01-14T00:00:00.000Z,1.6,43.92,3.92,3.22,5.28,3.217,259
2021-01-15T00:00:00.000Z,2.29,21.45,4.05,3.44,6.39,2.584,281
2021-01-16T00:00:00.000Z,2.08,12.6,3.22,2.72,4.22,1.322,267
2021-01-17T00:00:00.000Z,2.7,13.6,4.4,3.72,5.18,1.661,246
2021-01-18T00:00:00.000Z,2.92,14.5,6.18,3.75,7.3,1.99,237
2021-01-19T00:00:00.000Z,4.28,14.27,7,5.29,10.56,3.003,145
2021-01-20T00:00:00.000Z,7.6,51.15,12.77,10.73,14.2,4.319,107
2021-01-21T00:00:00.000Z,7.25,22.77,11.25,10.1,13.8,2.831,193
2021-01-22T00:00:00.000Z,8.6,69.53,14.07,12.69,17.85,5.971,216
2021-01-23T00:00:00.000Z,8.32,999.9,498.8,11.75,999.9,449.573,243
2021-01-24T00:00:00.000Z,6.95,999.9,999.9,11.5,999.9,437.901,254
2021-01-25T00:00:00.000Z,5.38,999.9,999.9,292.02,999.9,409.577,222
2021-01-26T00:00:00.000Z,3.78,999.9,999.9,926.15,999.9,333.444,238
2021-01-27T00:00:00.000Z,15.25,999.9,999.9,999.9,999.9,278.348,229
2021-01-28T00:00:00.000Z,2.4,999.9,999.9,243.8,999.9,403.192,222
2021-01-29T00:00:00.000Z,1.6,999.9,9.46,5.13,361.65,336.655,230
2021-01-30T00:00:00.000Z,3,510.88,8.61,5.8,13.21,113.895,264
2021-01-31T00:00:00.000Z,2.35,556.91,13.78,10.68,214.18,160.903,274
2021-02-01T00:00:00.000Z,2.29,410.73,19.3,5.25,199,142.164,223
2021-02-02T00:00:00.000Z,9.6,728.28,261.05,29.18,451.67,217.242,244
2021-02-03T00:00:00.000Z,280.63,673.3,539.15,455.75,611.85,88.811,150
2021-02-04T00:00:00.000Z,6.63,375.48,25.55,11.82,113.05,75.512,269
2021-02-05T00:00:00.000Z,11.7,408.75,32.2,21.5,54.08,58.333,237
2021-02-06T00:00:00.000Z,15.35,177.23,26.36,19.5,34.57,14.027,244
2021-02-07T00:00:00.000Z,18.75,274.64,51.17,30.78,101.52,60.563,237
2021-02-08T00:00:00.000Z,10.18,940.17,20.79,13.3,304.05,314.658,254
2021-02-09T00:00:00.000Z,6.03,891.72,157.57,100.24,247.88,142.544,241
2021-02-10T00:00:00.000Z,9.07,821.45,126.45,49.91,241.4,204.922,225
2021-02-11T00:00:00.000Z,19.38,999.9,45.67,28.06,179.49,176.427,161
