date, pm25, pm10, so2
2023/11/2, 65, 35, 
2023/11/3, 70, 28, 
2023/11/4, 57, 14, 
2023/11/5, 37, 10, 
2023/11/6, 18, 17, 
2023/11/7, 39, 13, 
2023/11/8, 29, 14, 
2023/11/9, 29, 16, 
2023/11/10, 25, 26, 
2023/11/11, 47, 16, 
2023/11/12, 39, 24, 
2023/11/13, 66, 30, 
2023/11/14, 73, 36, 
2023/11/15, 86, 12, 
2023/11/16, 27, , 
2023/10/2, 54, 15, 
2023/10/3, 56, 21, 
2023/10/4, 66, 27, 
2023/10/5, 82, 27, 
2023/10/6, 84, 15, 
2023/10/7, 51, 21, 
2023/10/8, 68, 17, 
2023/10/9, 59, 13, 
2023/10/10, 47, 15, 
2023/10/11, 51, 18, 
2023/10/12, 53, 23, 
2023/10/13, 63, 25, 
2023/10/14, 70, 14, 
2023/10/15, 34, 11, 
2023/10/16, 34, 14, 
2023/10/17, 44, 15, 
2023/10/18, 31, 29, 
2023/10/19, 68, 22, 
2023/10/20, 41, 19, 
2023/10/21, 40, 19, 
2023/10/22, 39, 25, 
2023/10/23, 65, , 
2023/7/2, 75, 19, 
2023/7/3, 59, 25, 
2023/7/4, 74, 16, 
2023/7/5, 48, 28, 
2023/7/6, 83, 64, 
2023/7/7, 160, 67, 
2023/7/8, 170, 17, 
2023/7/9, 53, 41, 
2023/7/10, 111, 48, 
2023/7/11, 124, 81, 
2023/7/12, 192, 64, 
2023/7/13, 161, 45, 
2023/7/14, 126, 27, 
2023/7/15, 89, 26, 
2023/7/16, 94, , 
2023/7/17, 172, , 
2023/7/18, 257, 275, 
2023/7/19, 235, 115, 
2023/7/20, 64, 16, 
2023/7/21, 50, 29, 
2023/7/22, 70, 52, 
2023/7/23, 134, 93, 
2023/7/24, 193, 23, 
2023/7/25, 81, 25, 
2023/7/26, 71, 82, 
2023/7/27, 188, 25, 
2023/7/28, 75, 15, 
2023/7/29, 49, 15, 
2023/7/30, 43, 44, 
2023/7/31, 103, 17, 
2023/8/1, 43, 28, 
2023/8/2, 71, 37, 
2023/8/3, 99, 46, 
2023/8/4, 117, 67, 
2023/8/5, 158, 36, 
2023/8/6, 93, 71, 
2023/8/7, 161, 91, 
2023/8/8, 199, 78, 
2023/8/9, 162, 23, 
2023/8/10, 79, 20, 
2023/8/11, 66, 48, 
2023/8/12, 122, 41, 
2023/8/13, 107, 5, 
2023/8/14, 32, 5, 
