date, pm25, pm10
2023/11/2, 68, 35
2023/11/3, 88, 27
2023/11/4, 72, 27
2023/11/5, 74, 15
2023/11/6, 53, 8
2023/11/7, 35, 14
2023/11/8, 46, 19
2023/11/9, 59, 19
2023/11/10, 52, 26
2023/11/11, 52, 15
2023/11/12, 48, 30
2023/11/13, 92, 27
2023/11/14, 80, 25
2023/11/15, 74, 14
2023/11/16, 53, 
2023/10/2, 81, 25
2023/10/3, 78, 32
2023/10/4, 87, 28
2023/10/5, 78, 25
2023/10/6, 77, 35
2023/10/7, 84, 42
2023/10/8, 99, 14
2023/10/9, 48, 15
2023/10/10, 55, 23
2023/10/11, 64, 25
2023/10/12, 67, 28
2023/10/13, 71, 35
2023/10/14, 90, 22
2023/10/15, 62, 20
2023/10/16, 65, 23
2023/10/17, 69, 26
2023/10/18, 58, 27
2023/10/19, 56, 28
2023/10/20, 49, 26
2023/10/21, 59, 33
2023/10/22, 69, 30
2023/10/23, 66, 22
2023/10/24, 42, 
2023/10/31, 101, 25
2023/11/1, 79, 22
2023/7/2, 53, 14
2023/7/3, 38, 19
2023/7/4, 57, 15
2023/7/5, 52, 43
2023/7/6, 103, 95
2023/7/7, 176, 35
2023/7/8, 104, 14
2023/7/9, 48, 102
2023/7/10, 170, 93
2023/7/11, 198, 90
2023/7/12, 179, 46
2023/7/13, 126, 15
2023/7/14, 54, 27
2023/7/15, 82, 52
2023/7/16, 136, 50
2023/7/17, 142, 124
2023/7/18, 212, 27
2023/7/19, 82, 12
2023/7/20, 41, 15
2023/7/21, 44, 21
2023/7/22, 61, 60
2023/7/23, 148, 112
2023/7/24, 236, 9
2023/7/25, 40, 17
2023/7/26, 58, 49
2023/7/27, 129, 13
2023/7/28, 44, 12
2023/7/29, 41, 23
2023/7/30, 73, 63
2023/7/31, 118, 14
2023/8/1, 44, 29
2023/8/2, 84, 55
2023/8/3, 136, 68
2023/8/4, 165, 53
2023/8/5, 135, 33
2023/8/6, 97, 48
2023/8/7, 128, 48
2023/8/8, 125, 15
2023/8/9, 54, 12
2023/8/10, 45, 32
2023/8/11, 77, 99
2023/8/12, 178, 42
2023/8/13, 91, 9
2023/8/14, 38, 15
2023/8/15, 47, 24
2023/8/16, 79, 24
2023/8/17, 65, 28
2023/8/18, 84, 18
2023/8/19, 59, 10
2023/8/20, 36, 10
2023/8/21, 41, 22
2023/8/22, 71, 25
2023/8/23, 81, 59
2023/8/24, 136, 96
2023/8/25, 192, 131
2023/8/26, 217, 162
2023/8/27, 227, 29
2023/8/28, 63, 74
2023/8/29, 133, 50
2023/8/30, 101, 54
2023/8/31, 128, 15
2023/9/1, 53, 58
2023/9/2, 108, 73
2023/9/3, 164, 37
2023/9/4, 104, 74
2023/9/5, 152, 11
2023/9/6, 45, 8
2023/9/7, 36, 34
2023/9/8, 90, 12
2023/9/9, 48, 18
2023/9/10, 49, 22
2023/9/11, 59, 25
2023/9/12, 78, 21
2023/9/13, 63, 13
2023/9/14, 50, 15
2023/9/15, 56, 27
2023/9/16, 60, 27
2023/9/17, 78, 33
2023/9/18, 97, 42
2023/9/19, 119, 30
2023/9/20, 95, 29
2023/9/21, 79, 40
2023/9/22, 112, 35
2023/9/23, 105, 46
2023/9/24, 126, 28
2023/9/25, 86, 38
2023/9/26, 100, 18
2023/9/27, 54, 25
2023/9/28, 56, 31
2023/9/29, 84, 26
2023/9/30, 68, 29
2023/10/1, 78, 27
2023/4/2, 35, 20
2023/4/3, 61, 33
2023/4/4, 87, 50
2023/4/5, 105, 16
2023/4/6, 38, 40
2023/4/7, 83, 37
2023/4/8, 108, 43
2023/4/9, 107, 29
2023/4/10, 82, 22
2023/4/11, 67, 23
2023/4/12, 75, 19
2023/4/13, 61, 24
2023/4/14, 73, 30
2023/4/15, 82, 25
2023/4/16, 77, 25
2023/4/17, 79, 28
2023/4/18, 82, 26
2023/4/19, 82, 21
2023/4/20, 66, 20
2023/4/21, 67, 30
2023/4/22, 91, 28
2023/4/23, 82, 66
2023/4/24, 144, 33
2023/4/25, 88, 11
2023/4/26, 44, 29
2023/4/27, 87, 14
2023/4/28, 53, 19
2023/4/29, 40, 18
2023/4/30, 57, 56
2023/5/1, 135, 27
2023/5/2, 76, 34
2023/5/3, 95, 44
2023/5/4, 109, 65
2023/5/5, 157, 43
2023/5/6, 122, 28
2023/5/7, 87, 37
2023/5/8, 93, 40
2023/5/9, 110, 42
2023/5/10, 109, 30
2023/5/11, 86, 25
2023/5/12, 68, 15
2023/5/13, 43, 13
2023/5/14, 35, 24
2023/5/15, 69, 19
2023/5/16, 54, 67
2023/5/17, 129, 30
2023/5/18, 76, 22
2023/5/19, 68, 104
2023/5/20, 172, 40
2023/5/21, 101, 37
2023/5/22, 92, 18
