date, pm25, pm10
2023/11/2, 30, 12
2023/11/3, 26, 16
2023/11/4, 35, 13
2023/11/5, 35, 5
2023/11/6, 11, 6
2023/11/7, 19, 11
2023/11/8, 20, 7
2023/11/9, 14, 17
2023/11/10, 18, 14
2023/11/11, 25, 9
2023/11/12, 20, 16
2023/11/13, 46, 10
2023/11/14, 32, 13
2023/11/15, 29, 8
2023/11/16, 20, 
2023/10/2, 32, 8
2023/10/3, 30, 17
2023/10/4, 50, 17
2023/10/5, 47, 22
2023/10/6, 50, 11
2023/10/7, 30, 22
2023/10/8, 55, 14
2023/10/9, 47, 13
2023/10/10, 40, 15
2023/10/11, 46, 23
2023/10/12, 37, 25
2023/10/13, 40, 26
2023/10/14, 40, 20
2023/10/15, 33, 16
2023/10/16, 34, 26
2023/10/17, 48, 35
2023/10/18, 31, 22
2023/10/19, 22, 24
2023/10/20, 31, 21
2023/10/21, 24, 40
2023/10/22, 34, 44
2023/10/23, 39, 18
2023/10/24, 29, 
2023/10/31, 23, 15
2023/11/1, 45, 15
2023/7/2, 87, 12
2023/7/3, 21, 10
2023/7/4, 23, 12
2023/7/5, 28, 9
2023/7/6, 21, 8
2023/7/7, 34, 13
2023/7/8, 44, 9
2023/7/9, 15, 11
2023/7/10, 37, 22
2023/7/11, 70, 23
2023/7/12, 73, 23
2023/7/13, 79, 12
2023/7/14, 52, 13
2023/7/15, 47, 14
2023/7/16, 53, 18
2023/7/17, 61, 11
2023/7/18, 46, 11
2023/7/19, 46, 4
2023/7/20, 17, 7
2023/7/21, 21, 14
2023/7/22, 26, 11
2023/7/23, 35, 21
2023/7/24, 66, 17
2023/7/25, 62, 13
2023/7/26, 28, 28
2023/7/27, 83, 15
2023/7/28, 46, 10
2023/7/29, 38, 6
2023/7/30, 20, 18
2023/7/31, 59, 10
2023/8/1, 36, 15
2023/8/2, 34, 19
2023/8/3, 59, 20
2023/8/4, 57, 21
2023/8/5, 63, 15
2023/8/6, 41, 19
2023/8/7, 62, 17
2023/8/8, 60, 29
2023/8/9, 91, 17
2023/8/10, 57, 13
