date, pm25, pm10, o3, so2, co
2023/11/3, 5, , , , 
2023/11/10, 30, 17, 8, , 
2023/11/11, 19, 14, 8, , 
2023/11/12, 33, 10, 16, , 
2023/11/13, 15, 19, 18, , 
2023/11/14, 15, 21, 18, , 
2023/11/15, 20, 23, 20, , 
2023/11/16, 16, , , , 
2023/10/2, 33, 23, 19, , 
2023/10/3, 36, 26, 21, , 
2023/10/4, 27, 38, 27, , 
2023/10/5, 35, 36, 25, , 
2023/10/6, 36, 33, 22, , 
2023/10/7, 38, 35, 26, , 
2023/10/8, 34, 50, 27, , 
2023/10/9, 41, 33, 27, , 
2023/10/10, 35, 33, 18, , 
2023/10/11, 30, 37, 27, , 
2023/10/12, 24, 42, 30, , 
2023/10/13, 33, 41, 31, , 
2023/10/14, 35, 35, 32, , 
2023/10/15, 35, 45, 28, , 
2023/10/16, 31, 37, 26, , 
2023/10/17, 22, 43, 34, , 
2023/10/18, 31, 37, 26, , 
2023/10/19, 32, 38, 27, , 
2023/10/20, 31, 47, 20, , 
2023/10/21, 43, 38, 15, , 
2023/10/22, 48, 46, 13, , 
2023/10/23, 53, 27, 11, , 
2023/10/24, 38, , , , 
2023/7/2, 110, 46, 8, , 
2023/7/3, 96, 62, 10, , 
2023/7/4, 119, 53, 8, , 
2023/7/5, 103, 52, 8, , 
2023/7/6, 92, 62, 9, , 
2023/7/7, 108, 63, , , 
2023/7/8, 129, 45, 5, , 
2023/7/9, 94, 14, 11, , 
2023/7/10, 32, 41, 1, , 
2023/7/11, 91, 42, , , 
2023/7/12, 91, 32, 9, , 
2023/7/13, 64, 43, 6, , 
2023/7/14, 89, 47, 5, , 
2023/7/15, 99, 48, 6, , 
2023/7/16, 106, 50, 5, , 
2023/7/17, 117, 86, 10, , 
2023/7/18, 166, 76, , , 
2023/7/19, 137, 72, 6, , 
2023/7/20, 126, 69, 7, , 
2023/7/21, 131, 49, 1, , 
2023/7/22, 112, 24, 16, , 
2023/7/23, 57, 36, 6, , 
2023/7/24, 77, 60, 9, , 
2023/7/25, 111, 52, 6, , 
2023/7/26, 107, 35, 5, , 
2023/7/27, 66, 45, 7, , 
2023/7/28, 96, 65, 6, , 
2023/7/29, 120, 53, 13, , 
2023/7/30, 107, 65, 6, , 
2023/7/31, 124, 51, 14, , 
2023/8/1, 100, 32, 10, , 
2023/8/2, 69, 29, 10, , 
2023/8/3, 63, 42, 8, , 
2023/8/4, 88, 62, 10, , 
2023/8/5, 122, 43, 8, , 
2023/8/6, 101, 50, 15, , 
2023/8/7, 106, 55, 7, , 
2023/8/8, 95, 65, 12, , 
2023/8/9, 119, 61, 9, , 
2023/8/10, 119, 21, 16, , 
2023/8/11, 56, 23, 14, , 
2023/8/12, 54, 39, 13, , 
2023/8/13, 77, 47, 15, , 
2023/8/14, 100, 43, 11, , 
2023/8/15, 67, 32, 7, , 
2023/8/16, 55, 36, 8, , 
2023/8/17, 69, 30, 12, , 
2023/8/18, 68, 38, 7, , 
2023/8/19, 74, 15, 15, , 
2023/8/20, 34, 20, 12, , 
2023/8/21, 54, 22, 8, , 
2023/8/22, 55, 11, 16, , 
2023/8/23, 30, 17, 18, , 
2023/8/24, 34, 24, 17, , 
2023/8/25, 40, 25, 19, , 
2023/8/26, 42, 42, 17, , 
2023/8/27, 73, 40, 22, , 
2023/8/28, 66, 45, 14, , 
2023/8/29, 86, 29, 18, , 
2023/8/30, 46, 26, 17, , 
2023/8/31, 23, 32, 13, , 
2023/9/1, 56, 45, 9, , 
2023/9/2, 77, 34, 11, , 
2023/9/3, 76, 30, 15, , 
2023/9/4, 59, 31, 6, , 
2023/9/5, 72, 42, , , 
2023/9/6, 92, 21, 10, , 
2023/9/7, 53, 28, 15, , 
2023/9/8, 61, 35, 19, , 
2023/9/9, 58, 35, 10, , 
2023/9/10, 63, 39, 16, , 
2023/9/11, 88, 11, 20, , 
2023/9/12, 17, 23, 18, , 
2023/9/13, 40, 44, 14, , 
2023/9/14, 75, 37, 22, , 
2023/9/15, 54, 32, 18, , 
2023/9/16, 38, 20, 15, , 
2023/9/17, 28, 28, 14, , 
2023/9/18, 50, 29, 12, , 
2023/9/19, 66, 40, 7, , 
2023/9/20, 87, 47, 12, , 
2023/9/21, 94, 42, 12, , 
2023/9/22, 77, 40, 9, , 
2023/9/23, 66, 34, 19, , 
2023/9/24, 63, 25, 19, , 
2023/9/25, 36, 29, 14, , 
2023/9/26, 37, 19, 16, , 
2023/9/27, 19, 35, 18, , 
2023/9/28, 41, 36, 12, , 
2023/9/29, 63, 45, 21, , 
2023/9/30, 61, 34, 24, , 
2023/10/1, 47, 19, 13, , 
2023/4/2, 55, 59, 38, , 
2023/4/3, 52, 44, 31, , 
2023/4/4, 40, 49, 41, , 
2023/4/5, 42, 54, 42, , 
2023/4/6, 50, 57, 45, , 
2023/4/7, 51, 42, 48, , 
2023/4/8, 44, 39, 51, , 
2023/4/9, 39, 46, 56, , 
2023/4/10, 53, 52, 55, , 
2023/4/11, 54, 44, 48, , 
2023/4/12, 44, 42, 20, , 
2023/4/13, 36, 41, 20, , 
2023/4/14, 45, 49, 15, , 
2023/4/15, 65, 48, 27, , 
2023/4/16, 71, 56, 26, , 
2023/4/17, 62, 54, 21, , 
2023/4/18, 52, 67, 18, , 
2023/4/19, 59, 69, 22, , 
2023/4/20, 74, 58, 23, , 
2023/4/21, 62, 59, 11, , 
2023/4/22, 67, 74, 19, , 
2023/4/23, 69, 50, 23, , 
2023/4/24, 74, 42, 18, , 
2023/4/25, 64, 60, 21, , 
2023/4/26, 80, 102, 21, , 
