date, pm25, pm10, o3, no2, so2, co
2023/11/2, 21, 18, , , , 
2023/11/3, 27, 35, , , , 
2023/11/4, 36, 32, , , , 
2023/11/5, 48, 20, , , , 
2023/11/6, 32, 14, , , , 
2023/11/7, 25, 28, , , , 
2023/11/8, 30, 33, , , , 
2023/11/9, 44, 44, , , , 
2023/11/10, 49, 17, , , , 
2023/11/11, 30, 11, , , , 
2023/11/12, 20, 12, , , , 
2023/11/13, 24, 25, , , , 
2023/11/14, 34, 22, , , , 
2023/11/15, 37, , , , , 
2023/10/2, 34, 25, , , , 
2023/10/3, 33, 21, , , , 
2023/10/4, 26, 23, , , , 
2023/10/5, 34, 26, , , , 
2023/10/6, 40, 21, , , , 
2023/10/7, 24, 27, , , , 
2023/10/8, 29, 31, , , , 
2023/10/9, 39, 29, , , , 
2023/10/10, 40, 25, , , , 
2023/10/11, 26, 28, , , , 
2023/10/12, 32, 41, , , , 
2023/10/13, 42, 40, , , , 
2023/10/14, 45, 28, , , , 
2023/10/15, 44, 24, , , , 
2023/10/16, 37, 29, , , , 
2023/10/17, 32, 28, , , , 
2023/10/18, 34, 27, , , , 
2023/10/19, 41, 29, , , , 
2023/10/20, 41, 26, , , , 
2023/10/21, 48, 17, , , , 
2023/10/22, 29, 21, , , , 
2023/10/23, 39, 20, , , , 
2023/10/24, 27, 25, , , , 
2023/10/25, 34, 30, , , , 
2023/10/26, 45, 26, , , , 
2023/10/27, 43, 22, , , , 
2023/10/28, 32, 20, , , , 
2023/10/29, 31, 15, , , , 
2023/10/30, 18, 18, , , , 
2023/10/31, 20, 22, , , , 
2023/11/1, 28, 16, , , , 
2023/7/2, 56, 23, , , , 
2023/7/3, 32, 33, , , , 
2023/7/4, 53, 30, , , , 
2023/7/5, 51, 32, , , , 
2023/7/6, 50, 26, , , , 
2023/7/7, 60, 24, , , , 
2023/7/8, 36, 20, , , , 
2023/7/9, 45, 18, , , , 
2023/7/10, 33, 25, , , , 
2023/7/11, 45, 13, , , , 
2023/7/12, 28, 16, , , , 
2023/7/13, 26, 25, , , , 
2023/7/14, 47, 31, , , , 
2023/7/15, 58, 38, , , , 
2023/7/16, 74, 38, , , , 
2023/7/17, 77, 44, , , , 
2023/7/18, 81, 47, , , , 
2023/7/19, 83, 40, , , , 
2023/7/20, 65, 24, , , , 
2023/7/21, 51, 15, , , , 
2023/7/22, 27, 16, , , , 
2023/7/23, 17, 17, , , , 
2023/7/24, 31, 62, , , , 
2023/7/25, 41, 19, , , , 
2023/7/26, 42, 26, , , , 
2023/7/27, 47, 31, , , , 
2023/7/28, 56, 46, , , , 
2023/7/29, 79, 45, , , , 
2023/7/30, 84, 27, , , , 
2023/7/31, 65, 20, , , , 
2023/8/1, 57, 22, , , , 
2023/8/2, 40, 44, , , , 
2023/8/3, 65, 35, , , , 
2023/8/4, 60, 25, , , , 
2023/8/5, 61, 16, , , , 
2023/8/6, 42, 11, , , , 
2023/8/7, 30, 22, , , , 
2023/8/8, 42, 35, , , , 
2023/8/9, 71, 34, , , , 
2023/8/10, 76, 13, , , , 
2023/8/11, 71, 16, , , , 
2023/8/12, 62, 27, , , , 
2023/8/13, 76, 27, , , , 
2023/8/14, 85, 23, , , , 
2023/8/15, 101, 17, , , , 
2023/8/16, 88, 17, , , , 
2023/8/17, 48, , , , , 
2023/8/18, 20, , , , , 
2023/8/21, 19, 19, , , , 
2023/8/22, 18, 17, , , , 
2023/8/23, 9, 9, , , , 
2023/8/24, 11, 12, , , , 
2023/8/25, 9, 13, , , , 
2023/8/26, 16, 18, , , , 
2023/8/27, 33, 18, , , , 
2023/8/28, 34, 21, , , , 
2023/8/29, 31, 17, , , , 
2023/8/30, 29, 20, , , , 
2023/8/31, 13, 26, , , , 
2023/9/1, 30, 34, , , , 
2023/9/2, 44, 29, , , , 
2023/9/3, 36, 16, , , , 
2023/9/4, 27, 22, , , , 
2023/9/5, 69, 18, , , , 
2023/9/6, 24, 12, , , , 
2023/9/7, 23, 18, , , , 
2023/9/8, 12, 24, , , , 
2023/9/9, 22, 24, , , , 
2023/9/10, 29, 24, , , , 
2023/9/11, 25, 18, , , , 
2023/9/12, 11, 19, , , , 
2023/9/13, 18, 23, , , , 
2023/9/14, 22, 24, , , , 
2023/9/15, 23, 32, , , , 
2023/9/16, 32, 21, , , , 
2023/9/17, 26, 17, , , , 
2023/9/18, 15, 22, , , , 
2023/9/19, 24, 26, , , , 
2023/9/20, 39, 21, , , , 
2023/9/21, 23, 16, , , , 
2023/9/22, 14, 20, , , , 
2023/9/23, 19, 13, , , , 
2023/9/24, 10, 14, , , , 
2023/9/25, 18, 14, , , , 
2023/9/26, 14, 30, , , , 
2023/9/27, 9, 35, , , , 
2023/9/28, 18, 23, , , , 
2023/9/29, 17, 31, , , , 
2023/9/30, 22, 27, , , , 
2023/10/1, 35, 16, , , , 
2023/4/2, 59, 38, , , , 
2023/4/3, 56, 45, , , , 
2023/4/4, 64, 37, , , , 
2023/4/5, 50, 38, , , , 
2023/4/6, 45, 36, , , , 
2023/4/7, 25, 30, , , , 
2023/4/8, 42, 38, , , , 
2023/4/9, 59, 28, , , , 
2023/4/10, 59, 31, , , , 
2023/4/11, 54, 25, , , , 
2023/4/12, 45, 17, , , , 
2023/4/13, 35, 20, , , , 
2023/4/14, 17, 20, , , , 
2023/4/15, 31, 30, , , , 
2023/4/16, 45, 24, , , , 
2023/4/17, 36, 35, , , , 
2023/4/18, 42, 41, , , , 
2023/4/19, 40, 52, , , , 
2023/4/20, 68, 28, , , , 
2023/4/21, 43, 26, , , , 
2023/4/22, 30, 21, , , , 
2023/4/23, 41, 24, , , , 
2023/4/24, 46, 24, , , , 
2023/4/25, 44, 25, , , , 
2023/4/26, 47, 44, , , , 
