# Sensor Avenida Presidente Kennedy, Vitacura, Chile (Citizen Science project sensor.community/74335)
# https://aqicn.org/station/@350698/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2022-08-05T00:00:00.000Z,32.29,372.17,77.83,63.19,92.34,24.985,520
2022-08-06T00:00:00.000Z,9.55,224.07,59.4,47.42,81.78,28.934,243
2022-08-07T00:00:00.000Z,0.1,678.65,5.88,2.65,11.37,35.994,533
2022-08-08T00:00:00.000Z,2.33,54.08,16.29,7.97,27.45,11.988,540
2022-08-09T00:00:00.000Z,2.04,103.75,32.4,23.74,40.52,16.536,557
2022-08-10T00:00:00.000Z,0.4,205.3,21.9,10.18,36.63,18.836,539
2022-08-11T00:00:00.000Z,20.13,100.13,41.47,32.4,62.02,18.507,497
2022-08-12T00:00:00.000Z,28.2,72.8,47.7,41.05,53.94,9.029,437
2022-08-13T00:00:00.000Z,23.38,905.78,59.93,51.3,69.53,40.675,570
2022-08-14T00:00:00.000Z,0.85,237.93,47.05,38.04,52.55,20.896,563
2022-08-15T00:00:00.000Z,0,161.3,1.67,0.6,6.2,17.99,547
2022-08-16T00:00:00.000Z,7.05,86.3,28.25,18.39,43.4,16.242,570
2022-08-17T00:00:00.000Z,5.75,409.33,32.04,23.3,41.08,24.655,511
2022-08-18T00:00:00.000Z,19.39,87.03,47.88,34.65,60.7,14.909,528
2022-08-19T00:00:00.000Z,1.23,154.68,41.38,23.58,67.2,26.115,570
2022-08-20T00:00:00.000Z,8.48,185.25,36.9,21.07,62.73,25.345,548
2022-08-21T00:00:00.000Z,20.85,117.97,44.95,37.47,62.4,22.031,559
2022-08-22T00:00:00.000Z,22.95,397.05,58.02,39.5,91.85,31.945,478
2022-08-23T00:00:00.000Z,72.68,176.95,124.35,111.52,137.19,18.839,557
2022-08-24T00:00:00.000Z,27.35,194.9,131.16,110.9,155.69,41.156,538
2022-08-25T00:00:00.000Z,46.58,669.95,88.66,74.13,113.78,38.1,534
2022-08-26T00:00:00.000Z,41.28,156.97,77.27,62.14,104.38,25.806,560
2022-08-27T00:00:00.000Z,10.07,121.43,69.3,55.84,87.32,24.267,565
2022-08-28T00:00:00.000Z,7.43,313.64,52.53,38.03,65.34,22.554,557
2022-08-29T00:00:00.000Z,1,77.3,21.77,6.6,40.75,20.37,547
2022-08-30T00:00:00.000Z,31.05,112.38,54.45,47.03,87.78,21.702,551
2022-08-31T00:00:00.000Z,27.6,321.6,62.3,47.49,76.78,22.257,549
2022-09-01T00:00:00.000Z,31.87,151.19,53.72,43,71.5,18.153,547
2022-09-02T00:00:00.000Z,67.63,317.7,91.08,84.09,106.03,22.489,544
2022-09-03T00:00:00.000Z,4.95,161.1,40.95,26.27,61.4,26.944,534
2022-09-04T00:00:00.000Z,17.8,184.8,42.4,33.19,54.45,15.356,465
2022-09-05T00:00:00.000Z,12.23,148.38,38.74,25.73,46.67,16.122,490
2022-09-06T00:00:00.000Z,16.92,134.02,38.19,29.8,51.6,15.006,556
2022-09-07T00:00:00.000Z,5.47,117.2,23.27,16.1,46.92,17.898,541
2022-09-08T00:00:00.000Z,0.32,153.6,8.94,3.58,13.27,12.034,495
2022-09-09T00:00:00.000Z,5.78,192.32,34.15,14.63,45.08,25.156,562
2022-09-10T00:00:00.000Z,14.6,92.38,32.09,24.55,48.61,17.939,552
2022-09-11T00:00:00.000Z,3.15,130.18,24.95,17.05,35.11,14.258,553
2022-09-12T00:00:00.000Z,12.25,90.9,28.04,22.2,38.2,10.508,508
2022-09-13T00:00:00.000Z,18,62.03,31.63,27.52,36.42,6.772,547
2022-09-14T00:00:00.000Z,13.68,430.48,43.75,36.28,51.15,22.477,554
2022-09-15T00:00:00.000Z,14.38,96.63,34.61,27.15,47.58,16.635,522
2022-09-16T00:00:00.000Z,17.8,122.9,43.52,35.53,54.05,16.262,550
2022-09-17T00:00:00.000Z,5.35,121.53,43.96,38.17,53.85,13.727,538
2022-09-18T00:00:00.000Z,2.97,128.1,12.63,8.68,21.7,13.835,551
2022-09-19T00:00:00.000Z,5.35,84.97,21.65,18.17,27.15,10.381,551
2022-09-20T00:00:00.000Z,3.55,68.63,14.98,11.85,20.02,8.988,519
2022-09-21T00:00:00.000Z,2.22,109.72,10.6,7.22,16.57,11.608,539
2022-09-22T00:00:00.000Z,3.7,42.78,12.23,8.28,19.43,9.012,548
2022-09-23T00:00:00.000Z,6.07,117.05,22.87,16.14,35.92,16.318,542
2022-09-24T00:00:00.000Z,11.18,206.95,28.77,22.33,44.83,23.606,555
2022-09-25T00:00:00.000Z,9.44,173.82,26.8,20.55,33.85,20.582,547
2022-09-26T00:00:00.000Z,10.82,89.28,25.88,18.64,35.83,10.665,542
2022-09-27T00:00:00.000Z,10.48,151.72,26.65,20.14,41.95,16.388,543
2022-09-28T00:00:00.000Z,10.43,106.68,25.27,19.25,32.92,10.957,547
2022-09-29T00:00:00.000Z,20.32,154.69,47.32,34.79,68.88,23.946,534
2022-09-30T00:00:00.000Z,24.73,117.47,53.02,41.33,67.5,19.166,538
2022-10-01T00:00:00.000Z,13,88.97,33.15,26.66,42.74,15.052,544
2022-10-02T00:00:00.000Z,7.5,435.17,25.78,19.57,34.38,35.472,458
2022-10-03T00:00:00.000Z,13.8,200.9,35.02,29.48,47.92,15.453,450
2022-10-04T00:00:00.000Z,7.05,85.85,36.08,23.77,46.28,14.733,467
2022-10-05T00:00:00.000Z,2.97,57.97,16.25,10.58,23.28,11.089,424
2022-10-06T00:00:00.000Z,3.85,54.65,18.8,13.63,25.74,8.931,549
2022-10-07T00:00:00.000Z,3.05,89.85,17.92,14.15,24.7,9.173,555
2022-10-08T00:00:00.000Z,0.3,131.38,7.88,4.67,12.06,10.437,561
2022-10-09T00:00:00.000Z,1.8,103.03,9.73,6.45,13.32,9.361,563
2022-10-10T00:00:00.000Z,2,60.58,13.67,8.77,18.98,7.935,560
2022-10-11T00:00:00.000Z,17.32,246.52,34.94,29.26,45.53,22.975,556
2022-10-12T00:00:00.000Z,8.93,143.44,28.42,22.3,39.72,15.43,558
2022-10-13T00:00:00.000Z,6.47,203.63,19.91,15.48,28.73,22.246,554
2022-10-14T00:00:00.000Z,8.55,96.18,21.55,16.42,28.09,9.722,545
2022-10-15T00:00:00.000Z,6.93,70.5,19.95,15.2,27.25,9.841,555
2022-10-16T00:00:00.000Z,6.2,135.72,17.14,13.82,21.13,9.314,434
2022-10-17T00:00:00.000Z,6.15,254.07,20.07,14.85,32.03,18.123,554
2022-10-18T00:00:00.000Z,5.7,201.95,24.25,12.52,38.63,24.13,394
2022-10-21T00:00:00.000Z,4.22,90.45,18.52,13.2,25.07,9.468,545
2022-10-22T00:00:00.000Z,5.3,1505.25,17.5,12.7,23.08,63.896,558
2022-10-23T00:00:00.000Z,6.57,72.25,14.48,12.19,17.38,6.208,244
2022-10-24T00:00:00.000Z,5.53,1787.4,21.85,14.75,30.35,109.453,267
2022-10-25T00:00:00.000Z,4.32,152.18,14.65,11.13,19.86,9.574,552
2022-10-26T00:00:00.000Z,2.38,262.83,11.2,7.28,18.76,16.012,549
2022-10-27T00:00:00.000Z,3.8,442.3,14.13,10.68,19.57,29.029,546
2022-10-28T00:00:00.000Z,4.53,137.63,15.95,11.04,24.55,13.89,537
2022-10-29T00:00:00.000Z,1.98,358.27,22.15,17.75,27.19,20.91,481
2022-10-30T00:00:00.000Z,1,248.43,9.64,6.04,16.05,31.546,556
2022-10-31T00:00:00.000Z,3.28,50.03,11.7,9.3,15.35,5.019,555
2022-11-01T00:00:00.000Z,0.25,1658.75,12.14,7.02,17.48,83.011,548
2022-11-02T00:00:00.000Z,4.22,48.13,19.55,13.97,25.33,7.762,548
2022-11-03T00:00:00.000Z,12.8,79.13,28.27,22.35,33.96,9.336,548
2022-11-04T00:00:00.000Z,18.82,265.75,34.58,28.98,48.8,20.758,546
2022-11-05T00:00:00.000Z,13.63,118.85,27.33,22.6,38.95,14.533,544
2022-11-06T00:00:00.000Z,10.35,351.42,22.33,17.94,30.07,19.851,549
2022-11-07T00:00:00.000Z,11.3,337.58,24.13,19.67,32.95,26.166,562
2022-11-08T00:00:00.000Z,14.5,89.38,29.95,23.54,43.95,14.164,549
2022-11-09T00:00:00.000Z,5.72,143.18,24.99,19.85,32.79,14.839,556
2022-11-10T00:00:00.000Z,5.68,125.78,16.3,11.44,30.97,12.879,556
2022-11-11T00:00:00.000Z,2.52,62.83,15.6,9.68,25.85,9.382,547
2022-11-12T00:00:00.000Z,1.14,141.22,6.95,4.76,10.57,9.512,557
