# Sensor Colegios MCC1, Concepcion, Chile (Purple Air/175997)
# https://aqicn.org/station/@405322/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-06-26T00:00:00.000Z,4,4,4,4,4,0,1
2023-06-27T00:00:00.000Z,0,7.2,1.7,0.3,2.7,1.361,354
2023-06-28T00:00:00.000Z,1.2,3.2,2.7,2.4,2.9,0.413,71
2023-07-04T00:00:00.000Z,5,9.6,6.1,5.8,6.4,1.128,11
2023-07-28T00:00:00.000Z,48.3,48.3,48.3,48.3,48.3,0,1
2023-07-31T00:00:00.000Z,3.3,80.7,25.35,10.6,33.85,13.493,308
2023-08-01T00:00:00.000Z,4.1,291.3,21.6,11.85,30.2,31.365,645
2023-08-02T00:00:00.000Z,2.5,333.3,37.9,14.3,82.05,62.805,656
2023-08-03T00:00:00.000Z,15.3,508.8,85.7,36.2,206.8,125.22,641
2023-08-04T00:00:00.000Z,9.5,731.3,83.65,35.4,235.45,185.165,668
2023-08-05T00:00:00.000Z,14.9,810.2,41.9,31.15,240.85,203.162,613
2023-08-06T00:00:00.000Z,9.7,430,46.9,30.4,61,60.28,651
2023-08-07T00:00:00.000Z,14,554,97.8,38.4,204.6,127.605,652
2023-08-08T00:00:00.000Z,32,420.4,63.55,49.9,98.8,78.266,550
