# Sensor Collao 3, Concepcion, Chile (Coalition for Clean Air | CCA California/3)
# https://aqicn.org/station/@133057/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-08-07T00:00:00.000Z,27.58,296.23,35.97,32.03,53.02,69.215,117
2020-08-08T00:00:00.000Z,9.4,1084.19,153.75,81.28,351.28,167.241,627
2020-08-09T00:00:00.000Z,9.35,1428.87,159.37,62.91,388.6,198.303,625
2020-08-10T00:00:00.000Z,7.43,493.74,70.8,24.04,186.06,115.231,627
2020-08-11T00:00:00.000Z,7.51,343.56,97.03,26.9,187.83,87.412,633
2020-08-12T00:00:00.000Z,9.38,1332.63,88.59,40.88,317.14,238.522,628
2020-08-13T00:00:00.000Z,27.84,1652.23,108.97,76.86,292.7,183.639,620
2020-08-14T00:00:00.000Z,4.55,297.69,39.09,19.04,73.53,33.647,631
2020-08-15T00:00:00.000Z,13.12,437.96,51.86,35.2,156.3,107.072,627
2020-08-16T00:00:00.000Z,14.51,3076.29,184.05,57.35,354.5,437.06,623
2020-08-17T00:00:00.000Z,6.14,481.27,68.7,32.29,160.07,140.256,628
2020-08-18T00:00:00.000Z,8.93,2407.35,75.65,32.82,265.85,258.945,595
