# Sensor Fondecyt 11190349 Sensor 44, Las Condes, Chile (Purple Air/46813)
# https://aqicn.org/station/@214660/
# Daily met.h
date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,35,47,41,39,43,2.679,156
2022-05-29T00:00:00.000Z,20,46,35,31,37,5.868,212
2022-05-30T00:00:00.000Z,18,37,30,22,34,6.219,98
2022-05-31T00:00:00.000Z,19,35,31,26,32,4.303,103
2022-06-01T00:00:00.000Z,25,43,34,31,39,4.886,110
2022-06-02T00:00:00.000Z,41,73,62.5,48,66,9.775,210
2022-06-03T00:00:00.000Z,40,75,59,51,68,9.724,206
2022-06-04T00:00:00.000Z,26,74,58,48,69,13.188,235
2022-06-05T00:00:00.000Z,20,58,43,31,51,10.87,222
2022-06-06T00:00:00.000Z,21,54,43,37,47,7.707,290
2022-06-07T00:00:00.000Z,30,77,42,39,45,9.463,168
2022-06-08T00:00:00.000Z,30,50,41,36,45,5.335,115
2022-06-09T00:00:00.000Z,30,66,49,43.5,53,8.261,156
2022-06-10T00:00:00.000Z,13,51,33,25,41,10.174,224
2022-06-11T00:00:00.000Z,14,39,28,21,31,6.667,201
2022-06-12T00:00:00.000Z,18,49,39,31.5,44,8.08,277
2022-06-13T00:00:00.000Z,30,54,43,40,47,5.048,221
2022-06-14T00:00:00.000Z,37,64,54,50,57,5.957,257
2022-06-15T00:00:00.000Z,31,52,43,40,46,4.867,129
2022-06-16T00:00:00.000Z,38,58,47,43,53,5.509,115
2022-06-17T00:00:00.000Z,27,57,40,35,42.5,6.077,164
2022-06-18T00:00:00.000Z,23,40,35,28,37,4.622,175
2022-06-19T00:00:00.000Z,29,43,37,33,39,3.433,223
2022-06-20T00:00:00.000Z,35,45,39,38,41,2.342,176
2022-06-21T00:00:00.000Z,38,53,45,41,48,4.265,141
2022-06-22T00:00:00.000Z,37,55,48,45,51,4.528,214
2022-06-23T00:00:00.000Z,42,66,55.5,49,61,6.996,222
2022-06-24T00:00:00.000Z,37,52,45,41,48,3.878,170
2022-06-25T00:00:00.000Z,24,50,36,31,44,7.007,130
2022-06-26T00:00:00.000Z,38,45,41,40,43,1.881,92
2022-06-27T00:00:00.000Z,31,54,40,36,46,5.707,170
2022-06-28T00:00:00.000Z,15,50,37,29,42,9.019,202
2022-06-29T00:00:00.000Z,19,40,33,24,36,6.054,145
2022-06-30T00:00:00.000Z,20,44,33,29,39,6.139,148
2022-07-01T00:00:00.000Z,27,68,50,47,57,8.3,306
2022-07-02T00:00:00.000Z,28,53,44,39,47,6.212,143
2022-07-03T00:00:00.000Z,42,52,45,44,47,2.256,97
2022-07-04T00:00:00.000Z,22,51,38,29,43,8.463,128
2022-07-05T00:00:00.000Z,22,45,36,26.5,38,6.187,113
2022-07-06T00:00:00.000Z,40,60,50,44,53,4.968,147
2022-07-07T00:00:00.000Z,43,53,49,47,52,2.785,60
2022-07-08T00:00:00.000Z,34,63,49,43,54,6.609,166
2022-07-09T00:00:00.000Z,44,72,57,54,60,5.591,238
2022-07-10T00:00:00.000Z,51,67,61,59,62.5,2.928,221
2022-07-11T00:00:00.000Z,46,64,57,53,59,4.233,140
2022-07-12T00:00:00.000Z,24,53,43,36,46,7.832,173
2022-07-13T00:00:00.000Z,38,53,46,45,48,3.324,90
2022-07-14T00:00:00.000Z,38,68,55,48.5,58,6.985,204
2022-07-15T00:00:00.000Z,48,62,55,52,57,3.385,192
2022-07-16T00:00:00.000Z,23,62,45,36,55,10.954,171
2022-07-17T00:00:00.000Z,29,44,38,35,40,3.251,164
2022-07-18T00:00:00.000Z,17,51,42,29,46.5,10.278,225
2022-07-19T00:00:00.000Z,15,45,28,21,37.5,8.848,125
2022-07-20T00:00:00.000Z,21,46,38,31,39,6.179,148
2022-07-21T00:00:00.000Z,20,50,38,27,46,9.42,156
2022-07-22T00:00:00.000Z,18,41,32,24,38,7.177,161
2022-07-23T00:00:00.000Z,25,50,42,38,44,5.994,162
2022-07-24T00:00:00.000Z,29,61,45,43,47,7.213,169
2022-07-25T00:00:00.000Z,44,66,58,54,61,5.299,264
2022-07-26T00:00:00.000Z,29,55,49,46,52,6.797,194
2022-07-27T00:00:00.000Z,47,66,55,53,59,4.027,172
2022-07-28T00:00:00.000Z,27,63,53,44,56,9.288,263
2022-07-29T00:00:00.000Z,13,46,36,25,41,9.714,207
2022-07-30T00:00:00.000Z,40,66,55,45.5,60,7.506,217
2022-07-31T00:00:00.000Z,23,61,51,40,56,11.324,261
2022-08-01T00:00:00.000Z,37,55,46,43,48.5,4.207,129
2022-08-02T00:00:00.000Z,31,60,52,47,54,6.964,221
2022-08-03T00:00:00.000Z,38,54,46,43,49,3.502,177
2022-08-04T00:00:00.000Z,25,53,44,32,48,8.331,151
2022-08-05T00:00:00.000Z,19,41,38,33.5,39,5.523,208
2022-08-06T00:00:00.000Z,36,68,46,41,51,8.447,197
2022-08-07T00:00:00.000Z,31,67,53,47.5,57,7.753,228
2022-08-08T00:00:00.000Z,20,58,43,31,47,10.291,211
2022-08-09T00:00:00.000Z,12,45,36,21,40,10.469,244
2022-08-10T00:00:00.000Z,14,40,29,24,34,6.415,295
2022-08-11T00:00:00.000Z,20,48,35,32,38,5.462,234
2022-08-12T00:00:00.000Z,30,59,49,42,52,7.026,282
2022-08-13T00:00:00.000Z,23,50,39,31,42,6.813,210
2022-08-14T00:00:00.000Z,36,61,44,41,49,5.488,291
2022-08-15T00:00:00.000Z,36,68,51,46,56,7.009,279
2022-08-16T00:00:00.000Z,46,70,54,51,57,4.238,198
2022-08-17T00:00:00.000Z,46,68,61.5,57,64.5,5.628,236
2022-08-18T00:00:00.000Z,21,59,47,30,51,11.239,185
2022-08-19T00:00:00.000Z,12,51,29,22,39,9.791,221
2022-08-20T00:00:00.000Z,15,41,29,24,36,7.187,211
2022-08-21T00:00:00.000Z,19,43,35,30,38,6.605,209
2022-08-22T00:00:00.000Z,36,61,52,47,55,5.863,251
2022-08-23T00:00:00.000Z,28,64,53,42.5,58,9.78,264
2022-08-24T00:00:00.000Z,32,59,47,40,50,6.201,264
2022-08-25T00:00:00.000Z,18,50,39.5,27,46,10.128,236
2022-08-26T00:00:00.000Z,31,48,38,37,40,3.137,210
2022-08-27T00:00:00.000Z,21,59,50.5,37,53,11.327,230
2022-08-28T00:00:00.000Z,9,40,23,14,34,9.671,203
2022-08-29T00:00:00.000Z,16,46,24,21.5,31,6.381,229
2022-08-30T00:00:00.000Z,33,75,50,47,55,7.351,345
2022-08-31T00:00:00.000Z,46,80,55,50,63,7.952,328
2022-09-01T00:00:00.000Z,36,67,56,46,62,9.255,210
2022-09-02T00:00:00.000Z,15,46,36.5,22,39,9.563,192
2022-09-03T00:00:00.000Z,10,40,29,21,35,9.051,258
2022-09-04T00:00:00.000Z,11,36,28,18,31,7.619,220
2022-09-05T00:00:00.000Z,8,37,24,14,30,8.454,216
2022-09-06T00:00:00.000Z,15,38,29,23.5,32,6.019,192
2022-09-07T00:00:00.000Z,22,59,43,38,46,7.842,329
2022-09-08T00:00:00.000Z,35,53,41,40,44,3.453,298
2022-09-09T00:00:00.000Z,18,46,33,24,41,8.647,157
2022-09-10T00:00:00.000Z,23,55,35,31.5,37,7.421,148
2022-09-11T00:00:00.000Z,38,63,50,47,56,6.669,225
2022-09-12T00:00:00.000Z,23,49,41,33,45,7.601,117
