# Sensor Fundo Alhue, Curacaví, Chile (Purple Air/112090)
# https://aqicn.org/station/@227476/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-15T00:00:00.000Z,0.3,8.9,1.7,1.2,5.7,2.826,58
2021-09-16T00:00:00.000Z,0.3,21.6,3,2.1,6.35,5.964,593
2021-09-17T00:00:00.000Z,1.9,28.8,5.6,4.6,9.4,5.885,566
2021-09-18T00:00:00.000Z,9,30.1,19.8,17.1,21.5,4.112,574
2021-09-19T00:00:00.000Z,1.6,23.2,7.9,6.5,10.8,4.736,575
2021-09-20T00:00:00.000Z,0,21.6,2.2,1.3,9.6,6.688,580
2021-09-21T00:00:00.000Z,3.2,23.4,6.5,5.7,8.8,5.04,589
2021-09-22T00:00:00.000Z,2.9,17.9,8.2,5.95,12.4,4.038,517
2021-09-23T00:00:00.000Z,2.7,17.8,6.3,5.3,8.2,3.79,576
2021-09-24T00:00:00.000Z,0.5,26.2,5.4,4.5,6.5,5.511,557
2021-09-25T00:00:00.000Z,1.6,57.9,12.2,5.7,31.8,13.128,582
2021-09-26T00:00:00.000Z,2.1,29.5,6.4,5.4,8.3,4.386,571
2021-09-27T00:00:00.000Z,0.7,14.4,3.6,3.1,4.8,2.288,552
2021-09-28T00:00:00.000Z,0,4.3,1.6,1.1,2.1,0.731,528
2021-09-29T00:00:00.000Z,0,4.2,0.7,0.4,1.1,0.781,500
2021-09-30T00:00:00.000Z,0,1.2,0.1,0,0.1,0.146,107
2021-10-01T00:00:00.000Z,0,8.5,0.2,0.1,0.6,1.052,182
2021-10-02T00:00:00.000Z,0,20.9,0.1,0,0.3,5.439,23
2021-10-03T00:00:00.000Z,0,31.8,0.4,0.1,1.1,1.868,368
2021-10-04T00:00:00.000Z,0,6.2,0.35,0.1,1.7,1.19,466
2021-10-05T00:00:00.000Z,0.1,7,1.1,0.6,2.4,1.392,562
2021-10-06T00:00:00.000Z,0,6.8,1.6,0.8,4.2,1.926,538
2021-10-07T00:00:00.000Z,0.1,63.9,3.2,2.5,4.6,5.514,570
2021-10-08T00:00:00.000Z,0,9.9,2.1,0.2,5.6,2.92,186
2021-10-09T00:00:00.000Z,0,6.1,1,0.3,3.3,1.725,512
2021-10-10T00:00:00.000Z,0,5.3,3.1,2.5,3.7,1.179,476
2021-10-11T00:00:00.000Z,0,28.9,5.6,4.8,6.4,3.772,554
2021-10-12T00:00:00.000Z,0,28.5,16.9,6.2,24.55,9.349,549
2021-10-13T00:00:00.000Z,0,6.4,1,0.2,3.9,1.907,401
2021-10-14T00:00:00.000Z,0,4,0.4,0.1,0.8,0.562,231
2021-10-15T00:00:00.000Z,0,8.6,3.4,0.3,5.3,2.567,163
2021-10-16T00:00:00.000Z,0,11,0.5,0.1,2.8,2.295,371
2021-10-17T00:00:00.000Z,0,8.2,0.3,0.1,1.4,1.721,402
2021-10-18T00:00:00.000Z,0,2.5,0.2,0.1,0.5,0.583,412
2021-10-19T00:00:00.000Z,0,14.4,0.6,0.1,7.05,4.111,484
