# Sensor La Reina, Chile (Purple Air/36051)
# https://aqicn.org/station/@40630/
# Daily met.h
date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,43,53,48,46,51,2.752,99
2022-05-29T00:00:00.000Z,21,52,33,28,44,9.534,110
2022-05-30T00:00:00.000Z,21,48,28,24,42,9.045,135
2022-05-31T00:00:00.000Z,21,45,29,25,39,7.374,104
2022-06-01T00:00:00.000Z,28,48,36,31,41,5.693,117
2022-06-02T00:00:00.000Z,42,60,47,44,55,5.734,115
2022-06-03T00:00:00.000Z,48,63,52,50,55,4.259,125
2022-06-04T00:00:00.000Z,32,63,54,50,61,8.186,191
2022-06-05T00:00:00.000Z,25,56,45,33,51,9.692,200
2022-06-06T00:00:00.000Z,25,54,36,30,49.5,9.784,129
2022-06-07T00:00:00.000Z,33,56,39,35,48,7.192,104
2022-06-08T00:00:00.000Z,33,57,40,36,51,7.554,113
2022-06-09T00:00:00.000Z,34,57,44,38,53,7.692,95
2022-06-10T00:00:00.000Z,18,53,34,23,48,12.117,184
2022-06-11T00:00:00.000Z,16,42,30,20,37,8.45,194
2022-06-12T00:00:00.000Z,22,49,31,26,40,7.808,155
2022-06-13T00:00:00.000Z,25,52,34,29,46,8.479,149
2022-06-14T00:00:00.000Z,38,57,50,44,53,5.483,63
2022-06-15T00:00:00.000Z,34,56,43,38,50.5,6.866,76
2022-06-16T00:00:00.000Z,39,57,46,41,52,5.497,86
2022-06-17T00:00:00.000Z,28,53,35,33,48.5,8.267,109
2022-06-18T00:00:00.000Z,25,49,33,27,41,7.651,135
2022-06-19T00:00:00.000Z,29,49,40.5,32,44,6.086,198
2022-06-20T00:00:00.000Z,33,49,43,38,45,4.232,141
2022-06-21T00:00:00.000Z,40,53,47,43,51,3.866,78
2022-06-22T00:00:00.000Z,35,54,46,40,50,5.519,87
2022-06-23T00:00:00.000Z,48,62,56,52,60,4.379,114
2022-06-24T00:00:00.000Z,44,57,50,47,54,3.77,120
2022-06-25T00:00:00.000Z,29,55,36,33,50,8.953,149
2022-06-26T00:00:00.000Z,41,55,48,44,51,4.085,89
2022-06-27T00:00:00.000Z,29,59,49,35,52,9.382,132
2022-06-28T00:00:00.000Z,21,59,32,27,42,11.385,142
2022-06-29T00:00:00.000Z,22,48,35.5,26,43,8.599,164
2022-06-30T00:00:00.000Z,24,48,31,27,42,7.687,182
2022-07-01T00:00:00.000Z,28,60,50,43,57,8.775,150
2022-07-02T00:00:00.000Z,33,58,41,37,56,8.849,137
2022-07-03T00:00:00.000Z,50,56,53,52,55,1.446,69
2022-07-04T00:00:00.000Z,27,55,34,30,52,10.241,128
2022-07-05T00:00:00.000Z,26,52,31,28.5,43,8.151,113
2022-07-06T00:00:00.000Z,44,57,51,48,53.5,3.607,92
2022-07-07T00:00:00.000Z,35,56,47,39,55,7.383,47
2022-07-08T00:00:00.000Z,38,62,49,42,54,6.302,133
2022-07-09T00:00:00.000Z,37,60,51,46,56,5.899,122
2022-07-10T00:00:00.000Z,55,62,61,60,61.5,1.547,81
2022-07-11T00:00:00.000Z,44,64,56,50,62,6.106,107
2022-07-12T00:00:00.000Z,31,59,42,38,56,9.649,152
2022-07-13T00:00:00.000Z,42,59,52.5,46,55,4.869,82
2022-07-14T00:00:00.000Z,40,63,51,46,59,6.638,151
2022-07-15T00:00:00.000Z,52,59,56,55,57,1.365,78
2022-07-16T00:00:00.000Z,29,60,37,34,50.5,10.131,124
2022-07-17T00:00:00.000Z,36,53,47,43,51,4.429,155
2022-07-18T00:00:00.000Z,22,53,39,28,49,10.463,201
2022-07-19T00:00:00.000Z,21,51,29,25,46,10.685,179
2022-07-20T00:00:00.000Z,25,51,36,27,45,8.894,124
2022-07-21T00:00:00.000Z,26,56,36,30,47.5,9.228,144
2022-07-22T00:00:00.000Z,22,51,28.5,25,40,8.916,146
2022-07-23T00:00:00.000Z,29,53,39,33,48,7.659,137
2022-07-24T00:00:00.000Z,35,59,48.5,40,54,7.069,106
2022-07-25T00:00:00.000Z,45,63,55,48,61,6.451,83
2022-07-26T00:00:00.000Z,33,52,38,35,44.5,5.747,33
2022-07-27T00:00:00.000Z,48,60,55,53,58,3.155,74
2022-07-28T00:00:00.000Z,32,58,41,35,54.5,9.219,113
2022-07-29T00:00:00.000Z,16,51,30,21,45,11.441,162
2022-07-30T00:00:00.000Z,45,57,52,49,55,3.407,66
2022-07-31T00:00:00.000Z,27,58,40,31.5,53.5,10.197,113
2022-08-01T00:00:00.000Z,40,55,48,43,52,4.946,74
2022-08-02T00:00:00.000Z,35,56,43.5,39,51,6.253,80
2022-08-03T00:00:00.000Z,38,55,43,40,51,5.648,83
2022-08-04T00:00:00.000Z,30,55,36,33,47,7.993,113
2022-08-05T00:00:00.000Z,24,52,32,28,45,9.001,129
2022-08-06T00:00:00.000Z,41,61,48,46,53,5.138,101
2022-08-07T00:00:00.000Z,37,60,48,43,57,7.327,150
2022-08-08T00:00:00.000Z,27,55,34,32,49,9.446,149
2022-08-09T00:00:00.000Z,15,49,23,18,43.5,12.156,196
2022-08-10T00:00:00.000Z,18,42,30,22,38,8.141,190
2022-08-11T00:00:00.000Z,20,50,29,26,39,8.494,149
