# Sensor Maestra Lidia Torres, Recoleta, Chile (Citizen Science project sensor.community/34060)
# https://aqicn.org/station/@76147/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,8.03,48.46,16.94,14.05,20.68,7.599,311
2019-12-10T00:00:00.000Z,4.13,57.96,13.55,9.86,19.8,8.525,407
2019-12-11T00:00:00.000Z,5.05,85.44,13.69,10.39,20.02,8.714,415
2019-12-12T00:00:00.000Z,3.67,50.86,11.01,8.56,14.56,6.173,482
2019-12-13T00:00:00.000Z,8.3,28.51,11.68,10.34,13.52,4.333,43
2020-01-02T00:00:00.000Z,7.45,49.2,17.07,14.2,22.1,6.361,499
2020-01-03T00:00:00.000Z,11.12,84.58,20.25,18.05,23.6,7.609,539
2020-01-04T00:00:00.000Z,7.06,150.01,19.39,15.71,23.91,16.713,549
2020-01-05T00:00:00.000Z,6.74,38.15,20.26,15.32,24.89,6.301,556
2020-01-06T00:00:00.000Z,12.22,40.82,20.58,17.18,25.87,5.822,513
2020-01-07T00:00:00.000Z,7.41,59.03,13.69,11.45,16.23,6.998,508
2020-01-08T00:00:00.000Z,3.43,36.53,9,6.87,12.41,4.323,504
2020-01-09T00:00:00.000Z,4.2,127.85,9.76,7.93,13.5,10.995,521
2020-01-10T00:00:00.000Z,5.52,40.09,11.75,9.77,15.18,5.793,417
2020-01-11T00:00:00.000Z,6.77,41.86,12.85,10.92,15.35,4.223,528
2020-01-12T00:00:00.000Z,9.03,63.58,13.67,12.1,15.91,5.119,556
2020-01-13T00:00:00.000Z,8.4,170.42,14.73,11.77,18.98,9.73,484
2020-01-14T00:00:00.000Z,8.82,35.54,15.3,13.38,18.5,5.199,439
2020-01-15T00:00:00.000Z,6.18,88.31,14.55,12.54,17.64,5.547,453
2020-01-16T00:00:00.000Z,11.7,69.75,21.74,18.52,25.28,7.149,467
2020-01-17T00:00:00.000Z,15.48,75.81,24.49,21.75,27.66,7.113,462
2020-01-18T00:00:00.000Z,18.05,140.66,27.38,24.31,37.79,13.759,494
2020-01-19T00:00:00.000Z,15.24,38.08,22.86,21.07,25.4,3.506,461
2020-01-20T00:00:00.000Z,14.86,49.16,23.58,21.08,27.14,6.377,359
2020-01-21T00:00:00.000Z,12.08,88.28,19.11,16.88,22.92,6.709,456
2020-01-22T00:00:00.000Z,15.46,23.02,20.04,17.34,21.45,2.275,13
2020-01-23T00:00:00.000Z,7.49,18.82,13.02,11.5,14.68,2.336,82
2020-01-24T00:00:00.000Z,6.44,138.77,12.85,10.19,17.73,9.68,271
2020-01-25T00:00:00.000Z,7.95,46.08,15.15,12.2,18.89,5.834,294
2020-01-26T00:00:00.000Z,6.8,68.42,12.34,10.88,14.4,5.801,307
2020-01-27T00:00:00.000Z,5.31,70.98,12.42,10.46,14.86,6.523,253
2020-01-28T00:00:00.000Z,4.82,51.16,13.12,8.97,18.73,7.299,277
2020-01-29T00:00:00.000Z,3.49,30.88,10.11,7.93,13.92,5.19,308
2020-01-30T00:00:00.000Z,8.09,68.63,14.85,11.87,19.55,7.358,293
2020-01-31T00:00:00.000Z,9.6,92.33,15.85,13.94,19,8.026,284
2020-02-01T00:00:00.000Z,5.35,267.94,13.49,10.47,18.05,16.321,325
2020-02-02T00:00:00.000Z,4.25,222.18,12.32,10.6,14.38,13.913,330
2020-02-03T00:00:00.000Z,1.88,46.25,7.15,4.84,10.38,4.272,318
2020-02-04T00:00:00.000Z,3.85,26.1,9.52,7.34,13.73,4.363,251
2020-02-05T00:00:00.000Z,6.12,48.86,12.61,10.42,15.08,4.13,224
2020-02-06T00:00:00.000Z,4.7,45.02,10.57,7.4,13.62,5.742,234
2020-02-07T00:00:00.000Z,5.43,72.3,10.09,8.31,14.72,7.839,212
2020-02-08T00:00:00.000Z,6.88,52.22,12.05,9.74,15.09,7.069,192
2020-02-09T00:00:00.000Z,4,198.88,11.76,9.55,14.23,18.573,360
2020-02-10T00:00:00.000Z,10.19,279.5,16.37,14.54,19.1,19.761,362
2020-02-11T00:00:00.000Z,9.82,152.13,21.09,18.05,27.52,12.528,364
2020-02-12T00:00:00.000Z,11.36,55.54,22.64,18.14,29.86,9.19,380
2020-02-13T00:00:00.000Z,8.61,57.62,15.17,12.44,20.62,6.058,374
2020-02-14T00:00:00.000Z,11.45,130.72,19.3,16.94,26.18,10.254,381
2020-02-15T00:00:00.000Z,7.9,96.5,17.71,14.91,21.43,10.646,329
2020-02-16T00:00:00.000Z,8.26,94.52,15.07,12.74,17.25,8.087,367
2020-02-17T00:00:00.000Z,4.3,38.03,10.91,8.68,18.44,8.672,341
2020-02-18T00:00:00.000Z,4.96,107.72,12.27,9.6,16.18,7.663,306
2020-02-19T00:00:00.000Z,7.12,84.82,15.16,12,18.48,7.528,447
2020-02-20T00:00:00.000Z,13.66,61.64,22.99,19.93,27.55,6.534,498
2020-02-21T00:00:00.000Z,17.57,134.19,34.82,28.82,42.41,12.654,417
2020-02-22T00:00:00.000Z,13.34,118.27,28.66,22.4,38.29,10.535,417
2020-02-23T00:00:00.000Z,9.41,149.9,21.35,18.64,25.62,12.081,447
2020-02-24T00:00:00.000Z,11.35,120.65,25.76,22.08,33.54,12.632,516
2020-02-25T00:00:00.000Z,6.94,99.1,23.38,18.42,31.16,11.307,454
2020-02-26T00:00:00.000Z,9.09,71.18,15.66,13.09,19.17,6.757,390
2020-02-27T00:00:00.000Z,2.89,40.47,13.61,7.91,17.26,6.02,542
2020-02-28T00:00:00.000Z,7.53,120.18,17.05,14.52,23.31,12.221,554
2020-02-29T00:00:00.000Z,18.57,129.3,29.3,26.34,37.97,13.55,565
2020-03-01T00:00:00.000Z,8.15,98.38,23.41,18.6,30.15,10.788,564
2020-03-02T00:00:00.000Z,9.8,66.26,17.02,14.15,27.46,13.396,459
2020-03-03T00:00:00.000Z,11.2,124.6,24.14,18.7,34.79,16.777,422
2020-03-04T00:00:00.000Z,10.74,94.76,23.28,17.43,29.54,11.445,581
2020-03-05T00:00:00.000Z,9.68,179.63,17.7,14.74,24.14,14.175,582
2020-03-06T00:00:00.000Z,9.75,146.47,18.77,16.14,22.72,9.142,586
2020-03-07T00:00:00.000Z,6.73,69.48,24.35,16.75,29.3,9.279,586
2020-03-08T00:00:00.000Z,3.76,52.9,10.62,8.93,14.09,6.322,587
2020-03-09T00:00:00.000Z,7.88,63.68,16.34,14.05,20.75,7.853,575
2020-03-10T00:00:00.000Z,11.72,33.61,18.55,14.49,21.67,5.128,25
2020-12-13T00:00:00.000Z,1.6,12.45,5.42,3.55,6.73,2.433,84
2020-12-14T00:00:00.000Z,1.88,69.18,8.5,5.97,11.77,7.438,282
2020-12-15T00:00:00.000Z,2.8,66.87,9.19,6.62,13.51,6.887,308
2020-12-16T00:00:00.000Z,4.78,25,11.44,9.4,14.7,4.166,310
2020-12-17T00:00:00.000Z,1.88,146.97,13.7,7.38,18.72,13.115,276
