# Sensor Pedro de Valdivia, Concepción, Concepcion, Chile (Purple Air/61975)
# https://aqicn.org/station/@136930/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-08-25T00:00:00.000Z,0.69,425.38,8.23,4.99,15.21,48.394,493
2020-08-26T00:00:00.000Z,0.83,112.28,5.61,2.91,8.83,8.763,506
2020-08-27T00:00:00.000Z,2.42,82.36,15.13,10.96,24.99,19.13,566
2020-08-28T00:00:00.000Z,0.88,68.93,10.57,6.14,36.52,19.755,522
2020-08-29T00:00:00.000Z,2.27,161.74,16.51,6.03,35.61,22.398,513
2020-08-30T00:00:00.000Z,2.04,410.07,15.55,6.72,26.08,32.786,509
2020-08-31T00:00:00.000Z,6.55,60.76,21.16,15.24,24.02,7.77,499
2020-09-01T00:00:00.000Z,16.55,69.48,38.67,32.54,43.72,9.461,528
2020-09-02T00:00:00.000Z,16.42,71.17,42.01,27.72,51.2,13.666,500
2020-09-03T00:00:00.000Z,8.16,361.12,37.04,21.25,71.61,65.211,489
2020-09-04T00:00:00.000Z,5.33,121.41,28.62,12.22,38.15,19.684,473
2020-09-05T00:00:00.000Z,6.8,74.11,29.25,16.29,43.93,17.58,497
2020-09-06T00:00:00.000Z,10.37,851.79,37.86,20.04,62.72,98.718,498
2020-09-07T00:00:00.000Z,14.92,192.93,31.17,22.79,68.2,38.974,475
2020-09-08T00:00:00.000Z,5.96,65.15,19.27,9.34,35.07,16.92,412
2020-09-09T00:00:00.000Z,11.94,82.97,43.79,25.7,64.64,20.999,383
2020-09-10T00:00:00.000Z,1.4,117.84,14.36,6.29,30.95,21.753,398
2020-09-11T00:00:00.000Z,2.78,154.15,12.44,7.58,21.52,15.371,347
2020-09-12T00:00:00.000Z,4.65,30.74,14.05,9.55,19.68,6.899,322
2020-09-13T00:00:00.000Z,2.91,894,11.97,5.52,24.53,84.167,377
2020-09-14T00:00:00.000Z,3.95,100.09,11.72,8.66,19.55,9.682,336
2020-09-15T00:00:00.000Z,19.44,86.21,36.86,27.63,49.63,17.159,333
2020-09-16T00:00:00.000Z,6.64,68.25,25.11,15.56,34.2,11.584,420
2020-09-17T00:00:00.000Z,2.9,39.46,14.19,7.49,19.8,7.549,357
2020-09-18T00:00:00.000Z,2.59,224.07,15.36,8.46,23.32,17.085,352
2020-09-19T00:00:00.000Z,0.19,141.6,3.82,2.11,7.02,12.296,436
2020-09-20T00:00:00.000Z,0.98,263.13,6.83,2.62,10.54,21.628,417
2020-09-21T00:00:00.000Z,12.53,166.4,34.22,25.13,52.21,28.938,396
2020-09-22T00:00:00.000Z,5.5,213.07,23.87,15.16,40.29,22.679,419
2020-09-23T00:00:00.000Z,6.84,285.76,15.36,12.68,19.57,45.538,460
2020-09-24T00:00:00.000Z,14.27,43.92,25.09,18.82,31.64,7.039,461
2020-09-25T00:00:00.000Z,5.17,32.56,9.38,7.45,14.14,7.139,464
2020-09-26T00:00:00.000Z,5.04,59.23,15.95,11.28,21.85,8.797,488
2020-09-27T00:00:00.000Z,6.2,41.9,22.21,15.47,28.5,8.95,495
2020-09-28T00:00:00.000Z,3.74,68.06,21.22,18.76,24.75,10.783,456
2020-09-29T00:00:00.000Z,1.02,67.73,5.2,3.26,13.18,14.128,445
2020-09-30T00:00:00.000Z,0.66,13.2,6.14,3.48,9.01,3.294,395
2020-10-01T00:00:00.000Z,1.04,121.59,6.94,2.83,20.56,21.288,321
2020-10-02T00:00:00.000Z,1.1,20.83,7.97,3.71,12.01,4.944,286
2020-10-03T00:00:00.000Z,2.4,48.9,9.03,5.56,11.32,8.471,292
2020-10-04T00:00:00.000Z,4.09,729.68,15.57,9.78,23.69,79.6,287
2020-10-05T00:00:00.000Z,2.49,48.18,9.21,5.71,15.86,7.613,302
2020-10-06T00:00:00.000Z,2.38,43.54,9.21,5.31,16.13,8.247,332
2020-10-07T00:00:00.000Z,0.65,164.99,16.8,4.96,29.4,32.246,321
2020-10-08T00:00:00.000Z,1.89,57.59,14.51,6.71,18.98,10.223,320
2020-10-09T00:00:00.000Z,1.71,77.16,8.5,5.66,9.86,7.789,367
2020-10-10T00:00:00.000Z,0.98,141.44,2.79,2.09,7.85,22.717,412
2020-10-11T00:00:00.000Z,2.62,137.3,8.02,3.96,16.91,13.778,415
2020-10-12T00:00:00.000Z,4.63,82.23,16.85,12.06,28.49,13.239,381
2020-10-13T00:00:00.000Z,3.63,62.05,20.42,8.69,27.03,10.721,410
2020-10-14T00:00:00.000Z,2.87,42.6,10.7,6.17,12.91,5.866,420
2020-10-15T00:00:00.000Z,9.63,45.59,22.16,18.23,25.91,6.862,409
2020-10-16T00:00:00.000Z,4.26,30.54,16.01,8.88,21.48,6.98,408
2020-10-17T00:00:00.000Z,4.47,22.12,12.1,8.26,13.83,3.571,424
2020-10-18T00:00:00.000Z,1.76,296.31,11.32,6.86,30.05,23.298,396
2020-10-19T00:00:00.000Z,0.13,43.16,5.13,1.83,8.24,6.087,404
2020-10-20T00:00:00.000Z,1.98,16.48,6.88,5.5,10.41,3.132,406
2020-10-21T00:00:00.000Z,2.81,51.23,7.44,5.66,13.05,8.103,391
2020-10-22T00:00:00.000Z,3.87,37.88,11.8,7.1,19.82,7.899,413
2020-10-23T00:00:00.000Z,0.91,233.58,16.72,6.27,22.72,42.226,361
2020-10-24T00:00:00.000Z,2.11,39.04,8.13,5.96,15.43,7.965,392
2020-10-25T00:00:00.000Z,0.59,26.93,3.58,1.88,8.76,6.826,506
2020-10-26T00:00:00.000Z,0.97,14.7,5.65,3.49,8.96,3.393,463
2020-10-27T00:00:00.000Z,1.13,19.39,3.86,2.54,9.17,4.326,408
2020-10-28T00:00:00.000Z,0.37,209.15,3.78,2.54,6.8,19.965,418
2020-10-29T00:00:00.000Z,1.41,65.56,5.51,2.83,9.09,10.477,430
2020-10-30T00:00:00.000Z,5.16,699.4,15.05,12.02,25.16,51.121,445
2020-10-31T00:00:00.000Z,8.9,185.44,28.63,16.94,46.96,36.857,411
2020-11-01T00:00:00.000Z,6.08,555.65,13.56,10.57,25.15,60.76,464
2020-11-02T00:00:00.000Z,8.44,63.98,19.42,12.65,24.32,9.192,441
2020-11-03T00:00:00.000Z,8.76,58.83,25.85,21.43,37.88,10.904,440
2020-11-04T00:00:00.000Z,1.01,171.69,9.15,3.94,27.55,23.261,327
2020-11-05T00:00:00.000Z,1.04,17.39,3.78,3.08,4.59,2.412,319
2020-11-06T00:00:00.000Z,3.21,38.77,5.86,4.84,7.36,6.03,313
2020-11-07T00:00:00.000Z,3.83,124.84,10.43,6.35,32.24,23.231,344
2020-11-08T00:00:00.000Z,4.65,78.09,8.05,6.89,10.22,5.557,295
2020-11-09T00:00:00.000Z,4.13,17.45,8.3,6.5,9.84,2.465,240
2020-11-10T00:00:00.000Z,5.7,36.31,10.96,8.58,14.05,4.516,283
2020-11-11T00:00:00.000Z,2.65,113.61,10.97,6.4,14.8,12.408,298
2020-11-12T00:00:00.000Z,2.31,33.39,8.55,7.55,11.9,5.032,246
2020-11-13T00:00:00.000Z,0.32,31.43,5.03,1.97,6.86,5.423,242
2020-11-14T00:00:00.000Z,0.3,279.35,2.52,1.54,5.21,37.228,314
2020-11-15T00:00:00.000Z,1.84,66.02,6.39,3.53,8.75,11.295,255
2020-11-16T00:00:00.000Z,2.96,36.43,7.84,5.76,9,3.619,252
2020-11-17T00:00:00.000Z,3.29,88.28,10.42,5.55,15.24,9.481,252
2020-11-20T00:00:00.000Z,1.41,12.39,2.49,1.97,2.99,2.845,31
2020-11-21T00:00:00.000Z,0.57,41.88,5.73,2.49,9.13,8.83,270
2020-11-22T00:00:00.000Z,0.32,119.09,3.24,1.87,5.52,17.043,272
2020-11-23T00:00:00.000Z,0.32,75.13,2.31,1.36,5.12,11.199,241
2020-11-24T00:00:00.000Z,1.18,30.32,2.45,1.89,4.13,3.445,268
2020-11-25T00:00:00.000Z,0.42,336.76,2.66,2.21,3.18,31.212,281
2020-11-26T00:00:00.000Z,1.11,168.38,4,2.5,5.6,16.943,243
2020-11-27T00:00:00.000Z,0.36,18.69,8.49,2.17,12.18,5.109,237
2020-11-28T00:00:00.000Z,0.34,13.29,2.86,1.91,3.43,2.238,258
2020-11-29T00:00:00.000Z,0.24,16.8,3.64,2.11,6.56,2.911,246
2020-11-30T00:00:00.000Z,0.71,12.71,2.86,1.72,4.12,1.996,231
2020-12-01T00:00:00.000Z,1.45,91.7,7.3,3.37,10.95,10.05,223
2020-12-02T00:00:00.000Z,1.52,126.27,3.48,2.52,7.56,10.47,274
2020-12-03T00:00:00.000Z,0.8,127.11,5.73,3.13,8.84,13.691,233
2020-12-04T00:00:00.000Z,2.25,126.75,6.38,4.84,11.35,15.256,227
2020-12-05T00:00:00.000Z,4.33,14.83,9.93,7.99,11.6,2.067,244
2020-12-06T00:00:00.000Z,5.51,18.75,12.52,9.27,14.78,3.226,298
2020-12-07T00:00:00.000Z,0.65,31.35,8.44,4.59,10.11,3.979,252
2020-12-08T00:00:00.000Z,1.99,10.28,4.8,3.86,5.91,1.603,228
