# Sensor S1_CCP, Concepcion, Chile (Purple Air/99747)
# https://aqicn.org/station/@210790/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,4.2,19.5,13.4,9.1,15.3,3.617,394
2022-02-02T00:00:00.000Z,5,37.3,12.5,7.7,14.1,3.58,613
2022-02-03T00:00:00.000Z,1.6,52.1,10,7,22.6,9.063,608
2022-02-04T00:00:00.000Z,0,15.6,5.6,1.8,10.3,4.432,596
2022-02-05T00:00:00.000Z,1.5,37.4,5.6,3.7,7.9,4.114,590
2022-02-06T00:00:00.000Z,2.1,370,11.9,8.4,17,31.914,619
2022-02-07T00:00:00.000Z,2.5,40.5,8.19,5.8,10.9,3.526,587
2022-02-08T00:00:00.000Z,1,33.2,9.4,4,16.2,8.256,585
2022-02-09T00:00:00.000Z,0.6,34.5,7.3,4.9,10.8,5.234,595
2022-02-10T00:00:00.000Z,3.3,41.9,17.8,10.45,21.95,8.497,612
2022-02-11T00:00:00.000Z,4,44,32.2,10,40.5,14.368,609
2022-02-12T00:00:00.000Z,7.8,46,16.39,12.1,36.4,12.269,603
2022-02-13T00:00:00.000Z,4.1,128.9,25.05,9.5,33.1,14.614,590
2022-02-14T00:00:00.000Z,3.4,20.4,7.3,5.6,9.7,3.349,591
2022-02-15T00:00:00.000Z,0.9,44.6,14,7.9,18.1,7.006,604
2022-02-16T00:00:00.000Z,3.6,31.4,14.6,8.9,20.1,6.593,614
2022-02-17T00:00:00.000Z,1.3,126.2,16.55,3.4,35.4,26.325,600
2022-02-18T00:00:00.000Z,0.8,85,6.2,2.7,14.3,17.677,587
2022-02-19T00:00:00.000Z,0.1,83.9,21.6,2.4,43.6,21.395,577
2022-02-20T00:00:00.000Z,0.1,29.7,2.75,1.1,5.1,3.598,546
2022-02-21T00:00:00.000Z,3.6,95.5,22.2,16.4,25.5,13.475,600
2022-02-22T00:00:00.000Z,2.6,65.9,15.6,6.2,22.6,9.119,589
2022-02-23T00:00:00.000Z,3.1,25.3,10.8,8.2,13.4,4.103,595
2022-02-24T00:00:00.000Z,3.8,39.7,10.6,7.6,14.6,4.472,603
2022-02-25T00:00:00.000Z,4.4,67.6,22.15,18.9,25.7,13.242,602
2022-02-26T00:00:00.000Z,25,249.5,29.4,27.9,31.6,17.556,477
2022-02-27T00:00:00.000Z,21.8,119.7,42.1,27.2,104.9,38.147,519
2022-02-28T00:00:00.000Z,0,108.2,59.5,2,67.6,33.521,617
2022-03-01T00:00:00.000Z,0.4,15.4,4,2.4,7.2,2.822,615
2022-03-02T00:00:00.000Z,3.3,146,22.9,14.4,31.6,21.869,626
2022-03-03T00:00:00.000Z,1.9,88.7,25.85,17.3,33.1,16.029,616
2022-03-04T00:00:00.000Z,0.8,21.7,5.5,2.6,8,3.437,587
