# Sensor S1_CPG, Rancagua, Chile (Purple Air/158193)
# https://aqicn.org/station/@367798/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-05T00:00:00.000Z,19.5,27.2,22.2,21,24.4,2.065,23
2023-01-06T00:00:00.000Z,10.4,14.7,12.1,11.5,12.8,0.938,63
2023-01-12T00:00:00.000Z,3.2,6.9,4.65,4.2,5.1,0.66,208
2023-01-13T00:00:00.000Z,3,21.8,7.3,5,10.2,4.054,605
2023-01-14T00:00:00.000Z,1.9,27.1,5.9,4.9,7.1,2.301,621
2023-01-15T00:00:00.000Z,4.8,20.1,9.6,8.4,10.4,2.052,648
2023-01-16T00:00:00.000Z,10.2,33.1,25.45,18.1,29,6.479,654
2023-01-17T00:00:00.000Z,9.1,21.2,12.8,10.7,15.1,2.947,646
2023-01-18T00:00:00.000Z,4.5,18.2,9.3,7.8,11.9,2.835,546
2023-01-19T00:00:00.000Z,7.4,31.9,16,11.1,23.4,6.663,670
2023-01-20T00:00:00.000Z,9.3,34.9,16.39,13.5,22.3,6.681,678
2023-01-21T00:00:00.000Z,5.7,41.1,11.15,9.3,18.1,5.633,666
2023-01-22T00:00:00.000Z,4,103.6,13.1,9.7,20.2,12.372,674
2023-01-23T00:00:00.000Z,4.3,33.2,10.7,8.1,15.9,6.532,334
2023-01-24T00:00:00.000Z,8.2,17.9,11,10.15,14.85,2.637,93
2023-01-25T00:00:00.000Z,3.6,31.3,9.4,7,12.05,4.853,657
2023-01-26T00:00:00.000Z,4,119.2,8,6.7,10.19,7.105,650
2023-01-27T00:00:00.000Z,2.5,86.7,7.5,6.3,9.8,11.185,606
2023-01-28T00:00:00.000Z,2.5,48.1,5.7,4.9,7.4,4.135,314
2023-01-29T00:00:00.000Z,3.6,31.4,10.1,6.4,12.2,4.161,359
2023-01-30T00:00:00.000Z,5,30.6,12.2,8.4,15.9,5.087,606
2023-01-31T00:00:00.000Z,5.1,160.2,9.7,8,11.3,7.177,563
2023-02-01T00:00:00.000Z,6.7,73.9,18.8,11.15,22.1,8.912,300
2023-02-02T00:00:00.000Z,8.2,88.6,12.6,11.3,23.45,13.992,145
2023-08-04T00:00:00.000Z,9.9,93.6,47.85,35.15,57.95,17.457,288
2023-08-05T00:00:00.000Z,28,180.4,56.9,50.5,67,17,676
2023-08-06T00:00:00.000Z,23,185.2,56.6,38.1,81.3,25.658,655
2023-08-07T00:00:00.000Z,8.9,99.8,38.95,25.3,44.95,14.694,644
2023-08-08T00:00:00.000Z,17.7,142.2,48.3,39.95,61.45,17.673,640
2023-08-09T00:00:00.000Z,32.4,192.9,73.5,53.65,89.05,24.835,669
2023-08-10T00:00:00.000Z,1.8,167.6,30.7,8,48.2,25.506,658
2023-08-11T00:00:00.000Z,2.6,85.2,23.2,13.9,34.79,14.31,679
2023-08-12T00:00:00.000Z,2.4,111.7,33.29,25.55,38.54,15.036,661
2023-08-13T00:00:00.000Z,1.5,95.7,34.1,20.9,46.5,18.963,661
2023-08-14T00:00:00.000Z,3,101.8,20.2,10.8,33.9,14.43,643
2023-08-15T00:00:00.000Z,26.4,173.5,41,34.7,47.2,13.982,655
2023-08-16T00:00:00.000Z,23.9,73.8,39.1,35.6,42,5.708,636
2023-08-17T00:00:00.000Z,1.6,127.6,34.5,21.55,48.9,25.976,649
2023-08-18T00:00:00.000Z,8.1,168.9,38,29.8,48.45,26.232,636
2023-08-19T00:00:00.000Z,0.2,119.5,22.8,11.55,47.9,24.126,645
2023-08-20T00:00:00.000Z,0.2,37.7,10.05,2.8,16.8,8.749,646
2023-08-21T00:00:00.000Z,0.5,53.2,8.6,4,21.3,11.622,578
2023-08-22T00:00:00.000Z,0,56.7,2.2,0.8,5.2,7.64,439
2023-08-29T00:00:00.000Z,4.3,43.6,9.7,7.8,15.35,8.308,225
2023-08-30T00:00:00.000Z,5.7,51.9,21.8,10.5,34.4,12.172,490
