# Sensor S2_Cobre, Rancagua, Chile (Purple Air/158155)
# https://aqicn.org/station/@367804/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-05T00:00:00.000Z,20.2,24.7,21.15,20.9,24.2,1.733,6
2023-01-06T00:00:00.000Z,11.3,14.8,12.7,12.2,13.3,0.842,72
2023-01-12T00:00:00.000Z,3.3,6.6,4.6,4.2,5.2,0.639,203
2023-01-13T00:00:00.000Z,2.7,21.4,7.3,4.9,10,4.009,614
2023-01-14T00:00:00.000Z,1.6,26.1,5.6,4.7,6.75,2.271,593
2023-01-15T00:00:00.000Z,4,19.3,9.2,8.2,10,2.049,640
2023-01-16T00:00:00.000Z,10.6,33.1,25.5,18.6,28.4,6.109,646
2023-01-17T00:00:00.000Z,8.9,21.8,11.1,10.3,15.1,2.875,425
2023-01-18T00:00:00.000Z,4.3,16,7.7,6.6,11.8,2.896,251
2023-01-19T00:00:00.000Z,6.8,31.1,15.15,10.45,22.3,6.491,660
2023-01-20T00:00:00.000Z,8.6,34.2,14.8,11.6,20.95,6.822,657
2023-01-21T00:00:00.000Z,5.6,41.3,10.7,8.8,18.25,5.713,649
2023-01-22T00:00:00.000Z,3.8,97.6,12.2,8.9,20,12.406,673
2023-01-23T00:00:00.000Z,4.2,33,11.1,8.15,16,6.482,337
2023-01-24T00:00:00.000Z,9.4,10.9,10.15,9.9,10.4,0.398,30
2023-01-25T00:00:00.000Z,3.7,26.4,7.9,6.15,11,4.509,649
2023-01-26T00:00:00.000Z,3.7,53.1,7.5,6.4,9.6,4.235,652
2023-01-27T00:00:00.000Z,3.1,74.1,7.3,5.9,10.4,10.593,607
2023-01-28T00:00:00.000Z,2.7,38.9,5.8,4.59,8,3.048,640
2023-01-29T00:00:00.000Z,3,188.3,11.6,8.5,14.3,9.472,663
2023-01-30T00:00:00.000Z,4.6,34.8,12.3,8.2,16.6,5.708,645
2023-01-31T00:00:00.000Z,4.3,24.1,9.7,7.7,11.4,2.93,626
2023-02-01T00:00:00.000Z,6.2,201.6,12.9,8.9,20.9,21.532,652
2023-02-02T00:00:00.000Z,8.1,20.2,10.9,9.3,12.3,2.337,71
2023-08-16T00:00:00.000Z,32.8,46.2,37.4,36.15,38.95,2.394,188
2023-08-17T00:00:00.000Z,3.2,196.4,34.5,19.14,49.8,23.364,657
2023-08-18T00:00:00.000Z,17.9,174.2,44.7,34.4,62.75,28.4,657
2023-08-19T00:00:00.000Z,2.5,139.6,11.75,7.8,53.9,31.464,642
