# Sensor S3_JMB, Rancagua, Chile (Purple Air/158149)
# https://aqicn.org/station/@368275/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-12T00:00:00.000Z,2.9,5.7,4.1,3.7,4.7,0.596,199
2023-01-13T00:00:00.000Z,2.8,20.2,6.7,4.6,9.5,3.783,599
2023-01-14T00:00:00.000Z,1.5,25,5.4,4.4,6.6,2.23,617
2023-01-15T00:00:00.000Z,3.7,18.6,8.9,7.9,9.8,1.921,637
2023-01-16T00:00:00.000Z,14.7,32.1,26.8,25,30.15,3.304,365
2023-01-18T00:00:00.000Z,4.4,17.5,8,6.5,11.55,2.797,249
2023-01-19T00:00:00.000Z,6.9,31.2,14.75,10.3,22.1,6.465,678
2023-01-20T00:00:00.000Z,8.5,36.4,14.6,11.5,20.9,6.926,651
2023-01-21T00:00:00.000Z,5.6,41.6,10.19,8.6,17.3,5.514,651
2023-01-22T00:00:00.000Z,3.4,97.2,12.2,9,19,12.321,670
2023-01-23T00:00:00.000Z,3.8,32.9,10,7.3,15,6.575,329
2023-01-24T00:00:00.000Z,9.8,14.3,11.15,10.5,12.1,1.176,38
2023-01-25T00:00:00.000Z,3.4,43.9,8.1,6.2,11,5.06,666
2023-01-26T00:00:00.000Z,4.2,38.4,8,6.6,10.3,4.042,652
2023-01-27T00:00:00.000Z,5.1,9.2,7.6,6.2,8.35,1.222,24
2023-01-28T00:00:00.000Z,4.2,16.2,6.3,5.4,7.65,2.6,149
2023-01-29T00:00:00.000Z,4.1,24,14.05,5.45,16.6,5.731,76
2023-07-25T00:00:00.000Z,10.1,62.3,38.1,24.25,43.8,12.965,261
2023-07-26T00:00:00.000Z,19,87.6,38.1,31.9,41.1,9.454,638
2023-07-27T00:00:00.000Z,11.3,158.9,48.2,32.5,66.8,29.404,635
2023-07-28T00:00:00.000Z,13.4,154.5,55.6,37.1,87.4,30.544,641
2023-07-29T00:00:00.000Z,13.9,273.8,84.5,43.4,145.19,55.551,653
2023-07-30T00:00:00.000Z,26.8,258,81.5,56.25,108.45,32.887,656
2023-07-31T00:00:00.000Z,24.6,238.1,67.6,46.5,124.4,54.973,656
2023-08-01T00:00:00.000Z,9.6,134.6,49.3,37.8,55.7,17.931,586
2023-08-02T00:00:00.000Z,5.4,76.8,44.7,34.3,48.9,15.083,640
2023-08-03T00:00:00.000Z,10.5,101.3,56.2,36.3,67.09,21.198,638
2023-08-04T00:00:00.000Z,9.3,128.8,60.9,45.3,76.2,21.632,643
2023-08-05T00:00:00.000Z,47.4,177.4,65.9,57.1,95.7,32.801,670
2023-08-06T00:00:00.000Z,16.3,150.1,73.9,30.9,81.95,26.537,669
2023-08-07T00:00:00.000Z,34.4,110.7,57.45,45.4,63.7,11.77,598
2023-08-08T00:00:00.000Z,20.2,132.9,68.65,44.9,90.25,25.034,636
2023-08-09T00:00:00.000Z,59.6,126.4,89.55,81.9,94.9,10.758,656
2023-08-10T00:00:00.000Z,0.4,125,16.2,3.8,47.4,26.641,619
2023-08-11T00:00:00.000Z,3.9,100.2,26.7,17.39,37.4,16.705,656
2023-08-12T00:00:00.000Z,4.5,76.9,34.7,21.55,41.85,14.334,676
2023-08-13T00:00:00.000Z,4.2,152.9,44.5,23.6,64.09,22.942,671
2023-08-14T00:00:00.000Z,8.8,122.9,44.3,23.7,59.1,24.412,639
2023-08-15T00:00:00.000Z,24.8,87.7,42.1,37.3,45.7,6.189,636
2023-08-16T00:00:00.000Z,26.4,70.8,39.25,36.4,43.1,4.793,662
2023-08-17T00:00:00.000Z,1.2,116.3,35.79,15.2,47.3,21.673,603
2023-08-18T00:00:00.000Z,16.4,140.3,46.7,34.2,56.8,20.66,639
2023-08-19T00:00:00.000Z,0.7,91.8,12.95,6.4,56.7,28.024,608
