# Sensor S4_LSR, Rancagua, Chile (Purple Air/158157)
# https://aqicn.org/station/@368278/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-12T00:00:00.000Z,3.2,6,4.3,3.9,4.7,0.567,195
2023-01-13T00:00:00.000Z,2.5,21.3,7.3,5,10.2,3.913,638
2023-01-14T00:00:00.000Z,1.9,25.8,5.8,4.7,6.8,2.303,641
2023-01-15T00:00:00.000Z,4.5,19.1,9.3,8.3,10,1.964,646
2023-01-16T00:00:00.000Z,10.7,32.5,25.2,18.1,28,6.063,663
2023-01-17T00:00:00.000Z,8.8,20.8,12.6,10.5,15,2.92,647
2023-01-18T00:00:00.000Z,4.7,18.6,9.1,7.5,11.3,2.856,586
2023-01-19T00:00:00.000Z,6.8,30.3,14.7,10.6,22.4,6.425,672
2023-01-20T00:00:00.000Z,8,36,15.5,11.8,21.6,6.909,662
2023-01-21T00:00:00.000Z,5.9,42,10.6,8.9,18,5.744,653
2023-01-22T00:00:00.000Z,3.8,96.9,12.5,9,19.8,12.397,678
2023-01-23T00:00:00.000Z,4,34.6,11.2,8.25,16.25,6.553,332
2023-01-24T00:00:00.000Z,9.5,12.8,10.15,9.8,10.9,0.952,10
2023-01-25T00:00:00.000Z,4.4,37.3,8.3,6.8,12.6,5.581,649
2023-01-26T00:00:00.000Z,4.3,48.7,8.19,6.6,10.25,5.468,645
2023-01-27T00:00:00.000Z,3.8,86.1,7,5.8,10.19,8.597,641
2023-01-28T00:00:00.000Z,2.8,29.7,6.1,4.9,7.7,2.647,627
2023-01-29T00:00:00.000Z,3.4,24.1,10.4,8.6,12.7,3.922,649
2023-01-30T00:00:00.000Z,4.2,20.7,12.9,8.4,15,3.723,653
2023-01-31T00:00:00.000Z,4.4,39.5,10.5,7.3,12.5,4.384,618
2023-02-01T00:00:00.000Z,6.3,33.3,14.1,9,19.7,5.82,594
2023-07-25T00:00:00.000Z,16.1,48.8,31.2,20.7,39.5,9.878,162
2023-07-26T00:00:00.000Z,25.9,158,42.2,38.45,49.2,19.735,604
2023-07-27T00:00:00.000Z,10.6,175.5,62.5,40,87.55,34.009,617
2023-07-28T00:00:00.000Z,20.9,194,54.2,38.4,63.4,23.053,638
2023-07-29T00:00:00.000Z,19.9,195.6,65.3,44.45,104.95,37.424,653
2023-07-30T00:00:00.000Z,44.4,211.1,82.6,52.6,101.3,32.817,652
2023-07-31T00:00:00.000Z,12.5,239.3,45.8,38.7,85.15,50.101,652
2023-08-01T00:00:00.000Z,7.2,91.2,48.9,25.3,55.55,18.11,661
2023-08-02T00:00:00.000Z,7.3,55.7,44.7,40.7,47.9,12.941,586
2023-08-03T00:00:00.000Z,15,189.6,54.6,48.9,82.75,25.148,457
2023-08-04T00:00:00.000Z,8.8,194.2,71,46,102.8,39.508,555
2023-08-05T00:00:00.000Z,49.1,133.5,67.4,60.2,76.09,14.85,139
2023-08-06T00:00:00.000Z,24.6,89.3,40,29,52.6,15.91,71
2023-08-07T00:00:00.000Z,30.4,62.4,45.1,41.2,48.65,4.82,141
2023-08-08T00:00:00.000Z,17.6,126.7,56.4,44.2,71.4,24.163,597
2023-08-09T00:00:00.000Z,51,213,89.6,77.45,102,20.845,580
2023-08-10T00:00:00.000Z,3.2,115.6,26.8,11,45.4,19.946,291
2023-08-11T00:00:00.000Z,8.8,48.8,34.6,25,43.5,11.885,59
2023-08-12T00:00:00.000Z,3.4,76.3,36.6,25.25,42.7,14.101,617
2023-08-13T00:00:00.000Z,2.2,140.1,44.9,25.5,52.2,20.07,603
2023-08-14T00:00:00.000Z,11,82.1,35.4,20.8,46.15,15.84,661
2023-08-15T00:00:00.000Z,28.3,55.2,41.9,36.4,45.9,5.767,667
2023-08-16T00:00:00.000Z,19.4,64.8,40.9,37.6,43.9,6.361,571
2023-08-17T00:00:00.000Z,2.9,115.6,31.8,14.9,49.1,23.419,531
2023-08-18T00:00:00.000Z,20.9,109.6,36.79,29.9,43.6,13.514,343
2023-08-19T00:00:00.000Z,1.1,214.6,44.8,17.85,70.15,47.413,389
2023-08-20T00:00:00.000Z,0.1,30.2,6.65,0.75,13.85,8.216,280
2023-08-21T00:00:00.000Z,0.9,19.3,4.4,2.2,8.1,3.843,385
