# Sensor S6_LOCZ, Rancagua, Chile (Purple Air/158177)
# https://aqicn.org/station/@368284/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-12T00:00:00.000Z,2.7,5.7,4.3,3.8,4.7,0.603,197
2023-01-13T00:00:00.000Z,2.9,21.4,6.8,4.7,9.55,3.764,601
2023-01-14T00:00:00.000Z,1.6,26.2,5.6,4.6,6.7,2.275,604
2023-01-15T00:00:00.000Z,4.4,19.1,9.2,8.1,9.9,1.98,645
2023-01-16T00:00:00.000Z,10.4,32.5,24.8,18.1,27.8,6.065,655
2023-01-17T00:00:00.000Z,8.5,21.3,12.5,10.7,15.3,2.989,645
2023-01-18T00:00:00.000Z,4.5,18.5,9.1,7.6,11.25,2.901,556
2023-01-19T00:00:00.000Z,7.1,30.7,15.3,11.1,22.8,6.472,663
2023-01-20T00:00:00.000Z,8.8,35.4,15.9,12.9,21.9,6.906,682
2023-01-21T00:00:00.000Z,5.9,42.6,11,9.2,17.39,5.635,658
2023-01-22T00:00:00.000Z,3.8,101.4,13,9.1,19.8,12.527,675
2023-01-23T00:00:00.000Z,4.6,33.1,10.8,8.1,16.2,6.602,326
2023-01-30T00:00:00.000Z,5.2,8.8,7,6.6,7.5,0.772,202
2023-01-31T00:00:00.000Z,5.4,31.1,8,7,9.55,3.234,620
2023-02-01T00:00:00.000Z,5.4,18.6,10.2,8.2,12.8,2.834,633
2023-02-02T00:00:00.000Z,5.9,28.2,10.5,8.7,12.2,2.971,616
2023-02-03T00:00:00.000Z,7.6,40.2,13.3,10.1,17.35,6.624,297
2023-07-25T00:00:00.000Z,15,62.4,44,23.6,47.9,13.135,226
2023-07-26T00:00:00.000Z,26.5,175.7,43.85,39.6,51,17.345,610
2023-07-27T00:00:00.000Z,10.5,151.2,57,41.7,73.5,24.295,643
2023-07-28T00:00:00.000Z,18.5,350.3,48.6,37.5,57.4,28.484,671
2023-07-29T00:00:00.000Z,20,153.1,54.7,45.4,72.25,22.875,661
2023-07-30T00:00:00.000Z,32.3,170.8,59.2,52.4,79.59,21.723,647
2023-07-31T00:00:00.000Z,2.5,149.3,41.8,28,51.35,28.302,672
2023-08-01T00:00:00.000Z,9.2,88.5,50.85,24.5,58.2,17.937,642
2023-08-02T00:00:00.000Z,8.7,98.2,46.2,37,49.7,13.818,646
