# Sensor SICAM_ Angol2-DDU, Chile (Purple Air/96041)
# https://aqicn.org/station/@208969/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.9,240.5,44.8,22.1,72.8,46.327,339
2021-09-08T00:00:00.000Z,15.2,486.8,154.1,34.9,260.5,124.622,595
2021-09-09T00:00:00.000Z,3.8,215.2,26.1,16.1,40.15,28.793,617
2021-09-10T00:00:00.000Z,2.1,308.6,90.55,44.3,147.8,66.98,614
2021-09-11T00:00:00.000Z,13.7,261,42.45,34.15,121.7,64.9,636
2021-09-12T00:00:00.000Z,2.4,206.8,35.1,21.75,45.8,22.441,648
2021-09-13T00:00:00.000Z,8.7,302.7,55.1,38.4,93.4,57.034,587
2021-09-14T00:00:00.000Z,9.1,375.1,99.8,35.1,181.3,81.367,620
2021-09-15T00:00:00.000Z,4.5,422.6,43.5,20.3,90.8,57.971,638
2021-09-16T00:00:00.000Z,5.2,215.5,49.4,23.75,82.55,43.008,637
2021-09-17T00:00:00.000Z,1.1,96.8,28.75,15.95,39.6,16.433,636
2021-09-18T00:00:00.000Z,1,130.9,32.2,20.7,41.85,19.53,620
2021-09-19T00:00:00.000Z,0.5,161.1,17,9.8,31.1,16.824,607
2021-09-20T00:00:00.000Z,1.5,150.5,16.89,8.35,32.75,24.762,620
2021-09-21T00:00:00.000Z,4,195.2,19.1,12.8,32.54,28.743,633
2021-09-22T00:00:00.000Z,13.5,128.3,34.5,29.6,45.4,16.367,599
2021-09-23T00:00:00.000Z,5.3,288.6,38.79,21.8,85.9,55.299,603
2021-09-24T00:00:00.000Z,6.9,254,45.2,16.3,65.5,34.262,601
2021-09-25T00:00:00.000Z,5.6,149,27.3,16.39,45.3,23.988,607
2021-09-26T00:00:00.000Z,1.9,327,22.85,11.6,43,55.91,534
2021-09-27T00:00:00.000Z,4,178.7,34,16.8,50.4,26.38,575
2021-09-28T00:00:00.000Z,1.2,170.3,28.8,8.3,47,30.149,615
2021-09-29T00:00:00.000Z,3.8,182.3,43.2,26.35,71.45,36.241,621
