# Sensor Silva.D13.Ex, Ñuñoa, Chile (Purple Air/120637)
# https://aqicn.org/station/@410194/
# Daily met.h
date,min,max,median,q1,q3,stdev,count
2023-08-02T00:00:00.000Z,27,59,33,30,43,9.598,62
2023-08-03T00:00:00.000Z,22,100,77.5,38,96,28.586,274
2023-08-04T00:00:00.000Z,18,85,66,41,78,21.178,269
2023-08-05T00:00:00.000Z,57,100,92,81.5,94,10.205,185
2023-08-06T00:00:00.000Z,40,100,75.5,47,91,21.631,166
2023-08-07T00:00:00.000Z,36,100,61.5,42.5,79.5,19.299,156
2023-08-08T00:00:00.000Z,32,100,69,45,92,23.226,167
2023-08-09T00:00:00.000Z,46,100,69.5,59,84,14.844,180
2023-08-10T00:00:00.000Z,34,100,58,46.5,65.5,15.398,240
2023-08-11T00:00:00.000Z,40,100,71,48,93,21.703,203
2023-08-12T00:00:00.000Z,28,100,47,35,84,24.881,210
2023-08-13T00:00:00.000Z,22,100,60,32,86,27.08,274
2023-08-14T00:00:00.000Z,20,83,63,34,75,21.492,317
2023-08-15T00:00:00.000Z,62,100,80,69,90,11.268,147
2023-08-16T00:00:00.000Z,58,97,68.5,64,82,10.427,118
2023-08-17T00:00:00.000Z,50,100,68,60,82,13.787,134
2023-08-18T00:00:00.000Z,36,98,83,52,89,20.088,248
2023-08-19T00:00:00.000Z,66,100,75,69,80,7.819,85
2023-08-20T00:00:00.000Z,65,100,80,71,87,9.567,114
2023-08-21T00:00:00.000Z,54,99,84,70,91,12.408,133
2023-08-22T00:00:00.000Z,51,100,67,60.5,87,14.754,281
2023-08-24T00:00:00.000Z,44,98,57,53,64,12.1,153
2023-08-25T00:00:00.000Z,29,100,54,38,75,22.353,197
2023-08-26T00:00:00.000Z,24,100,41,31,80,25.387,175
2023-08-27T00:00:00.000Z,20,100,67,31.5,92,28.523,341
2023-08-28T00:00:00.000Z,25,73,57,40.5,64,13.259,317
2023-08-29T00:00:00.000Z,19,92,65,35,82,24.156,317
2023-08-30T00:00:00.000Z,33,100,65,49,80,18.832,230
2023-08-31T00:00:00.000Z,29,100,63,41,81,21.963,150
2023-09-01T00:00:00.000Z,43,71,59,51.5,65,7.676,205
2023-09-02T00:00:00.000Z,45,100,72,65,77.5,14.195,273
2023-09-03T00:00:00.000Z,41,100,48,44,67.5,17.419,113
2023-09-04T00:00:00.000Z,71,100,89,82,95,7.4,250
2023-09-05T00:00:00.000Z,71,100,85,80,90,7.089,127
