# Sensor UOH azotea, Rancagua, Chile (Purple Air/47237)
# https://aqicn.org/station/@349147/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-22T00:00:00.000Z,28.5,49.6,41.85,40.4,47.6,5.792,10
2022-07-23T00:00:00.000Z,38,38,38,38,38,0,1
2022-07-24T00:00:00.000Z,70.5,71,70.75,70.5,71,0.25,2
2022-07-25T00:00:00.000Z,54.1,60.2,57.3,55.7,59.35,1.923,9
2022-07-26T00:00:00.000Z,34.7,92.5,39.85,37.9,53.05,19.089,52
2022-07-27T00:00:00.000Z,35.1,51.3,46.9,39.8,49,5.38,19
2022-07-28T00:00:00.000Z,12.5,40.1,18,14.5,39.75,11.937,5
2022-07-29T00:00:00.000Z,55.7,76.2,63.4,59.2,67.4,6.352,11
2022-07-31T00:00:00.000Z,58.1,60.4,59.25,58.1,60.4,1.15,2
2022-08-01T00:00:00.000Z,49.5,100.4,54,50.95,59.9,9.116,44
2022-08-02T00:00:00.000Z,46.1,46.1,46.1,46.1,46.1,0,1
2022-08-03T00:00:00.000Z,49.2,75.1,51.1,50.5,52.8,7.02,14
2022-08-04T00:00:00.000Z,16.2,59.8,40.8,31,47.9,10.663,270
2022-08-05T00:00:00.000Z,16.5,99.8,42.8,29.9,51.65,13.321,652
2022-08-06T00:00:00.000Z,17.4,92.6,44,40,48.1,8.909,671
2022-08-07T00:00:00.000Z,0,32.6,5.8,3,9.8,5.665,662
2022-08-08T00:00:00.000Z,8.5,47.7,18.8,14.2,26.6,8.08,679
2022-08-09T00:00:00.000Z,5,115,38.8,29.55,49.5,16.752,673
2022-08-10T00:00:00.000Z,7.6,126.9,41.8,32.2,46.5,14.76,672
2022-08-11T00:00:00.000Z,19,94.2,48.5,33.5,54.15,13.712,669
2022-08-12T00:00:00.000Z,20.3,81.4,40.4,36.5,43.9,7.777,650
2022-08-13T00:00:00.000Z,17.4,124.9,45.1,37.7,57.9,18.737,675
2022-08-14T00:00:00.000Z,2.1,85.8,45.7,28.6,49.2,16.721,662
